,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,82.47,81.87,79.82,0.8882,72.81,76.24,85.08,0.8853
split 1,81.62,81.17,79.71,0.8992,80.85,76.32,67.86,0.9032
split 2,83.69,82.93,80.12,0.9073,62.31,68.48,77.47,0.7844
split 3,80.7,80.1,78.32,0.8781,77.97,76.46,73.26,0.8493
split 4,80.69,80.14,78.53,0.8837,79.24,78.17,75.53,0.8508
split 5,82.74,82.16,80.11,0.8845,79.56,77.92,74.06,0.8553
mean,81.99,81.39,79.43,0.8902,75.46,75.6,75.54,0.8547
std,1.09,1.04,0.73,0.01,6.41,3.27,5.18,0.0371
test mean,81.77724340462976,81.37584306135695,80.16961746401988,0.908068054479032,69.5434024133584,76.157626696263,85.95922085141177,0.9028846303906733
test std,6.4704449345771895,6.011782092133584,7.5221184924416065,0.059430923230163454,19.76301133119397,11.621548750007584,8.513721856954902,0.0493739712683237
