,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5407,0.0,50.0,0.0,0.4513
split 1,0.0,50.0,0.0,0.5559,0.0,50.0,0.0,0.4858
split 2,0.0,50.0,0.0,0.5538,0.0,50.0,0.0,0.483
split 3,0.0,50.0,0.0,0.5375,0.0,50.0,0.0,0.5498
split 4,0.0,50.0,0.0,0.5497,0.0,50.0,0.0,0.3776
split 5,0.0,50.0,0.0,0.5443,0.0,50.0,0.0,0.5085
mean,0.0,50.0,0.0,0.547,0.0,50.0,0.0,0.476
std,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0531
test mean,0.0,49.999999999999986,0.0,0.5204880774395665,0.0,50.0,0.0,0.48923435678405064
test std,0.0,1.6543675985604878e-14,0.0,0.07448362592911241,0.0,1.4210854715202004e-14,0.0,0.051041031468642195
