,F1,Acc,precision,Auc
train tissue 0,0.0,49.99999999999997,0.0,0.5554106910039109
train tissue 1,0.0,49.999999999999986,0.0,0.4097744360902254
train tissue 2,0.0,50.0,0.0,0.5905454545454544
train tissue 3,0.0,50.000000000000014,0.0,0.5942460317460316
train tissue 4,0.0,49.999999999999986,0.0,0.5994647636039248
train tissue 5,0.0,49.99999999999998,0.0,0.5412698412698411
train tissue 6,0.0,50.0,0.0,0.6037735849056602
train tissue 7,0.0,49.999999999999986,0.0,0.5133203378817413
train tissue 8,0.0,49.99999999999999,0.0,0.6830808080808078
train tissue 9,0.0,49.999999999999986,0.0,0.5071186440677966
train tissue 10,0.0,49.999999999999986,0.0,0.47886297376093284
train tissue 11,0.0,50.0,0.0,0.3960055096418729
train tissue 12,0.0,50.0,0.0,0.539351851851852
train tissue 13,0.0,49.999999999999986,0.0,0.4787037037037036
train tissue 14,0.0,49.999999999999986,0.0,0.47846889952153093
train tissue 15,0.0,50.000000000000014,0.0,0.570601851851852
train tissue 16,0.0,50.000000000000014,0.0,0.48199767711962876
train tissue 17,0.0,49.999999999999986,0.0,0.5223285486443376
train tissue 18,0.0,50.000000000000014,0.0,0.643330876934414
train mean,0.0,49.99999999999999,0.0,0.5361924466434483
train std,0.0,1.2731463251543875e-14,0.0,0.07240028753514526
test tissue 0,0.0,50.000000000000014,0.0,0.4604236343366781
test tissue 1,0.0,50.00000000000002,0.0,0.5923016496465044
test tissue 2,0.0,50.0,0.0,0.6666666666666669
test tissue 3,0.0,50.000000000000036,0.0,0.3798701298701301
test tissue 4,0.0,49.999999999999986,0.0,0.5334699453551909
test tissue 5,0.0,50.0,0.0,0.4911012235817569
test tissue 6,0.0,50.0,0.0,0.4850852272727273
test tissue 7,0.0,49.999999999999986,0.0,0.5043859649122806
test mean,0.0,50.00000000000001,0.0,0.514163055205242
test std,0.0,1.6280579355608324e-14,0.0,0.08072423912412068
