plant,time point,cell,label,isCellTest
P1,0,332,1,False
P1,0,340,0,False
P1,0,346,0,False
P1,0,351,1,False
P1,0,369,1,False
P1,0,376,0,False
P1,0,389,1,False
P1,0,390,0,False
P1,0,398,0,False
P1,0,413,0,False
P1,0,422,0,False
P1,0,428,0,False
P1,0,431,0,False
P1,0,436,0,False
P1,0,438,1,False
P1,0,439,1,False
P1,0,441,0,False
P1,0,442,1,False
P1,0,447,0,False
P1,0,448,0,False
P1,0,449,0,False
P1,0,457,0,False
P1,0,461,1,False
P1,0,462,0,False
P1,0,466,0,False
P1,0,467,0,False
P1,0,471,1,False
P1,0,498,0,False
P1,0,502,0,False
P1,0,515,0,False
P1,0,550,0,False
P1,0,559,0,False
P1,0,560,0,False
P1,0,569,0,False
P1,0,570,0,False
P1,0,571,0,False
P1,0,574,0,False
P1,0,576,1,False
P1,0,580,0,False
P1,0,583,1,False
P1,0,587,0,False
P1,0,589,0,False
P1,0,600,1,False
P1,0,601,0,False
P1,0,602,0,False
P1,0,605,0,False
P1,0,610,0,False
P1,0,617,0,False
P1,0,618,1,False
P1,0,619,0,False
P1,0,635,1,False
P1,0,647,0,False
P1,0,653,1,False
P1,0,662,0,False
P1,0,666,0,False
P1,0,667,0,False
P1,0,669,0,False
P1,0,683,0,False
P1,0,685,1,False
P1,0,686,0,False
P1,0,690,1,False
P1,0,693,0,False
P1,0,696,0,False
P1,0,698,0,False
P1,0,700,0,False
P1,0,706,0,False
P1,0,708,0,False
P1,0,709,0,False
P1,0,714,0,False
P1,0,716,0,False
P1,0,717,0,False
P1,0,726,0,False
P1,0,728,0,False
P1,0,738,1,False
P1,0,739,1,False
P1,0,740,0,False
P1,0,741,0,False
P1,0,746,1,False
P1,0,747,0,False
P1,0,753,0,False
P1,0,754,1,False
P1,0,758,0,False
P1,0,761,0,False
P1,0,764,0,False
P1,0,767,0,False
P1,1,4935,0,False
P1,1,4939,1,False
P1,1,4944,0,False
P1,1,4946,1,False
P1,1,4952,0,False
P1,1,4953,0,False
P1,1,4989,0,False
P1,1,4990,0,False
P1,1,4997,1,False
P1,1,5000,0,False
P1,1,5005,0,False
P1,1,5017,0,False
P1,1,5019,1,False
P1,1,5024,1,False
P1,1,5025,0,False
P1,1,5028,0,False
P1,1,5032,1,False
P1,1,5046,1,False
P1,1,5048,0,False
P1,1,5053,0,False
P1,1,5072,1,False
P1,1,5085,1,False
P1,1,5090,0,False
P1,1,5091,1,False
P1,1,5100,0,False
P1,1,5107,1,False
P1,1,5108,0,False
P1,1,5114,1,False
P1,1,5119,0,False
P1,1,5126,0,False
P1,1,5127,1,False
P1,1,5128,0,False
P1,1,5132,0,False
P1,1,5135,1,False
P1,1,5136,0,False
P1,1,5138,0,False
P1,1,5142,0,False
P1,1,5150,0,False
P1,1,5151,0,False
P1,1,5152,0,False
P1,1,5153,0,False
P1,1,5156,1,False
P1,1,5160,1,False
P1,1,5167,0,False
P1,1,5168,1,False
P1,1,5169,0,False
P1,1,5172,0,False
P1,1,5175,0,False
P1,1,5181,1,False
P1,1,5196,0,False
P1,1,5198,1,False
P1,1,5204,0,False
P1,1,5212,1,False
P1,1,5213,0,False
P1,1,5215,0,False
P1,1,5216,0,False
P1,1,5218,0,False
P1,1,5232,1,False
P1,1,5235,0,False
P1,1,5245,1,False
P1,1,5246,0,False
P1,1,5247,1,False
P1,1,5249,1,False
P1,1,5256,0,False
P1,1,5260,0,False
P1,1,5261,0,False
P1,1,5262,0,False
P1,1,5263,0,False
P1,1,5267,0,False
P1,1,5269,1,False
P1,1,5270,1,False
P1,1,5274,0,False
P1,1,5275,0,False
P1,1,5276,0,False
P1,1,5279,0,False
P1,1,5282,1,False
P1,1,5283,1,False
P1,1,5288,1,False
P1,1,5289,0,False
P1,1,5290,1,False
P1,1,5291,0,False
P1,1,5296,0,False
P1,1,5303,0,False
P1,1,5305,1,False
P1,1,5306,1,False
P1,2,5495,1,False
P1,2,5498,0,False
P1,2,5501,0,False
P1,2,5511,0,False
P1,2,5519,1,False
P1,2,5532,0,False
P1,2,5541,0,False
P1,2,5549,1,False
P1,2,5560,0,False
P1,2,5563,0,False
P1,2,5564,1,False
P1,2,5571,1,False
P1,2,5572,0,False
P1,2,5574,0,False
P1,2,5575,0,False
P1,2,5579,1,False
P1,2,5581,0,False
P1,2,5588,0,False
P1,2,5593,0,False
P1,2,5601,0,False
P1,2,5644,1,False
P1,2,5645,1,False
P1,2,5646,1,False
P1,2,5650,0,False
P1,2,5655,1,False
P1,2,5656,0,False
P1,2,5664,1,False
P1,2,5668,1,False
P1,2,5675,0,False
P1,2,5677,0,False
P1,2,5682,0,False
P1,2,5683,1,False
P1,2,5685,0,False
P1,2,5691,0,False
P1,2,5699,0,False
P1,2,5701,0,False
P1,2,5706,1,False
P1,2,5723,0,False
P1,2,5724,0,False
P1,2,5725,0,False
P1,2,5726,0,False
P1,2,5727,0,False
P1,2,5737,0,False
P1,2,5741,0,False
P1,2,5745,0,False
P1,2,5751,0,False
P1,2,5764,0,False
P1,2,5766,0,False
P1,2,5776,0,False
P1,2,5778,0,False
P1,2,5781,0,False
P1,2,5788,0,False
P1,2,5789,1,False
P1,2,5790,0,False
P1,2,5797,0,False
P1,2,5799,0,False
P1,2,5807,0,False
P1,2,5808,0,False
P1,2,5809,1,False
P1,2,5810,1,False
P1,2,5812,0,False
P1,2,5822,0,False
P1,2,5823,0,False
P1,2,5824,1,False
P1,2,5826,0,False
P1,2,5830,0,False
P1,2,5833,0,False
P1,2,5837,0,False
P1,2,5838,1,False
P1,2,5842,1,False
P1,2,5843,0,False
P1,2,5844,0,False
P1,2,5845,0,False
P1,2,5848,1,False
P1,2,5849,1,False
P1,2,5850,1,False
P1,2,5861,0,False
P1,2,5862,0,False
P1,2,5863,0,False
P1,2,5864,1,False
P1,3,5884,0,False
P1,3,5891,0,False
P1,3,5898,1,False
P1,3,5907,0,False
P1,3,5915,0,False
P1,3,5921,0,False
P1,3,5923,0,False
P1,3,5932,0,False
P1,3,5936,0,False
P1,3,5937,0,False
P1,3,5938,0,False
P1,3,5947,0,False
P1,3,5953,0,False
P1,3,5954,0,False
P1,3,5962,0,False
P1,3,5966,1,False
P1,3,5968,0,False
P1,3,5975,0,False
P1,3,5978,0,False
P1,3,5981,0,False
P1,3,5993,0,False
P1,3,6006,1,False
P1,3,6009,0,False
P1,3,6024,1,False
P1,3,6044,1,False
P1,3,6055,0,False
P1,3,6057,0,False
P1,3,6059,0,False
P1,3,6070,0,False
P1,3,6076,1,False
P1,3,6077,1,False
P1,3,6082,1,False
P1,3,6084,1,False
P1,3,6089,0,False
P1,3,6090,0,False
P1,3,6095,0,False
P1,3,6097,0,False
P1,3,6107,1,False
P1,3,6108,0,False
P1,3,6109,0,False
P1,3,6114,0,False
P1,3,6121,0,False
P1,3,6128,0,False
P1,3,6130,1,False
P1,3,6132,0,False
P1,3,6136,1,False
P1,3,6137,0,False
P1,3,6138,0,False
P1,3,6147,0,False
P1,3,6153,0,False
P1,3,6155,1,False
P1,3,6162,1,False
P1,3,6164,0,False
P1,3,6165,1,False
P1,3,6166,0,False
P1,3,6171,0,False
P1,3,6172,0,False
P1,3,6175,0,False
P1,3,6177,0,False
P1,3,6178,0,False
P1,3,6180,0,False
P1,3,6190,1,False
P1,3,6192,0,False
P1,3,6193,0,False
P1,3,6195,0,False
P1,3,6198,1,False
P1,3,6200,0,False
P1,3,6201,1,False
P1,3,6206,0,False
P2,0,4,1,True
P2,0,6,0,True
P2,0,9,0,True
P2,0,11,0,True
P2,0,13,1,True
P2,0,27,0,True
P2,0,33,1,True
P2,0,34,0,True
P2,0,39,0,True
P2,0,42,0,True
P2,0,45,0,True
P2,0,63,1,True
P2,0,65,0,True
P2,0,71,0,True
P2,0,72,1,True
P2,0,73,1,True
P2,0,74,0,True
P2,0,80,1,True
P2,0,82,0,True
P2,0,86,0,True
P2,0,91,1,True
P2,0,94,0,True
P2,0,95,1,True
P2,0,104,0,True
P2,0,105,0,True
P2,0,106,0,True
P2,0,111,0,True
P2,0,112,0,True
P2,0,128,0,True
P2,0,135,0,True
P2,0,147,0,True
P2,0,149,0,True
P2,0,155,1,True
P2,0,162,0,True
P2,0,165,1,True
P2,0,180,0,True
P2,0,182,0,True
P2,0,202,1,True
P2,0,214,0,True
P2,0,215,0,True
P2,0,220,0,True
P2,0,229,0,True
P2,0,233,1,True
P2,0,236,1,True
P2,0,240,1,True
P2,0,242,1,True
P2,0,249,1,True
P2,0,251,1,True
P2,0,257,0,True
P2,0,260,0,True
P2,0,262,1,True
P2,0,264,0,True
P2,0,265,0,True
P2,0,270,0,True
P2,0,283,1,True
P2,0,288,1,True
P2,0,296,1,True
P2,0,305,0,True
P2,0,306,0,True
P2,0,307,1,True
P2,0,311,0,True
P2,0,313,1,True
P2,0,323,0,True
P2,0,324,0,True
P2,0,325,0,True
P2,0,337,1,True
P2,0,338,0,True
P2,0,339,1,True
P2,0,341,0,True
P2,0,348,0,True
P2,0,350,1,True
P2,0,361,0,True
P2,0,362,0,True
P2,0,363,0,True
P2,0,366,0,True
P2,0,374,0,True
P2,0,377,1,True
P2,0,379,1,True
P2,0,381,1,True
P2,0,383,0,True
P2,0,384,0,True
P2,0,392,1,True
P2,0,394,0,True
P2,0,396,1,True
P2,0,398,0,True
P2,0,408,0,True
P2,0,409,0,True
P2,0,415,0,True
P2,0,416,1,True
P2,0,417,0,True
P2,0,418,1,True
P2,0,419,1,True
P2,0,429,0,True
P2,0,430,0,True
P2,0,431,0,True
P2,1,467,1,True
P2,1,469,0,True
P2,1,470,0,True
P2,1,471,0,True
P2,1,478,1,True
P2,1,486,1,True
P2,1,488,0,True
P2,1,489,0,True
P2,1,490,0,True
P2,1,491,0,True
P2,1,492,0,True
P2,1,500,1,True
P2,1,505,0,True
P2,1,506,1,True
P2,1,513,0,True
P2,1,521,0,True
P2,1,524,0,True
P2,1,527,0,True
P2,1,540,0,True
P2,1,541,1,True
P2,1,553,1,True
P2,1,559,1,True
P2,1,560,0,True
P2,1,564,0,True
P2,1,568,0,True
P2,1,572,0,True
P2,1,581,1,True
P2,1,593,0,True
P2,1,596,1,True
P2,1,597,0,True
P2,1,598,0,True
P2,1,599,1,True
P2,1,600,0,True
P2,1,615,1,True
P2,1,617,1,True
P2,1,619,0,True
P2,1,623,1,True
P2,1,625,0,True
P2,1,626,0,True
P2,1,629,0,True
P2,1,631,1,True
P2,1,634,0,True
P2,1,636,1,True
P2,1,637,0,True
P2,1,638,1,True
P2,1,652,0,True
P2,1,654,0,True
P2,1,655,1,True
P2,1,656,0,True
P2,1,657,1,True
P2,1,658,0,True
P2,1,659,1,True
P2,1,664,0,True
P2,1,665,1,True
P2,1,666,0,True
P2,1,668,0,True
P2,1,685,1,True
P2,1,687,0,True
P2,1,691,0,True
P2,1,693,1,True
P2,1,694,0,True
P2,1,697,1,True
P2,1,698,0,True
P2,1,709,1,True
P2,1,710,0,True
P2,1,712,0,True
P2,1,713,0,True
P2,1,714,0,True
P2,1,715,0,True
P2,1,731,0,True
P2,1,732,0,True
P2,1,734,1,True
P2,1,735,0,True
P2,1,736,1,True
P2,1,741,0,True
P2,1,758,0,True
P2,1,761,0,True
P2,1,763,0,True
P2,1,769,0,True
P2,1,772,0,True
P2,1,773,0,True
P2,1,776,0,True
P2,1,777,0,True
P2,1,778,0,True
P2,1,779,0,True
P2,1,783,0,True
P2,2,457,1,True
P2,2,461,0,True
P2,2,464,1,True
P2,2,496,0,True
P2,2,497,0,True
P2,2,504,0,True
P2,2,509,1,True
P2,2,510,1,True
P2,2,513,0,True
P2,2,522,1,True
P2,2,523,0,True
P2,2,525,0,True
P2,2,528,0,True
P2,2,531,0,True
P2,2,532,0,True
P2,2,534,1,True
P2,2,536,0,True
P2,2,538,1,True
P2,2,539,1,True
P2,2,541,0,True
P2,2,561,1,True
P2,2,568,1,True
P2,2,571,0,True
P2,2,597,0,True
P2,2,600,0,True
P2,2,603,0,True
P2,2,625,0,True
P2,2,626,0,True
P2,2,629,0,True
P2,2,631,0,True
P2,2,634,1,True
P2,2,637,0,True
P2,2,640,1,True
P2,2,642,1,True
P2,2,643,0,True
P2,2,657,0,True
P2,2,658,0,True
P2,2,662,1,True
P2,2,663,1,True
P2,2,664,1,True
P2,2,665,0,True
P2,2,666,1,True
P2,2,667,0,True
P2,2,668,0,True
P2,2,669,0,True
P2,2,672,1,True
P2,2,674,0,True
P2,2,675,0,True
P2,2,684,0,True
P2,2,686,0,True
P2,2,688,1,True
P2,2,691,0,True
P2,2,696,1,True
P2,2,698,1,True
P2,2,699,0,True
P2,2,700,0,True
P2,2,701,1,True
P2,2,704,0,True
P2,2,708,1,True
P2,3,1010,0,True
P2,3,1018,0,True
P2,3,1032,0,True
P2,3,1033,1,True
P2,3,1048,1,True
P2,3,1075,0,True
P2,3,1096,0,True
P2,3,1103,0,True
P2,3,1105,1,True
P2,3,1118,0,True
P2,3,1135,0,True
P2,3,1173,0,True
P2,3,1191,0,True
P2,3,1194,1,True
P2,3,1196,0,True
P2,3,1198,0,True
P2,3,1200,0,True
P2,3,1216,0,True
P2,3,1222,0,True
P2,3,1234,1,True
P2,3,1235,0,True
P2,3,1238,1,True
P2,3,1255,0,True
P2,3,1278,1,True
P2,3,1280,0,True
P2,3,1282,0,True
P2,3,1291,1,True
P2,3,1298,0,True
P2,3,1300,1,True
P2,3,1308,0,True
P2,3,1310,0,True
P2,3,1326,0,True
P2,3,1332,0,True
P2,3,1336,0,True
P2,3,1343,1,True
P2,3,1345,0,True
P2,3,1354,0,True
P2,3,1429,0,True
P2,3,1431,0,True
P5,0,3,1,False
P5,0,4,0,False
P5,0,9,0,False
P5,0,23,0,False
P5,0,25,1,False
P5,0,30,0,False
P5,0,38,0,False
P5,0,48,1,False
P5,0,50,1,False
P5,0,52,1,False
P5,0,81,0,False
P5,0,90,0,False
P5,0,104,1,False
P5,0,108,0,False
P5,0,110,0,False
P5,0,115,1,False
P5,0,116,0,False
P5,0,122,0,False
P5,0,123,0,False
P5,0,137,0,False
P5,0,144,0,False
P5,0,151,1,False
P5,0,152,1,False
P5,0,153,0,False
P5,0,164,1,False
P5,0,178,0,False
P5,0,197,0,False
P5,0,198,0,False
P5,0,217,0,False
P5,0,224,0,False
P5,0,249,0,False
P5,0,250,0,False
P5,0,252,0,False
P5,0,284,0,False
P5,0,290,1,False
P5,0,291,0,False
P5,0,295,0,False
P5,0,296,0,False
P5,0,339,0,False
P5,0,345,0,False
P5,0,347,0,False
P5,0,380,1,False
P5,0,381,1,False
P5,0,382,0,False
P5,0,383,0,False
P5,0,388,0,False
P5,0,390,0,False
P5,0,391,0,False
P5,0,399,1,False
P5,0,410,0,False
P5,0,412,0,False
P5,0,418,0,False
P5,0,419,0,False
P5,0,421,0,False
P5,0,424,1,False
P5,0,427,0,False
P5,0,428,0,False
P5,0,438,1,False
P5,0,439,0,False
P5,0,440,1,False
P5,0,443,1,False
P5,0,454,0,False
P5,0,458,1,False
P5,0,462,1,False
P5,0,464,1,False
P5,0,466,1,False
P5,0,468,0,False
P5,0,470,0,False
P5,0,471,1,False
P5,0,473,0,False
P5,0,484,0,False
P5,0,485,0,False
P5,0,486,0,False
P5,0,488,0,False
P5,0,489,0,False
P5,0,491,0,False
P5,0,493,0,False
P5,0,494,0,False
P5,0,501,0,False
P5,0,522,0,False
P5,0,525,1,False
P5,0,527,1,False
P5,0,528,0,False
P5,0,529,0,False
P5,0,530,0,False
P5,0,538,0,False
P5,0,539,1,False
P5,0,541,0,False
P5,1,573,0,False
P5,1,585,0,False
P5,1,589,0,False
P5,1,591,0,False
P5,1,595,1,False
P5,1,596,0,False
P5,1,599,0,False
P5,1,600,0,False
P5,1,612,1,False
P5,1,616,0,False
P5,1,629,0,False
P5,1,642,1,False
P5,1,646,0,False
P5,1,648,0,False
P5,1,649,0,False
P5,1,653,0,False
P5,1,654,0,False
P5,1,660,0,False
P5,1,670,1,False
P5,1,672,0,False
P5,1,674,0,False
P5,1,681,0,False
P5,1,717,0,False
P5,1,718,0,False
P5,1,724,0,False
P5,1,727,0,False
P5,1,736,0,False
P5,1,738,0,False
P5,1,739,0,False
P5,1,752,1,False
P5,1,771,1,False
P5,1,772,0,False
P5,1,775,1,False
P5,1,783,0,False
P5,1,814,0,False
P5,1,827,0,False
P5,1,836,1,False
P5,1,850,1,False
P5,1,868,1,False
P5,1,875,0,False
P5,1,883,0,False
P5,1,885,1,False
P5,1,886,1,False
P5,1,888,0,False
P5,1,896,0,False
P5,1,903,0,False
P5,1,905,0,False
P5,1,907,0,False
P5,1,908,1,False
P5,1,909,0,False
P5,1,925,0,False
P5,1,927,1,False
P5,1,928,0,False
P5,1,930,0,False
P5,1,932,0,False
P5,1,936,0,False
P5,1,938,1,False
P5,1,948,0,False
P5,1,949,0,False
P5,1,950,1,False
P5,1,952,0,False
P5,1,954,0,False
P5,1,955,0,False
P5,1,967,0,False
P5,1,968,1,False
P5,1,979,0,False
P5,1,982,1,False
P5,1,996,0,False
P5,1,997,0,False
P5,1,998,0,False
P5,1,999,0,False
P5,1,1000,0,False
P5,1,1001,1,False
P5,1,1002,1,False
P5,1,1003,1,False
P5,2,400,0,False
P5,2,468,1,False
P5,2,490,0,False
P5,2,501,0,False
P5,2,508,0,False
P5,2,516,0,False
P5,2,544,0,False
P5,2,558,1,False
P5,2,567,0,False
P5,2,580,0,False
P5,2,589,1,False
P5,2,646,0,False
P5,2,650,0,False
P5,2,655,1,False
P5,2,692,0,False
P5,2,694,0,False
P5,2,698,1,False
P5,2,702,1,False
P5,2,705,1,False
P5,2,708,0,False
P5,2,712,1,False
P5,2,740,0,False
P5,2,755,1,False
P5,2,757,0,False
P5,2,771,0,False
P5,2,773,0,False
P5,2,778,0,False
P5,2,817,0,False
P5,2,825,0,False
P5,2,829,0,False
P5,2,836,1,False
P5,2,847,0,False
P5,2,848,0,False
P5,2,854,0,False
P5,2,859,1,False
P5,2,869,0,False
P5,2,871,0,False
P5,2,872,0,False
P5,2,873,0,False
P5,2,878,0,False
P5,2,884,0,False
P5,2,892,0,False
P5,2,900,1,False
P5,2,914,0,False
P5,2,916,1,False
P5,2,918,0,False
P5,2,919,0,False
P5,2,920,0,False
P5,2,923,1,False
P5,2,927,0,False
P5,2,931,0,False
P5,2,939,1,False
P5,2,941,0,False
P5,2,945,0,False
P5,2,948,1,False
P5,2,960,0,False
P5,2,961,0,False
P5,2,967,1,False
P5,2,969,0,False
P5,2,970,0,False
P5,2,978,0,False
P5,2,979,0,False
P5,2,981,1,False
P5,2,982,0,False
P5,2,983,1,False
P5,2,984,0,False
P5,2,985,0,False
P5,2,986,0,False
P5,2,991,0,False
P5,2,992,1,False
P5,2,1005,0,False
P5,2,1016,0,False
P5,2,1017,1,False
P5,2,1018,1,False
P5,3,1048,0,False
P5,3,1049,0,False
P5,3,1051,1,False
P5,3,1055,0,False
P5,3,1063,1,False
P5,3,1067,0,False
P5,3,1079,0,False
P5,3,1087,0,False
P5,3,1089,0,False
P5,3,1096,0,False
P5,3,1098,0,False
P5,3,1100,0,False
P5,3,1102,1,False
P5,3,1117,1,False
P5,3,1118,1,False
P5,3,1123,0,False
P5,3,1124,0,False
P5,3,1127,0,False
P5,3,1131,1,False
P5,3,1135,0,False
P5,3,1136,0,False
P5,3,1137,0,False
P5,3,1138,0,False
P5,3,1139,0,False
P5,3,1142,0,False
P5,3,1149,0,False
P5,3,1155,0,False
P5,3,1157,0,False
P5,3,1167,0,False
P5,3,1170,0,False
P5,3,1171,0,False
P5,3,1177,0,False
P5,3,1202,0,False
P5,3,1204,0,False
P5,3,1205,0,False
P5,3,1207,0,False
P5,3,1214,1,False
P5,3,1217,0,False
P5,3,1232,1,False
P5,3,1240,0,False
P5,3,1242,1,False
P5,3,1244,1,False
P5,3,1246,0,False
P5,3,1252,0,False
P5,3,1256,0,False
P5,3,1271,0,False
P5,3,1273,0,False
P5,3,1276,0,False
P5,3,1281,0,False
P5,3,1282,0,False
P5,3,1284,0,False
P5,3,1305,1,False
P5,3,1310,0,False
P5,3,1315,0,False
P5,3,1318,0,False
P5,3,1321,0,False
P5,3,1323,0,False
P5,3,1332,0,False
P5,3,1334,0,False
P5,3,1344,0,False
P5,3,1345,0,False
P5,3,1348,0,False
P5,3,1350,0,False
P6,0,816,1,False
P6,0,819,0,False
P6,0,848,0,False
P6,0,853,0,False
P6,0,861,1,False
P6,0,863,0,False
P6,0,865,1,False
P6,0,868,0,False
P6,0,877,0,False
P6,0,879,1,False
P6,0,886,0,False
P6,0,890,0,False
P6,0,903,1,False
P6,0,909,0,False
P6,0,914,0,False
