,F1,Acc,precision,Auc
train tissue 0,91.38022210470649,91.29273504273505,90.47120418848166,0.9668803418803419
train tissue 1,39.8921832884097,58.90663390663391,74.24749163879599,0.8452088452088449
train tissue 2,82.72727272727273,80.51282051282053,74.2857142857143,0.8933333333333334
train tissue 3,95.89041095890411,96.05263157894737,100.0,0.9830220713073005
train tissue 4,79.69924812030071,74.52830188679249,66.24999999999996,0.8490566037735849
train tissue 5,91.74311926605505,90.99999999999999,84.7457627118644,0.9466666666666667
train tissue 6,85.00000000000001,82.3529411764706,73.91304347826089,0.9823529411764705
train tissue 7,76.28865979381445,76.04166666666667,75.51020408163265,0.7957175925925926
train tissue 8,68.74999999999997,69.69696969696969,70.96774193548384,0.7575757575757575
train tissue 9,89.45041061276058,88.6779661016949,83.73743347131875,0.9444067796610169
train tissue 10,82.02581926514401,82.9566854990584,86.76470588235294,0.9199623352165726
train tissue 11,86.12440191387562,86.1904761904762,86.53846153846155,0.9190476190476192
train tissue 12,85.16129032258067,82.57575757575759,74.15730337078654,0.9225589225589225
train tissue 13,92.3076923076923,91.66666666666667,85.7142857142857,0.9892857142857143
train tissue 14,72.72727272727273,74.99999999999999,80.00000000000001,0.9094650205761317
train tissue 15,82.46445497630333,84.05172413793102,91.57894736842104,0.9298029556650247
train tissue 16,78.91440501043844,75.95238095238095,70.26022304832718,0.9261904761904761
train tissue 17,86.66666666666669,84.61538461538461,76.47058823529413,0.9730769230769231
train tissue 18,85.26379624014557,85.46650717703349,86.46986469864702,0.9114832535885167
train mean,81.70933296328124,81.97569733602211,80.6359460867436,0.9139523238622006
train std,11.892589908896314,8.610395294660004,8.493355418983294,0.061463698223338414
test tissue 0,64.70405949798577,73.46225535880707,96.57724329324698,0.918918918918919
test tissue 1,84.02471315092676,85.2124183006536,91.36276391554702,0.9722222222222222
test tissue 2,78.84615384615384,82.11382113821138,96.4705882352941,0.9512195121951219
test tissue 3,32.535885167464116,58.52941176470593,87.17948717948718,0.9058823529411766
test tissue 4,72.86356821589207,74.86111111111111,79.15309446254074,0.8438888888888887
test tissue 5,77.30061349693254,73.57142857142856,67.741935483871,0.8903061224489798
test tissue 6,91.12426035502959,90.25974025974025,83.69565217391303,0.987012987012987
test tissue 7,72.80647168637213,75.98901098901102,83.93113342898137,0.90989010989011
test mean,71.77571567709461,76.74989968670862,85.76398727161018,0.9224176393148006
test std,16.571580389053945,8.943891803941385,8.951559693292829,0.04347860565335248
