,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,77.32,77.59,78.29,0.8691,78.11,77.07,74.72,0.8546
split 1,77.41,77.75,78.64,0.8643,77.45,73.52,67.46,0.8290000000000001
split 2,74.12,68.17,62.45,0.7853,70.32,66.71,63.44,0.7239
split 3,76.26,76.56,77.26,0.8452,80.6,78.33,72.97,0.8578
split 4,78.74,78.61,78.24,0.8690000000000001,79.1,79.08,79.03,0.8721
split 5,79.05,79.02,78.93,0.8699,77.75,78.09,78.97,0.8823
mean,77.15,76.28,75.64,0.8505,77.22,75.47,72.77,0.8366
std,1.65,3.71,5.92,0.0304,3.26,4.3,5.73,0.053
test mean,82.88646006022134,82.5636376722505,81.71079934287933,0.9138106533674557,61.98198862151277,72.05141000528826,74.38603399348837,0.9168192120434755
test std,6.921161544559466,6.664432667229212,8.588975691280487,0.05976388977496573,26.9887035040157,12.151829046936324,30.167354896125605,0.04265600029332707
