,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.507103,0.0,50.0,0.0,0.5008809999999999
split 1,0.0,50.0,0.0,0.506719,0.0,50.0,0.0,0.4972189999999999
split 2,0.0,50.0,0.0,0.5066639999999999,0.0,50.0,0.0,0.5037280000000002
split 3,0.0,50.0,0.0,0.5096090000000002,0.0,50.0,0.0,0.5007010000000003
split 4,0.0,50.0,0.0,0.506997,0.0,50.0,0.0,0.504503
split 5,0.0,50.0,0.0,0.5063189999999999,0.0,50.0,0.0,0.501405
mean,0.0,50.0,0.0,0.507233,0.0,50.0,0.0,0.501407
std,0.0,0.0,0.0,0.012069999999999999,0.0,0.0,0.0,0.03741700000000001
test mean,0.0,0.0,0.0,0.018618759721072197,0.0,0.0,0.0,0.0411643523372704
test std,0.0,1.5433975380245567e-14,0.0,0.07167991202252734,0.0,1.616671533638435e-14,0.0,0.0715635158602048
std testing,0.0,1.9386757982096957e-15,0.0,0.01235364352210378,0.0,3.976365537871201e-15,0.0,0.019938542122859882
