,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5532,0.0,50.0,0.0,0.5314
split 1,0.0,50.0,0.0,0.5574,0.0,50.0,0.0,0.4933
split 2,0.0,50.0,0.0,0.5176,0.0,50.0,0.0,0.5418
split 3,0.0,50.0,0.0,0.5328,0.0,50.0,0.0,0.5307
split 4,0.0,50.0,0.0,0.5336,0.0,50.0,0.0,0.4695
split 5,0.0,50.0,0.0,0.5185,0.0,50.0,0.0,0.6142
mean,0.0,50.0,0.0,0.5355,0.0,50.0,0.0,0.5301
std,0.0,0.0,0.0,0.0153,0.0,0.0,0.0,0.0452
test mean,0.0,50.0,0.0,0.5356536177975212,0.0,49.99999999999999,0.0,0.5124470695466512
test std,0.0,1.334291761984158e-14,0.0,0.05976509868100575,0.0,1.6085595323533783e-14,0.0,0.07001060164820436
