,F1,Acc,precision,Auc
train tissue 0,0.0,50.0,0.0,0.4345238095238094
train tissue 1,0.0,50.0,0.0,0.5468749999999999
train tissue 2,0.0,50.0,0.0,0.4900776531492664
train tissue 3,0.0,50.000000000000014,0.0,0.45614035087719307
train tissue 4,0.0,50.000000000000014,0.0,0.49583333333333346
train tissue 5,0.0,50.000000000000014,0.0,0.5405405405405407
train tissue 6,0.0,49.99999999999998,0.0,0.4582608695652171
train tissue 7,0.0,50.00000000000002,0.0,0.6246334310850443
train tissue 8,0.0,49.999999999999986,0.0,0.47409733124018805
train tissue 9,0.0,50.000000000000014,0.0,0.5826388888888892
train tissue 10,0.0,49.999999999999986,0.0,0.5105263157894737
train tissue 11,0.0,50.0,0.0,0.4303385416666666
train tissue 12,0.0,50.00000000000002,0.0,0.47751124437781134
train tissue 13,0.0,49.999999999999986,0.0,0.4999999999999998
train tissue 14,0.0,49.99999999999998,0.0,0.5419753086419752
train tissue 15,0.0,49.99999999999998,0.0,0.5431034482758621
train tissue 16,0.0,49.99999999999999,0.0,0.4871481028151774
train tissue 17,0.0,50.0,0.0,0.68859649122807
train tissue 18,0.0,49.999999999999986,0.0,0.475961538461538
train mean,0.0,50.0,0.0,0.5136201157610556
train std,0.0,1.4396625406603727e-14,0.0,0.06358554483775052
test tissue 0,0.0,49.99999999999997,0.0,0.4858387799564265
test tissue 1,0.0,50.000000000000036,0.0,0.5035714285714291
test tissue 2,0.0,50.0,0.0,0.49393939393939434
test tissue 3,0.0,50.00000000000002,0.0,0.575
test tissue 4,0.0,49.999999999999986,0.0,0.5486453201970443
test tissue 5,0.0,50.000000000000014,0.0,0.5320512820512822
test tissue 6,0.0,49.999999999999986,0.0,0.4987684729064039
test tissue 7,0.0,49.999999999999986,0.0,0.5103668261562995
test mean,0.0,50.0,0.0,0.518522687972285
test std,0.0,2.040878629308206e-14,0.0,0.028794413618306963
