,F1,Acc,precision,Auc
train tissue 0,72.84991568296797,74.19871794871796,76.86832740213522,0.7489316239316242
train tissue 1,53.54558610709117,60.56511056511058,65.14084507042254,0.6597051597051593
train tissue 2,59.42857142857143,63.5897435897436,67.09677419354836,0.796923076923077
train tissue 3,64.85355648535564,71.47707979626485,84.46866485013625,0.8242784380305603
train tissue 4,65.28098537336412,65.96226415094344,66.61429693637078,0.6860377358490566
train tissue 5,79.99999999999997,74.99999999999999,66.66666666666663,0.8933333333333333
train tissue 6,76.40449438202246,75.29411764705883,73.11827956989248,0.7852941176470588
train tissue 7,44.15584415584416,55.208333333333336,58.620689655172406,0.6261574074074073
train tissue 8,58.6353944562899,65.41889483065955,72.94429708222806,0.7147950089126557
train tissue 9,80.22013596633215,79.28813559322032,76.76579925650559,0.8433898305084746
train tissue 10,66.73521850899743,69.53860640301319,73.49943374858435,0.7947269303201507
train tissue 11,76.56612529002324,75.95238095238096,74.66063348416291,0.7821428571428575
train tissue 12,84.07643312101911,81.0606060606061,72.52747252747254,0.9360269360269361
train tissue 13,80.71748878923765,79.52380952380955,76.27118644067794,0.9083333333333333
train tissue 14,67.20000000000002,62.03703703703704,59.1549295774648,0.6378600823045264
train tissue 15,66.30800268997983,69.15024630541869,73.03703703703701,0.7746305418719213
train tissue 16,79.746835443038,77.14285714285714,71.59090909090911,0.8416666666666666
train tissue 17,70.81712062256808,71.15384615384612,71.65354330708664,0.7792307692307692
train tissue 18,60.31746031746034,62.619617224880365,64.27604871447905,0.6788277511961724
train mean,68.83469309579803,70.22007390836325,70.78820182162909,0.7743311368600916
train std,10.34610680235979,7.1230391373241275,6.230380164192027,0.08766517259397229
test tissue 0,75.22697795071336,77.74930102516309,84.8449385605617,0.870456663560112
test tissue 1,73.51351351351353,71.97712418300655,69.69253294289898,0.7663398692810459
test tissue 2,67.92899408284025,63.27913279132791,60.294117647058854,0.7533875338753386
test tissue 3,69.56521739130433,65.00000000000003,61.53846153846152,0.7823529411764707
test tissue 4,46.706586826347305,62.91666666666666,82.9787234042553,0.8166666666666667
test tissue 5,50.28674916993664,57.98469387755101,61.56688839615669,0.6806122448979594
test tissue 6,77.58186397984886,74.31457431457432,68.8268156424581,0.8528138528138528
test tissue 7,86.00508905852419,84.89010989010991,80.09478672985783,0.8725274725274725
test mean,68.35187399662856,69.76395034354994,71.22965810771362,0.7993946555998648
test std,12.585986827104673,8.430281010370813,9.46716538181765,0.062409039965167196
