,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,68.4,69.52,71.0,0.7552,59.7,61.42,62.49,0.6772
split 1,65.15,66.61,68.14,0.7374,65.14,64.33,63.69,0.6925
split 2,67.92,68.84,70.0,0.7524,57.19,62.58,66.8,0.7065
split 3,63.39,66.2,69.14,0.7308,76.61,73.54,68.65,0.7849
split 4,64.66,65.56,66.38,0.72,72.46,71.5,70.09,0.8052
split 5,65.76,66.29,66.82,0.7305,63.47,64.93,66.23,0.7169
mean,65.88,67.17,68.58,0.7377,65.76,66.38,66.33,0.7305
std,1.77,1.47,1.65,0.0125,6.81,4.52,2.63,0.0476
test mean,68.83469309579803,70.22007390836325,70.78820182162909,0.7743311368600916,68.35187399662856,69.76395034354994,71.22965810771362,0.7993946555998648
test std,10.34610680235979,7.1230391373241275,6.230380164192027,0.08766517259397229,12.585986827104673,8.430281010370813,9.46716538181765,0.062409039965167196
