plant,time point,cell,label,isCellTest
p4 FM1,0,21399,0,True
p4 FM1,0,21403,1,True
p4 FM1,0,21404,1,True
p4 FM1,0,21439,1,True
p4 FM1,0,21499,0,True
p4 FM1,0,21505,0,True
p4 FM1,0,21514,1,True
p4 FM1,0,21516,1,True
p4 FM1,0,21517,1,True
p4 FM1,0,21520,0,True
p4 FM1,0,21523,0,True
p4 FM1,0,21527,1,True
p4 FM1,0,21528,1,True
p4 FM1,0,21536,0,True
p4 FM1,0,21602,0,True
p4 FM1,0,21603,0,True
p4 FM1,0,21607,0,True
p4 FM1,0,21608,1,True
p4 FM1,0,21612,1,True
p4 FM1,0,21620,0,True
p4 FM1,0,21621,0,True
p4 FM1,0,21624,0,True
p4 FM1,0,21625,0,True
p4 FM1,0,21626,0,True
p4 FM1,0,21627,1,True
p4 FM1,0,21632,1,True
p4 FM1,0,21640,1,True
p4 FM1,0,21653,1,True
p4 FM1,1,21734,1,True
p4 FM1,1,21735,1,True
p4 FM1,1,21754,1,True
p4 FM1,1,21756,0,True
p4 FM1,1,21759,0,True
p4 FM1,1,21766,1,True
p4 FM1,1,21885,0,True
p4 FM1,1,21895,0,True
p4 FM1,1,21896,0,True
p4 FM1,1,21903,1,True
p4 FM1,1,21915,1,True
p4 FM1,1,21916,1,True
p4 FM1,1,21917,0,True
p4 FM1,1,21919,0,True
p4 FM1,1,21926,0,True
p4 FM1,1,21927,1,True
p4 FM1,1,21934,0,True
p4 FM1,1,21935,0,True
p4 FM1,1,21943,1,True
p4 FM1,1,21944,1,True
p4 FM1,1,21945,0,True
p4 FM1,1,21960,1,True
p4 FM1,1,21962,0,True
p4 FM1,1,21969,1,True
p4 FM1,1,21971,0,True
p4 FM1,1,21977,1,True
p4 FM1,1,21979,0,True
p4 FM1,1,21981,0,True
p4 FM1,1,21988,0,True
p4 FM1,1,21996,0,True
p4 FM1,1,22002,1,True
p4 FM1,2,22111,1,True
p4 FM1,2,22124,0,True
p4 FM1,2,22125,1,True
p4 FM1,2,22138,1,True
p4 FM1,2,22273,1,True
p4 FM1,2,22281,1,True
p4 FM1,2,22283,1,True
p4 FM1,2,22294,1,True
p4 FM1,2,22308,1,True
p4 FM1,2,22309,0,True
p4 FM1,2,22318,1,True
p4 FM1,2,22320,1,True
p4 FM1,2,22328,0,True
p4 FM1,2,22329,1,True
p4 FM1,2,22343,1,True
p4 FM1,2,22345,1,True
p4 FM1,2,22346,1,True
p4 FM1,2,22355,1,True
p4 FM1,2,22371,0,True
p4 FM1,2,22372,0,True
p4 FM1,2,22374,0,True
p4 FM1,2,22384,0,True
p4 FM1,2,22387,1,True
p4 FM1,2,22393,1,True
p4 FM1,2,22394,1,True
p4 FM1,2,22415,1,True
p4 FM1,2,22417,0,True
p4 FM1,2,22419,1,True
p4 FM1,3,22622,0,True
p4 FM1,3,22625,0,True
p4 FM1,3,22632,1,True
p4 FM1,3,22645,1,True
p4 FM1,3,22655,0,True
p4 FM1,3,22658,0,True
p4 FM1,3,22664,0,True
p4 FM1,3,22730,0,True
p4 FM1,3,22737,0,True
p4 FM1,3,22749,1,True
p4 FM1,3,22751,0,True
p4 FM1,3,22766,0,True
p4 FM1,3,22784,0,True
p4 FM1,3,22785,0,True
p4 FM1,3,22801,1,True
p4 FM1,3,22802,0,True
p4 FM1,3,22926,1,True
p4 FM1,3,22927,1,True
p4 FM1,3,22936,0,True
p4 FM1,3,22944,0,True
p4 FM1,3,22961,1,True
p4 FM1,3,22962,1,True
p4 FM1,3,22969,1,True
p4 FM1,3,22970,1,True
p4 FM1,3,22971,0,True
p4 FM1,3,22986,0,True
p4 FM1,3,22987,0,True
p4 FM1,3,22988,0,True
p4 FM1,3,22989,1,True
p4 FM1,3,23003,1,True
p4 FM2,0,4,1,True
p4 FM2,0,25,1,True
p4 FM2,0,32,1,True
p4 FM2,0,34,1,True
p4 FM2,0,35,1,True
p4 FM2,0,37,1,True
p4 FM2,0,40,0,True
p4 FM2,0,43,0,True
p4 FM2,0,78,0,True
p4 FM2,0,81,0,True
p4 FM2,0,83,1,True
p4 FM2,0,84,0,True
p4 FM2,0,123,1,True
p4 FM2,0,129,1,True
p4 FM2,0,130,1,True
p4 FM2,0,135,1,True
p4 FM2,0,142,1,True
p4 FM2,0,148,1,True
p4 FM2,0,151,0,True
p4 FM2,0,152,1,True
p4 FM2,0,158,0,True
p4 FM2,0,159,1,True
p4 FM2,0,161,1,True
p4 FM2,0,164,1,True
p4 FM2,0,171,0,True
p4 FM2,0,177,0,True
p4 FM2,0,180,1,True
p4 FM2,0,184,0,True
p4 FM2,0,193,0,True
p4 FM2,0,206,0,True
p4 FM2,0,208,1,True
p4 FM2,1,29678,0,True
p4 FM2,1,29682,0,True
p4 FM2,1,29694,0,True
p4 FM2,1,29695,1,True
p4 FM2,1,29706,0,True
p4 FM2,1,29711,0,True
p4 FM2,1,29717,1,True
p4 FM2,1,29733,1,True
p4 FM2,1,29736,0,True
p4 FM2,1,29801,1,True
p4 FM2,1,29802,1,True
p4 FM2,1,29808,0,True
p4 FM2,1,29821,0,True
p4 FM2,1,29823,1,True
p4 FM2,1,29835,0,True
p4 FM2,1,29836,1,True
p4 FM2,1,29848,1,True
p4 FM2,1,29850,1,True
p4 FM2,1,29851,1,True
p4 FM2,1,29856,1,True
p4 FM2,1,29869,1,True
p4 FM2,1,29870,0,True
p4 FM2,1,29872,1,True
p4 FM2,1,29885,1,True
p4 FM2,1,29886,1,True
p4 FM2,1,29887,1,True
p4 FM2,1,29896,1,True
p4 FM2,1,29902,1,True
p4 FM2,1,29904,1,True
p4 FM2,1,29905,1,True
p4 FM2,1,29927,0,True
p4 FM2,1,29928,0,True
p4 FM2,2,29944,0,True
p4 FM2,2,29962,1,True
p4 FM2,2,29986,1,True
p4 FM2,2,29994,0,True
p4 FM2,2,30025,0,True
p4 FM2,2,30030,1,True
p4 FM2,2,30037,1,True
p4 FM2,2,30046,0,True
p4 FM2,2,30048,0,True
p4 FM2,2,30051,1,True
p4 FM2,2,30052,1,True
p4 FM2,2,30070,1,True
p4 FM2,2,30071,1,True
p4 FM2,2,30086,0,True
p4 FM2,2,30103,1,True
p4 FM2,2,30153,1,True
p4 FM2,2,30170,0,True
p4 FM2,2,30178,0,True
p4 FM2,2,30183,1,True
p4 FM2,2,30184,0,True
p4 FM2,2,30196,1,True
p4 FM2,2,30199,1,True
p4 FM2,2,30203,0,True
p4 FM2,2,30204,1,True
p4 FM2,2,30209,0,True
p4 FM2,2,30218,0,True
p4 FM2,2,30294,1,True
p4 FM2,2,30303,1,True
p4 FM2,2,30307,1,True
p4 FM2,2,30310,0,True
p4 FM2,2,30321,1,True
p4 FM2,2,30322,0,True
p4 FM2,2,30329,0,True
p4 FM2,2,30336,1,True
p4 FM2,2,30352,0,True
p4 FM2,2,30354,0,True
p4 FM2,3,30777,0,True
p4 FM2,3,30816,1,True
p4 FM2,3,30829,1,True
p4 FM2,3,30834,0,True
p4 FM2,3,30838,0,True
p4 FM2,3,30848,1,True
p4 FM2,3,31034,1,True
p4 FM2,3,31066,1,True
p4 FM2,3,31078,1,True
p4 FM2,3,31109,1,True
p4 FM2,3,31129,0,True
p4 FM2,3,31133,0,True
p4 FM2,3,31193,0,True
p4 FM2,3,31495,1,True
p4 FM2,3,31534,0,True
p4 FM2,3,31550,0,True
p4 FM2,3,31551,0,True
p4 FM2,3,31553,1,True
p4 FM2,3,31567,1,True
p4 FM2,3,31576,1,True
p4 FM2,3,31590,0,True
p4 FM2,3,31591,0,True
p4 FM2,3,31624,0,True
p4 FM2,3,31626,0,True
p4 FM2,3,31635,0,True
p4 FM2,3,31637,1,True
p4 FM2,3,31645,1,True
p4 FM2,3,31646,1,True
p4 FM2,3,31655,1,True
p4 FM2,3,31656,1,True
p4 FM2,3,31736,0,True
p4 FM2,3,31737,0,True
p4 FM2,3,31889,0,True
p4 FM2,3,31890,0,True
p4 FM2,3,31914,0,True
