,F1,Acc,precision,Auc
test tissue 0,93.33333333333333,92.85714285714286,87.5,0.9591836734693878
test tissue 1,73.27586206896551,73.94957983193277,75.22123893805309,0.773109243697479
test tissue 2,75.00000000000003,80.0,100.0,0.9375
test tissue 3,75.0,77.77777777777777,85.71428571428571,0.8796296296296297
test tissue 4,67.13286713286712,69.07894736842104,71.64179104477611,0.7587719298245613
test tissue 5,78.78787878787878,82.5,100.0,0.9291666666666667
test tissue 6,59.25925925925927,71.05263157894736,100.0,0.9752321981424148
test tissue 7,60.86956521739131,71.87500000000003,100.0,0.9013157894736842
test mean,72.8323457249619,77.38638492677772,90.00966446213937,0.8892386413629779
test std,10.156118068319538,7.278345669690699,11.068266656832092,0.07661298494777809
