,F1,Acc,precision,Auc
test tissue 0,83.33333333333333,85.71428571428571,100.0,0.989795918367347
test tissue 1,67.66169154228855,72.68907563025209,82.92682926829268,0.8697478991596639
test tissue 2,75.00000000000003,80.0,100.0,0.95625
test tissue 3,88.23529411764706,88.8888888888889,93.75,0.9074074074074074
test tissue 4,55.97667638483964,66.8859649122807,83.47826086956522,0.8728070175438596
test tissue 5,71.28712871287128,75.83333333333333,87.80487804878047,0.9333333333333333
test tissue 6,41.66666666666667,63.15789473684209,100.0,0.9659442724458205
test tissue 7,54.54545454545454,68.75000000000003,100.0,0.9473684210526315
test mean,67.21328066288764,75.23993040198536,93.49499602332979,0.9303317836637579
test std,14.656807449914654,8.539664502400434,7.1913481719469905,0.04074352054435681
