,F1,Acc,precision,Auc
test tissue 0,85.71428571428571,85.71428571428571,85.71428571428571,0.8622448979591837
test tissue 1,83.5538752362949,81.72268907563026,75.9450171821306,0.8865546218487395
test tissue 2,83.72093023255815,82.5,78.26086956521739,0.8875000000000001
test tissue 3,38.297872340425535,59.72222222222223,81.81818181818181,0.8518518518518519
test tissue 4,74.5631067961165,71.2719298245614,66.89895470383274,0.7412280701754386
test tissue 5,74.99999999999997,76.66666666666666,80.76923076923075,0.875
test tissue 6,66.40625,73.37461300309596,89.94708994708995,0.9473684210526315
test tissue 7,0.0,50.000000000000014,0.0,0.881578947368421
test mean,63.407040039960094,72.62155081330778,69.91920371249611,0.8666658512820333
test std,27.917143363083564,11.449415728723709,27.188279594785186,0.05432313563427296
