,F1,Acc,precision,Auc
test tissue 0,92.85714285714286,92.85714285714286,92.85714285714286,0.9846938775510204
test tissue 1,79.35368043087975,75.84033613445378,69.2789968652038,0.8403361344537815
test tissue 2,94.73684210526316,95.0,100.0,0.9375
test tissue 3,71.18644067796612,76.3888888888889,91.30434782608695,0.8703703703703703
test tissue 4,52.42718446601942,57.01754385964911,58.69565217391305,0.7105263157894737
test tissue 5,84.95575221238937,85.83333333333334,90.56603773584905,0.9333333333333333
test tissue 6,59.25925925925927,71.05263157894736,100.0,0.9721362229102167
test tissue 7,22.22222222222222,56.25000000000002,100.0,0.9013157894736842
test mean,69.62481552889277,76.27998458155193,87.83777218227446,0.893776505485235
test std,22.783467525793938,13.767170648662475,14.500453949440882,0.08285823262042517
