,F1,Acc,precision,Auc
test tissue 0,66.66666666666667,60.71428571428571,57.89473684210527,0.693877551020408
test tissue 1,57.627118644067785,57.98319327731092,58.11965811965811,0.6050420168067228
test tissue 2,62.0689655172414,72.50000000000001,100.0,0.8562500000000001
test tissue 3,52.63157894736842,62.50000000000002,71.42857142857143,0.7361111111111112
test tissue 4,59.25925925925927,63.815789473684205,67.79661016949152,0.7324561403508771
test tissue 5,61.11111111111109,65.0,68.74999999999997,0.825
test tissue 6,52.71317829457364,62.229102167182646,70.46632124352331,0.7337461300309598
test tissue 7,72.0,78.12500000000003,100.0,0.9111842105263158
test mean,60.50973480503603,65.35842132905795,74.30698722541871,0.7617083949807993
test std,6.1791145829656795,6.229175819278892,15.604304318881898,0.09132712003057765
