plant,time point,dividing parent cell,parent neighbor,label,isCellTest
p4 FM1,0,21461,21465,1,True
p4 FM1,0,21461,21473,1,True
p4 FM1,0,21486,21395,2,True
p4 FM1,0,21486,21477,2,True
p4 FM1,0,21486,21595,1,True
p4 FM1,0,21465,21470,2,True
p4 FM1,0,21465,21473,0,True
p4 FM1,0,21465,21576,0,True
p4 FM1,0,21527,21403,2,True
p4 FM1,0,21527,21439,2,True
p4 FM1,0,21527,21621,0,True
p4 FM1,0,21527,21624,0,True
p4 FM1,0,21527,21625,0,True
p4 FM1,0,21527,21640,1,True
p4 FM1,0,21640,21403,0,True
p4 FM1,0,21640,21439,0,True
p4 FM1,0,21640,21444,2,True
p4 FM1,0,21640,21527,0,True
p4 FM1,0,21640,21642,1,True
p4 FM1,0,21640,21653,2,True
p4 FM1,0,21640,21691,1,True
p4 FM1,0,21528,21403,2,True
p4 FM1,0,21528,21404,2,True
p4 FM1,0,21528,21523,0,True
p4 FM1,0,21528,21536,1,True
p4 FM1,0,21528,21626,0,True
p4 FM1,0,21528,21632,0,True
p4 FM1,0,21528,21653,1,True
p4 FM1,0,21590,21422,1,True
p4 FM1,0,21590,21482,1,True
p4 FM1,0,21590,21485,2,True
p4 FM1,0,21590,21499,2,True
p4 FM1,0,21590,21500,0,True
p4 FM1,0,21590,21505,0,True
p4 FM1,0,21510,21498,2,True
p4 FM1,0,21510,21513,2,True
p4 FM1,0,21510,21516,0,True
p4 FM1,0,21510,21604,0,True
p4 FM1,0,21477,21473,2,True
p4 FM1,0,21477,21483,1,True
p4 FM1,0,21477,21486,2,True
p4 FM1,0,21477,21576,1,True
p4 FM1,0,21618,21438,0,True
p4 FM1,0,21618,21439,0,True
p4 FM1,0,21618,21513,1,True
p4 FM1,0,21618,21516,1,True
p4 FM1,0,21618,21617,2,True
p4 FM1,0,21618,21620,2,True
p4 FM1,0,21395,21428,1,True
p4 FM1,0,21395,21486,2,True
p4 FM1,0,21395,21595,1,True
p4 FM1,0,21655,21642,0,True
p4 FM1,0,21655,21654,0,True
p4 FM1,0,21655,21656,0,True
p4 FM1,0,21655,21691,0,True
p4 FM1,0,21655,21692,2,True
p4 FM1,0,21473,21465,2,True
p4 FM1,0,21473,21477,2,True
p4 FM1,0,21473,21576,1,True
p4 FM1,0,21578,21473,1,True
p4 FM1,0,21578,21477,1,True
p4 FM1,0,21578,21486,1,True
p4 FM1,0,21614,21428,0,True
p4 FM1,0,21614,21440,1,True
p4 FM1,0,21614,21521,1,True
p4 FM1,0,21614,21612,0,True
p4 FM1,0,21614,21627,2,True
p4 FM1,0,21507,21395,1,True
p4 FM1,0,21507,21428,1,True
p4 FM1,0,21507,21614,2,True
p4 FM1,0,21537,21404,0,True
p4 FM1,0,21537,21530,0,True
p4 FM1,0,21537,21536,2,True
p4 FM1,0,21537,21641,2,True
p4 FM1,0,21537,21644,1,True
p4 FM1,0,21537,21654,1,True
p4 FM1,0,21537,21659,0,True
p4 FM1,0,21398,21521,2,True
p4 FM1,0,21398,21614,1,True
p4 FM1,0,21591,21395,0,True
p4 FM1,0,21627,21440,0,True
p4 FM1,0,21627,21612,1,True
p4 FM1,0,21627,21614,2,True
p4 FM1,0,21627,21626,1,True
p4 FM1,0,21627,21632,2,True
p4 FM1,0,21608,21428,0,True
p4 FM1,0,21608,21500,0,True
p4 FM1,0,21608,21505,2,True
p4 FM1,0,21608,21520,1,True
p4 FM1,0,21608,21595,0,True
p4 FM1,0,21608,21607,1,True
p4 FM1,0,21608,21612,2,True
p4 FM1,0,21659,21440,0,True
p4 FM1,0,21659,21530,0,True
p4 FM1,0,21659,21537,0,True
p4 FM1,0,21659,21641,2,True
p4 FM1,0,21638,21436,2,True
p4 FM1,0,21638,21438,0,True
p4 FM1,0,21638,21444,0,True
p4 FM1,0,21638,21692,2,True
p4 FM1,0,21599,21494,2,True
p4 FM1,0,21599,21498,1,True
p4 FM1,0,21599,21514,2,True
p4 FM1,0,21599,21587,1,True
p4 FM1,0,21599,21602,0,True
p4 FM1,0,21599,21604,1,True
p4 FM1,0,21516,21510,1,True
p4 FM1,0,21516,21513,1,True
p4 FM1,0,21516,21514,0,True
p4 FM1,0,21516,21604,2,True
p4 FM1,0,21516,21618,1,True
p4 FM1,0,21516,21620,2,True
p4 FM1,0,21516,21621,0,True
p4 FM1,0,21632,21404,2,True
p4 FM1,0,21632,21440,0,True
p4 FM1,0,21632,21528,1,True
p4 FM1,0,21632,21530,0,True
p4 FM1,0,21632,21626,1,True
p4 FM1,0,21632,21627,2,True
p4 FM1,0,21436,21438,2,True
p4 FM1,0,21436,21617,0,True
p4 FM1,0,21436,21638,1,True
p4 FM1,0,21481,21494,0,True
p4 FM1,0,21481,21580,2,True
p4 FM1,0,21481,21587,2,True
p4 FM1,0,21481,21589,0,True
p4 FM1,0,21404,21528,1,True
p4 FM1,0,21404,21530,0,True
p4 FM1,0,21404,21536,2,True
p4 FM1,0,21404,21537,0,True
p4 FM1,0,21404,21632,2,True
p4 FM1,0,21568,21473,1,True
p4 FM1,0,21654,21536,0,True
p4 FM1,0,21654,21537,0,True
p4 FM1,0,21654,21642,2,True
p4 FM1,0,21654,21644,2,True
p4 FM1,0,21654,21653,0,True
p4 FM1,0,21654,21655,1,True
p4 FM1,0,21654,21656,1,True
p4 FM1,0,21514,21516,1,True
p4 FM1,0,21514,21517,2,True
p4 FM1,0,21514,21599,0,True
p4 FM1,0,21514,21602,0,True
p4 FM1,0,21514,21604,2,True
p4 FM1,0,21514,21621,1,True
p4 FM1,0,21444,21438,2,True
p4 FM1,0,21444,21439,0,True
p4 FM1,0,21444,21638,1,True
p4 FM1,0,21444,21640,2,True
p4 FM1,0,21444,21691,1,True
p4 FM1,0,21444,21692,1,True
p4 FM1,0,21517,21399,0,True
p4 FM1,0,21517,21514,1,True
p4 FM1,0,21517,21602,2,True
p4 FM1,0,21517,21603,0,True
p4 FM1,0,21517,21621,1,True
p4 FM1,0,21517,21624,1,True
p4 FM1,0,21517,21625,2,True
p4 FM1,0,21472,21470,2,True
p4 FM1,0,21472,21474,0,True
p4 FM1,0,21472,21580,0,True
p4 FM1,0,21472,21581,0,True
p4 FM1,0,21438,21436,1,True
p4 FM1,0,21438,21439,0,True
p4 FM1,0,21438,21444,2,True
p4 FM1,0,21438,21617,1,True
p4 FM1,0,21438,21618,2,True
p4 FM1,0,21438,21638,1,True
p4 FM1,0,21498,21510,1,True
p4 FM1,0,21498,21587,0,True
p4 FM1,0,21498,21599,2,True
p4 FM1,0,21498,21604,1,True
p4 FM1,0,21403,21523,0,True
p4 FM1,0,21403,21527,2,True
p4 FM1,0,21403,21528,2,True
p4 FM1,0,21403,21625,0,True
p4 FM1,0,21403,21640,1,True
p4 FM1,0,21403,21653,1,True
p4 FM1,0,21470,21465,2,True
p4 FM1,0,21470,21472,1,True
p4 FM1,0,21470,21474,2,True
p4 FM1,0,21470,21576,0,True
p4 FM1,0,21653,21403,1,True
p4 FM1,0,21653,21528,2,True
p4 FM1,0,21653,21536,0,True
p4 FM1,0,21653,21640,1,True
p4 FM1,0,21653,21642,2,True
p4 FM1,0,21653,21654,0,True
p4 FM1,0,21576,21465,1,True
p4 FM1,0,21576,21470,1,True
p4 FM1,0,21576,21473,2,True
p4 FM1,0,21576,21474,1,True
p4 FM1,0,21576,21477,0,True
p4 FM1,0,21576,21482,2,True
p4 FM1,0,21576,21483,0,True
p4 FM1,0,21576,21485,0,True
p4 FM1,0,21612,21428,2,True
p4 FM1,0,21612,21520,1,True
p4 FM1,0,21612,21608,1,True
p4 FM1,0,21612,21614,0,True
p4 FM1,0,21612,21626,1,True
p4 FM1,0,21612,21627,2,True
p4 FM1,0,21422,21482,0,True
p4 FM1,0,21422,21499,1,True
p4 FM1,0,21422,21580,0,True
p4 FM1,0,21422,21581,0,True
p4 FM1,0,21422,21589,2,True
p4 FM1,0,21422,21590,2,True
p4 FM1,0,21422,21603,1,True
p4 FM1,0,21428,21395,2,True
p4 FM1,0,21428,21595,1,True
p4 FM1,0,21428,21608,1,True
p4 FM1,0,21428,21612,2,True
p4 FM1,0,21428,21614,0,True
p4 FM1,0,21617,21436,1,True
p4 FM1,0,21617,21438,1,True
p4 FM1,0,21617,21513,0,True
p4 FM1,0,21617,21618,2,True
p4 FM1,0,21440,21521,2,True
