,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
test tissue 0,34.341829681575796,42.175975622424616,14.831814307258542,46.01769911504422,37.37400530503977,35.77432667754789,34.66332745176165,28.69829992387719,43.96135265700482,0.5659100374843815
test tissue 1,46.72471030583451,52.118956550978325,38.15393140926518,49.90124295726004,47.18226470197797,46.84007202131985,50.08849947487858,43.46413880177572,46.96757778730523,0.6941528631641118
test tissue 2,47.423008495696585,48.6109766721518,41.87919463087247,51.77885418406548,47.49701314217442,47.719346739941635,52.85203115133659,41.82305630026809,48.482952768220215,0.6414970739802603
test tissue 3,50.85033857747671,54.30236161867974,48.63016940909467,49.61848470465572,50.85928224895251,51.895131797895566,55.35968257976614,55.972665168465596,44.35304764545495,0.7001115588643764
test tissue 4,32.22351177072183,42.67738444891019,8.780219276113584,45.21293158714171,35.81658368676624,35.12148339477943,32.10381878226894,17.305605786618447,55.95502561545091,0.5206163194444444
test tissue 5,52.31963223208129,53.33333333333332,53.81589299763965,49.809670365270904,52.204678362573084,53.186805169265334,52.06349206349207,61.23545210384961,46.26147134045432,0.7096092098049964
test tissue 6,51.034690247099746,43.01806392237367,53.80778192026019,56.278224898665364,51.721840019712374,52.02002562025036,52.864350673159834,53.3675675110607,49.828158676530556,0.7028863320769688
test tissue 7,52.63346841979442,55.13488895089902,57.231171218325,45.53434509015922,52.61750984663538,53.08774532198165,51.2677462532639,61.971432906602054,46.024056806078995,0.7126899705810562
test mean,45.94389871628512,48.92149263996883,39.64127189610366,49.26893161278283,46.90914716422897,46.955617092872714,47.65786855374097,45.479777312814676,47.7292054120625,0.6559341706750745
test std,7.591476202823875,5.2043964128200075,17.200831959743475,3.485919759143582,6.262764058995483,7.0012708675682465,8.385552943724116,14.938918358692733,3.6033814893594984,0.06923035946304723
