,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
test tissue 0,42.51925650106352,0.0,54.16889439176076,73.38887511142981,51.42616033755274,38.40251092779531,0.0,40.37514601201661,74.83238677136933,0.7268417008676749
test tissue 1,46.226915769593326,2.4096385542168712,58.58052623188058,77.69058252268252,55.406925685750664,74.13429424311722,100.0,43.86949161001043,78.53339111934125,0.7250312037721893
test tissue 2,43.90267273667016,0.603848773495716,58.6438666179011,72.46030281861367,53.605346186647004,48.74626327992286,31.164742917103883,44.46457511591837,70.60947180674633,0.7103918838680615
test tissue 3,42.83109753665383,0.0,56.92158717787618,71.57170543208532,52.8765852149706,36.416542372970284,0.0,44.712780045266854,64.536847073644,0.6968004499367275
test tissue 4,44.90107675341943,0.0,58.16714134591907,76.53608891433923,54.36159844054579,40.93106888799493,0.0,43.090069974585354,79.70313668939943,0.7282713294158596
test tissue 5,43.98199334624605,0.944572965203275,55.68927255130068,75.3121345222342,52.36205627963351,43.63602832332635,10.271271794384534,41.46162571819852,79.175187457396,0.7429934198545569
test tissue 6,42.57100496713398,1.1623625957358636,54.70779891173597,71.8428533939301,51.54612741526419,41.25843391393496,14.157591798338624,42.50335225502381,67.11435768844244,0.7211991939132991
test tissue 7,43.11612265594869,1.5631787303546505,55.89713161801472,71.88805761947673,52.14264268128437,43.06076243679456,18.367420797012112,43.34318475518006,67.47168175819152,0.6999154503381986
test mean,43.75626753334112,0.835450202375797,56.59702735579863,73.83632504184895,52.96593028020611,45.823238048232064,21.745128413354895,42.977528185775,72.74705754556629,0.7189305789958209
test std,1.2087103724371073,0.8119427020743575,1.6383414788339086,2.2168069676419977,1.3111245820129511,11.240546070250552,31.288446150136313,1.3901246707703028,5.6906927476817994,0.014557846074807737
