,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
test tissue 0,37.87259936561827,47.049073970825226,19.68909668810949,46.87962743792009,40.54322611284636,39.657331530896535,38.27629859017862,33.60115521327014,47.09454078924084,0.5483686587582692
test tissue 1,52.03474594113902,55.46621573240773,58.76696673366101,41.87105535734832,52.875915996701075,52.72899082719103,52.21722439430273,54.03533473788835,51.93441334938203,0.7152337971523668
test tissue 2,47.94270969661548,43.810953967390155,49.09088557200553,50.926289550450754,48.097350333122684,48.494577497483284,48.97180171454334,44.44183000177709,52.07010077612944,0.6615145318482423
test tissue 3,51.31274736011187,55.54167304394548,49.200066398182585,49.19650263820755,51.27120893345134,53.048978554054656,56.67211667479385,59.41725837573239,43.05756061163773,0.7074022576686264
test tissue 4,26.43550201307163,40.68908033852229,5.5396679290888775,33.07775777160372,30.2097519292905,27.080262947701385,31.07858935411436,9.285125426922626,40.87707406206717,0.456952150856862
test tissue 5,55.31523654977074,60.294053362534584,55.42705218456355,50.2246041022141,55.39738293903396,55.30033993687349,58.34638965489536,56.55000869633561,51.00462145938951,0.7368776481443262
test tissue 6,49.058632315758416,47.23337732170524,48.75837104914613,51.18414857642388,49.21124642449042,49.87054480480726,54.778469862062416,48.354123019791764,46.479041532567614,0.6690589590845691
test tissue 7,55.53472252679668,59.0845784311806,56.796281790249395,50.72330735896004,55.51824639061172,56.81676986244944,54.5153683974658,67.20321984657724,48.73172134330527,0.7478850223487995
test mean,46.93836197111026,51.14612577106391,42.90854854312582,46.76041159914106,47.8905411324435,47.874724495182136,49.357032330294565,46.6110069147869,47.65613424046495,0.6554116282327577
test std,9.335666810528647,6.891458494101523,18.195715807143014,5.9339987849798845,8.056036681350045,9.285334144215716,9.05215899034849,17.00060720358496,3.8561557565856046,0.09522185608429502
