plant,time point,dividing parent cell,parent neighbor,label,isCellTest
p4 FM1,0,21486,21595,1,True
p4 FM1,0,21527,21621,0,True
p4 FM1,0,21527,21624,0,True
p4 FM1,0,21527,21625,0,True
p4 FM1,0,21640,21642,1,True
p4 FM1,0,21640,21691,1,True
p4 FM1,0,21528,21523,0,True
p4 FM1,0,21528,21536,1,True
p4 FM1,0,21528,21626,0,True
p4 FM1,0,21590,21482,1,True
p4 FM1,0,21590,21485,2,True
p4 FM1,0,21590,21499,2,True
p4 FM1,0,21590,21500,0,True
p4 FM1,0,21590,21505,0,True
p4 FM1,0,21510,21513,2,True
p4 FM1,0,21510,21604,0,True
p4 FM1,0,21477,21483,1,True
p4 FM1,0,21618,21513,1,True
p4 FM1,0,21618,21620,2,True
p4 FM1,0,21395,21595,1,True
p4 FM1,0,21655,21642,0,True
p4 FM1,0,21655,21656,0,True
p4 FM1,0,21655,21691,0,True
p4 FM1,0,21655,21692,2,True
p4 FM1,0,21614,21521,1,True
p4 FM1,0,21537,21530,0,True
p4 FM1,0,21537,21536,2,True
p4 FM1,0,21537,21641,2,True
p4 FM1,0,21537,21644,1,True
p4 FM1,0,21398,21521,2,True
p4 FM1,0,21627,21626,1,True
p4 FM1,0,21608,21500,0,True
p4 FM1,0,21608,21505,2,True
p4 FM1,0,21608,21520,1,True
p4 FM1,0,21608,21595,0,True
p4 FM1,0,21608,21607,1,True
p4 FM1,0,21659,21530,0,True
p4 FM1,0,21659,21641,2,True
p4 FM1,0,21638,21692,2,True
p4 FM1,0,21599,21494,2,True
p4 FM1,0,21599,21587,1,True
p4 FM1,0,21599,21602,0,True
p4 FM1,0,21599,21604,1,True
p4 FM1,0,21516,21513,1,True
p4 FM1,0,21516,21604,2,True
p4 FM1,0,21516,21620,2,True
p4 FM1,0,21516,21621,0,True
p4 FM1,0,21632,21530,0,True
p4 FM1,0,21632,21626,1,True
p4 FM1,0,21481,21494,0,True
p4 FM1,0,21481,21580,2,True
p4 FM1,0,21481,21587,2,True
p4 FM1,0,21481,21589,0,True
p4 FM1,0,21404,21530,0,True
p4 FM1,0,21404,21536,2,True
p4 FM1,0,21654,21536,0,True
p4 FM1,0,21654,21642,2,True
p4 FM1,0,21654,21644,2,True
p4 FM1,0,21654,21656,1,True
p4 FM1,0,21514,21602,0,True
p4 FM1,0,21514,21604,2,True
p4 FM1,0,21514,21621,1,True
p4 FM1,0,21444,21691,1,True
p4 FM1,0,21444,21692,1,True
p4 FM1,0,21517,21399,0,True
p4 FM1,0,21517,21602,2,True
p4 FM1,0,21517,21603,0,True
p4 FM1,0,21517,21621,1,True
p4 FM1,0,21517,21624,1,True
p4 FM1,0,21517,21625,2,True
p4 FM1,0,21472,21474,0,True
p4 FM1,0,21472,21580,0,True
p4 FM1,0,21472,21581,0,True
p4 FM1,0,21498,21587,0,True
p4 FM1,0,21498,21604,1,True
p4 FM1,0,21403,21523,0,True
p4 FM1,0,21403,21625,0,True
p4 FM1,0,21470,21474,2,True
p4 FM1,0,21653,21536,0,True
p4 FM1,0,21653,21642,2,True
p4 FM1,0,21576,21474,1,True
p4 FM1,0,21576,21482,2,True
p4 FM1,0,21576,21483,0,True
p4 FM1,0,21576,21485,0,True
p4 FM1,0,21612,21520,1,True
p4 FM1,0,21612,21626,1,True
p4 FM1,0,21422,21482,0,True
p4 FM1,0,21422,21499,1,True
p4 FM1,0,21422,21580,0,True
p4 FM1,0,21422,21581,0,True
p4 FM1,0,21422,21589,2,True
p4 FM1,0,21422,21603,1,True
p4 FM1,0,21428,21595,1,True
p4 FM1,0,21617,21513,0,True
p4 FM1,0,21440,21521,2,True
p4 FM1,0,21440,21530,2,True
p4 FM1,0,21439,21620,2,True
p4 FM1,0,21439,21621,0,True
p4 FM1,1,26070,22067,2,True
p4 FM1,1,21874,21857,2,True
p4 FM1,1,21874,21865,0,True
p4 FM1,1,21874,21883,2,True
