,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
test tissue 0,53.62916315811949,52.88357325920917,33.40453574512562,74.59938047002369,54.96176959468099,54.90307359768351,45.23936779415128,44.937637564196606,74.53221543470262,0.705712036880868
test tissue 1,66.91913134910409,62.662170142666184,62.60626011621797,75.48896378842815,66.82749954238729,67.06962468762073,63.136285912925786,60.90367148447816,77.16891666545827,0.8426896495931954
test tissue 2,61.31813004242907,53.16260748730197,58.09425198417595,72.69753065580929,61.528996793224444,61.81672640704261,59.77748179475889,53.664965810730095,72.00773161563885,0.7871377275240065
test tissue 3,67.19041822310125,66.02210856294336,61.914900534691775,73.63424557166864,67.49245524614321,67.56024466552502,64.46457799028248,69.02608959268998,69.19006641360258,0.8415361728645798
test tissue 4,49.18067097527742,39.840792156101315,33.49613278873727,74.20508798099368,50.66256775881865,48.7341890404435,38.66008515769242,39.74099888646017,67.80148307717792,0.6836674105771791
test tissue 5,69.74471847286262,69.41539742413048,65.32803164545395,74.49072634900344,69.76843498410895,69.80683612673324,67.19970847043433,67.16713569261215,75.05366421715323,0.869433585450837
test tissue 6,62.1774129227256,57.555729499554275,55.50570634047821,73.47080292814432,62.787961830137625,62.27797473671083,60.54410185579515,59.31072592817378,66.97909642616357,0.802116910560762
test tissue 7,67.22535053470696,67.47841830692943,60.9339406691883,73.26369262800316,67.5422453554772,68.32037662669912,61.25991285140087,71.65145565755175,72.04976137114473,0.8412802598789604
test mean,62.17312445979081,58.627599604854524,53.91046997800863,73.9813037965093,62.6964913881223,62.561130736057315,57.535190228430146,58.30033507711158,71.84786690263022,0.7966967191662985
test std,6.829037253046231,9.23730962446556,12.127782372574261,0.8298153362171019,6.3203329129457835,6.905172776096466,9.408795223788696,10.748313395911104,3.409633477363945,0.06381502554578276
