,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
test tissue 0,42.40106064315586,43.69894519787454,31.152733783225443,52.35150294836759,42.33127026230473,43.06461410850286,39.617486338797825,32.397593812661114,57.17876217404962,0.5906393169512703
test tissue 1,48.7822145602377,53.973203333359656,49.87420550847455,42.499234838878905,49.010221691225276,49.02507995535249,53.62984398590835,46.33411243695411,47.11128344319502,0.6934548578485329
test tissue 2,43.43779087361266,40.82357859531774,37.57436593257487,51.91542809294537,44.64157706093189,45.49003201767982,48.97191574724174,44.98875281179704,42.5094274940007,0.6316272163507729
test tissue 3,52.992480462692924,51.03617661404862,56.528501017941664,51.41276375608849,52.93124003131506,53.66722957950255,55.21516800149448,59.05939579877294,46.72712493824021,0.7139046361435543
test tissue 4,27.88215686059725,22.797028987601525,32.796435915010285,28.053005679179932,27.89149097465527,28.542387519654227,21.514291948505353,30.62890062409987,33.48396998635745,0.4976128472222222
test tissue 5,53.32202347730646,49.38271604938272,61.07840388748716,49.504950495049485,53.0877192982456,54.20495440151456,52.434456928838955,65.34693061387725,44.833475661827485,0.7328784556347403
test tissue 6,52.392640066743475,47.028106022959875,56.29276319215188,53.85705098511867,52.51911209358019,53.83208198476419,52.09845671524812,62.714750218267156,46.683039020777294,0.7017022912120612
test tissue 7,51.6136498772355,52.06991303875449,58.54474090583349,44.22629568711853,51.55297998173389,51.69178373432985,52.78267254038174,58.865101829656844,43.42757683295099,0.7029714417851775
test mean,46.60300210269773,45.1012084799124,47.980268767837416,46.72752906034337,46.745701424248985,47.43977041266257,47.03303652580207,50.04194226826079,45.24433244392485,0.6580988828935415
test std,8.120122139540241,9.369392365816855,11.461476657037213,7.999307934486465,8.05797835995918,8.109084301309439,10.655475379646328,12.656407895110847,6.118005227158595,0.07489861908841974
