,F1,Acc,precision,Auc
test tissue 0,77.31629392971246,79.82954545454545,88.32116788321169,0.8749999999999999
test tissue 1,52.94117647058826,68.0,100.0,0.9199999999999999
test tissue 2,62.499999999999986,72.7272727272727,100.0,0.8696969696969697
test tissue 3,79.3814432989691,78.02197802197801,74.75728155339809,0.8846153846153846
test tissue 4,56.25,69.56521739130439,100.0,0.8136645962732919
test tissue 5,40.0,62.5,100.0,0.9349999999999999
test tissue 6,70.0,65.3846153846154,61.76470588235294,0.8846153846153846
test tissue 7,78.04878048780488,82.0,100.0,0.9422222222222221
test tissue 8,69.99999999999997,76.92307692307692,100.0,1.0
test mean,65.15974379856385,72.77241176697697,91.64923947988474,0.9027571730470281
test std,12.612981592727435,6.4369032742075944,13.366254603252335,0.050342986252910386
