plant,time point,cell,label,isCellTest
p3 FM6 flower 1,0,13266,1,True
p3 FM6 flower 1,0,13307,0,True
p3 FM6 flower 1,0,13326,1,True
p3 FM6 flower 1,0,13327,1,True
p3 FM6 flower 1,0,13331,0,True
p3 FM6 flower 1,0,13345,1,True
p3 FM6 flower 1,0,13355,1,True
p3 FM6 flower 1,0,13371,0,True
p3 FM6 flower 1,0,13372,0,True
p3 FM6 flower 1,0,13419,0,True
p3 FM6 flower 1,0,13470,0,True
p3 FM6 flower 1,0,13673,1,True
p3 FM6 flower 1,0,13679,1,True
p3 FM6 flower 1,0,13681,0,True
p3 FM6 flower 1,0,13686,0,True
p3 FM6 flower 1,0,13688,1,True
p3 FM6 flower 1,0,13696,0,True
p3 FM6 flower 1,0,13704,1,True
p3 FM6 flower 1,0,13705,1,True
p3 FM6 flower 1,0,13707,0,True
p3 FM6 flower 1,0,13721,1,True
p3 FM6 flower 1,0,13723,1,True
p3 FM6 flower 1,0,13726,1,True
p3 FM6 flower 1,0,13731,0,True
p3 FM6 flower 1,0,13742,1,True
p3 FM6 flower 1,0,13743,1,True
p3 FM6 flower 1,0,13748,1,True
p3 FM6 flower 1,1,12708,1,True
p3 FM6 flower 1,1,12711,1,True
p3 FM6 flower 1,1,12716,1,True
p3 FM6 flower 1,1,12725,0,True
p3 FM6 flower 1,1,12730,1,True
p3 FM6 flower 1,1,12732,1,True
p3 FM6 flower 1,1,12734,0,True
p3 FM6 flower 1,1,12740,0,True
p3 FM6 flower 1,1,12843,1,True
p3 FM6 flower 1,1,12851,1,True
p3 FM6 flower 1,1,12858,1,True
p3 FM6 flower 1,1,12863,0,True
p3 FM6 flower 1,1,12864,1,True
p3 FM6 flower 1,1,12865,1,True
p3 FM6 flower 1,1,12872,1,True
p3 FM6 flower 1,1,12878,1,True
p3 FM6 flower 1,1,12881,1,True
p3 FM6 flower 1,1,12882,1,True
p3 FM6 flower 1,1,12891,0,True
p3 FM6 flower 1,1,12892,1,True
p3 FM6 flower 1,1,12893,1,True
p3 FM6 flower 1,1,12901,1,True
p3 FM6 flower 1,1,12908,1,True
p3 FM6 flower 1,1,12910,1,True
p3 FM6 flower 1,1,12911,0,True
p3 FM6 flower 1,1,12924,1,True
p3 FM6 flower 1,1,12925,1,True
p3 FM6 flower 1,1,12937,1,True
p3 FM6 flower 1,1,12948,1,True
p3 FM6 flower 1,1,12949,1,True
p3 FM6 flower 1,1,12959,1,True
p3 FM6 flower 1,2,13862,1,True
p3 FM6 flower 1,2,13863,0,True
p3 FM6 flower 1,2,13867,0,True
p3 FM6 flower 1,2,13868,1,True
p3 FM6 flower 1,2,13871,0,True
p3 FM6 flower 1,2,13886,0,True
p3 FM6 flower 1,2,13942,1,True
p3 FM6 flower 1,2,13948,0,True
p3 FM6 flower 1,2,13955,1,True
p3 FM6 flower 1,2,13959,0,True
p3 FM6 flower 1,2,13972,1,True
p3 FM6 flower 1,2,13990,0,True
p3 FM6 flower 1,2,14053,1,True
p3 FM6 flower 1,2,14066,0,True
p3 FM6 flower 1,2,14073,1,True
p3 FM6 flower 1,2,14076,1,True
p3 FM6 flower 1,2,14077,1,True
p3 FM6 flower 1,2,14079,1,True
p3 FM6 flower 1,2,14086,0,True
p3 FM6 flower 1,2,14094,1,True
p3 FM6 flower 1,2,14097,1,True
p3 FM6 flower 1,2,14098,1,True
p3 FM6 flower 1,2,14105,0,True
p3 FM6 flower 1,2,14106,0,True
p3 FM6 flower 1,2,14107,1,True
p3 FM6 flower 1,2,14285,0,True
p3 FM6 flower 1,2,14287,1,True
p3 FM6 flower 1,2,14289,1,True
p3 FM6 flower 1,2,14290,1,True
p3 FM6 flower 1,2,14305,0,True
p3 FM6 flower 1,2,14316,0,True
p3 FM6 flower 1,2,14326,1,True
p3 FM6 flower 1,2,14328,1,True
p3 FM6 flower 1,2,14335,1,True
