tissue name,counts of label 0,counts of label 1,percentage of label 1,plant name,time point
p3 FM6 flower 1_0,11,16,59.25925925925926,p3 FM6 flower 1,0
p3 FM6 flower 1_1,6,25,80.64516129032258,p3 FM6 flower 1,1
p3 FM6 flower 1_2,15,22,59.45945945945946,p3 FM6 flower 1,2
p3 FM6 flower 2_0,7,26,78.78787878787878,p3 FM6 flower 2,0
p3 FM6 flower 2_1,14,23,62.16216216216216,p3 FM6 flower 2,1
p3 FM6 flower 2_2,10,20,66.66666666666667,p3 FM6 flower 2,2
p3 FM6 flower 3_1,4,26,86.66666666666667,p3 FM6 flower 3,1
p3 FM6 flower 3_2,9,25,73.52941176470588,p3 FM6 flower 3,2
p3 FM6 flower 3_3,20,13,39.39393939393939,p3 FM6 flower 3,3
mean and std of percentage label 1,96,196,67.39673393900675+-13.56272717357299,,
