,F1,Acc,precision,Auc
test tissue 0,85.08287292817678,84.65909090909092,82.79569892473118,0.8295454545454545
test tissue 1,57.142857142857174,70.0,100.0,0.9133333333333333
test tissue 2,53.33333333333332,68.18181818181814,100.0,0.7696969696969698
test tissue 3,78.50467289719629,74.7252747252747,68.2926829268293,0.8736263736263736
test tissue 4,56.25,69.56521739130439,100.0,0.7608695652173915
test tissue 5,33.333333333333336,60.0,100.0,0.985
test tissue 6,74.19354838709677,69.23076923076923,63.888888888888886,0.8461538461538461
test tissue 7,68.42105263157895,76.0,100.0,0.9244444444444444
test tissue 8,47.05882352941176,65.38461538461539,100.0,0.9807692307692308
test mean,61.480054909220485,70.8607539803192,90.55303008227216,0.8759376908652271
test std,15.525909109541846,6.599136331905239,14.15056776052936,0.07760870641968252
