,F1,Acc,precision,Auc
test tissue 0,69.18238993710692,72.15909090909092,77.46478873239437,0.8465909090909091
test tissue 1,64.86486486486488,74.00000000000001,100.0,0.9199999999999999
test tissue 2,62.499999999999986,72.7272727272727,100.0,0.8606060606060606
test tissue 3,70.0,60.43956043956044,56.375838926174524,0.8516483516483515
test tissue 4,56.25,69.56521739130439,100.0,0.8354037267080745
test tissue 5,33.333333333333336,60.0,100.0,0.995
test tissue 6,78.50467289719626,77.88461538461539,76.36363636363637,0.8942307692307693
test tissue 7,81.23515439429927,82.44444444444444,87.24489795918366,0.9111111111111111
test tissue 8,63.15789473684209,73.07692307692307,100.0,0.976923076923077
test mean,64.33647890707141,71.36634715257904,88.60546244237655,0.8990571117020392
test std,13.222406751711047,6.907221684838416,14.771421788650303,0.0541662801076046
