,F1,Acc,precision,Auc
test tissue 0,77.9291553133515,76.98863636363637,74.86910994764398,0.7840909090909091
test tissue 1,59.1549295774648,61.33333333333334,62.68656716417912,0.6533333333333335
test tissue 2,55.44147843942504,67.1212121212121,85.9872611464968,0.6939393939393941
test tissue 3,57.534246575342465,65.93406593406593,76.36363636363637,0.7307692307692308
test tissue 4,42.06008583690987,58.07453416149072,68.05555555555557,0.717391304347826
test tissue 5,28.571428571428577,50.0,50.0,0.54
test tissue 6,79.06976744186048,82.6923076923077,100.0,0.8173076923076923
test tissue 7,62.842892768079786,66.88888888888889,71.59090909090908,0.7199999999999999
test tissue 8,67.79661016949152,74.42307692307692,91.50326797385621,0.9384615384615385
test mean,58.93339941037267,67.05067282422355,75.67292302691969,0.7328103780277694
test std,15.205667450771035,9.44597882429149,14.346299587642521,0.10406798236807506
