plant,time point,dividing parent cell,parent neighbor,label,isCellTest
p3 FM6 flower 1,0,13266,13662,1,True
p3 FM6 flower 1,0,13266,13681,2,True
p3 FM6 flower 1,0,13793,13670,2,True
p3 FM6 flower 1,0,13660,13649,1,True
p3 FM6 flower 1,0,13504,13419,0,True
p3 FM6 flower 1,0,13504,13539,0,True
p3 FM6 flower 1,0,13504,13741,2,True
p3 FM6 flower 1,0,13330,13703,1,True
p3 FM6 flower 1,0,13791,13670,0,True
p3 FM6 flower 1,0,13791,13678,0,True
p3 FM6 flower 1,0,13682,13730,1,True
p3 FM6 flower 1,0,13682,13765,0,True
p3 FM6 flower 1,0,13682,13773,2,True
p3 FM6 flower 1,0,13264,13246,0,True
p3 FM6 flower 1,0,13264,13300,1,True
p3 FM6 flower 1,0,13264,13651,2,True
p3 FM6 flower 1,0,13264,13662,0,True
p3 FM6 flower 1,0,13264,13664,1,True
p3 FM6 flower 1,0,13718,13703,1,True
p3 FM6 flower 1,0,13693,13307,2,True
p3 FM6 flower 1,0,13693,13678,1,True
p3 FM6 flower 1,0,13693,13703,1,True
p3 FM6 flower 1,0,13390,13741,0,True
p3 FM6 flower 1,0,13759,13540,2,True
p3 FM6 flower 1,0,13673,13662,2,True
p3 FM6 flower 1,0,13673,13681,0,True
p3 FM6 flower 1,0,13829,13647,2,True
p3 FM6 flower 1,0,13829,13788,1,True
p3 FM6 flower 1,0,13679,13307,2,True
p3 FM6 flower 1,0,13679,13681,2,True
p3 FM6 flower 1,0,13679,13686,0,True
p3 FM6 flower 1,0,13657,13306,2,True
p3 FM6 flower 1,0,13657,13575,0,True
p3 FM6 flower 1,0,13657,13730,1,True
p3 FM6 flower 1,0,13657,13773,2,True
p3 FM6 flower 1,0,13742,13371,1,True
p3 FM6 flower 1,0,13742,13470,0,True
p3 FM6 flower 1,0,13265,13654,1,True
p3 FM6 flower 1,0,13265,13670,1,True
p3 FM6 flower 1,0,13760,13629,1,True
p3 FM6 flower 1,0,13299,13300,1,True
p3 FM6 flower 1,0,13749,13371,0,True
p3 FM6 flower 1,0,13749,13372,0,True
p3 FM6 flower 1,0,13749,13540,1,True
p3 FM6 flower 1,0,13749,13744,2,True
p3 FM6 flower 1,0,13747,13741,0,True
p3 FM6 flower 1,0,13704,13307,0,True
p3 FM6 flower 1,0,13345,13331,0,True
p3 FM6 flower 1,0,13345,13731,1,True
p3 FM6 flower 1,0,13663,13629,2,True
p3 FM6 flower 1,0,13672,13307,2,True
p3 FM6 flower 1,0,13672,13678,1,True
p3 FM6 flower 1,0,13355,13372,2,True
p3 FM6 flower 1,0,13317,13300,1,True
p3 FM6 flower 1,0,13317,13697,1,True
p3 FM6 flower 1,0,13687,13306,0,True
p3 FM6 flower 1,0,13687,13629,1,True
p3 FM6 flower 1,0,13538,13741,0,True
p3 FM6 flower 1,0,13748,13470,2,True
p3 FM6 flower 1,0,13748,13539,1,True
p3 FM6 flower 1,0,13748,13540,0,True
p3 FM6 flower 1,0,13359,13834,1,True
p3 FM6 flower 1,0,13628,13833,2,True
p3 FM6 flower 1,0,13656,13246,1,True
p3 FM6 flower 1,0,13656,13649,1,True
p3 FM6 flower 1,0,13656,13662,2,True
p3 FM6 flower 1,0,13656,13832,1,True
p3 FM6 flower 1,0,13828,13649,2,True
p3 FM6 flower 1,0,13828,13832,1,True
p3 FM6 flower 1,0,13828,13833,1,True
p3 FM6 flower 1,0,13212,13306,1,True
p3 FM6 flower 1,0,13212,13540,0,True
p3 FM6 flower 1,0,13212,13575,2,True
p3 FM6 flower 1,0,13762,13629,1,True
p3 FM6 flower 1,0,13688,13681,0,True
p3 FM6 flower 1,0,13688,13696,0,True
p3 FM6 flower 1,0,13827,13647,1,True
p3 FM6 flower 1,0,13827,13654,1,True
p3 FM6 flower 1,0,13709,13697,2,True
p3 FM6 flower 1,0,13709,13834,1,True
p3 FM6 flower 1,0,13766,13539,1,True
p3 FM6 flower 1,0,13766,13540,0,True
p3 FM6 flower 1,0,13766,13575,0,True
p3 FM6 flower 1,0,13766,13765,1,True
p3 FM6 flower 1,0,13766,13773,2,True
p3 FM6 flower 1,0,13726,13331,0,True
p3 FM6 flower 1,0,13726,13371,1,True
p3 FM6 flower 1,0,13726,13707,2,True
p3 FM6 flower 1,0,13767,13629,2,True
p3 FM6 flower 1,0,13723,13371,2,True
p3 FM6 flower 1,0,13723,13372,1,True
p3 FM6 flower 1,0,13723,13707,0,True
p3 FM6 flower 1,0,13826,13221,2,True
p3 FM6 flower 1,0,13826,13825,0,True
p3 FM6 flower 1,0,13826,13833,0,True
p3 FM6 flower 1,0,13728,13834,0,True
p3 FM6 flower 1,0,13661,13649,1,True
p3 FM6 flower 1,0,13326,13696,0,True
p3 FM6 flower 1,0,13326,13707,0,True
p3 FM6 flower 1,0,13792,13678,0,True
p3 FM6 flower 1,0,13792,13703,2,True
p3 FM6 flower 1,0,13743,13371,0,True
p3 FM6 flower 1,0,13743,13540,1,True
p3 FM6 flower 1,0,13750,13744,2,True
p3 FM6 flower 1,0,13671,13670,1,True
p3 FM6 flower 1,0,13671,13678,2,True
p3 FM6 flower 1,0,13732,13372,0,True
p3 FM6 flower 1,0,13732,13744,2,True
p3 FM6 flower 1,0,13705,13331,2,True
p3 FM6 flower 1,0,13705,13686,0,True
p3 FM6 flower 1,1,12712,12886,2,True
p3 FM6 flower 1,1,12840,12704,1,True
p3 FM6 flower 1,1,12840,12709,0,True
p3 FM6 flower 1,1,12840,12835,1,True
p3 FM6 flower 1,1,12840,12855,0,True
p3 FM6 flower 1,1,12916,12899,2,True
p3 FM6 flower 1,1,12916,12905,0,True
p3 FM6 flower 1,1,12964,12971,2,True
p3 FM6 flower 1,1,12937,12734,2,True
p3 FM6 flower 1,1,12937,12911,1,True
p3 FM6 flower 1,1,12918,12913,2,True
p3 FM6 flower 1,1,12732,12725,1,True
p3 FM6 flower 1,1,12732,12894,1,True
p3 FM6 flower 1,1,12732,12911,2,True
p3 FM6 flower 1,1,12696,12692,1,True
p3 FM6 flower 1,1,12696,12704,0,True
p3 FM6 flower 1,1,12696,12835,2,True
p3 FM6 flower 1,1,12926,12894,1,True
p3 FM6 flower 1,1,12926,12939,0,True
p3 FM6 flower 1,1,12769,12765,2,True
p3 FM6 flower 1,1,16060,12724,2,True
p3 FM6 flower 1,1,16060,12904,0,True
p3 FM6 flower 1,1,16060,16064,2,True
p3 FM6 flower 1,1,12766,12770,0,True
p3 FM6 flower 1,1,12766,13019,1,True
p3 FM6 flower 1,1,12761,12765,0,True
p3 FM6 flower 1,1,12893,12734,2,True
p3 FM6 flower 1,1,12907,12899,0,True
p3 FM6 flower 1,1,16061,16064,0,True
p3 FM6 flower 1,1,12739,12905,1,True
p3 FM6 flower 1,1,12885,12886,2,True
p3 FM6 flower 1,1,12885,12913,0,True
p3 FM6 flower 1,1,12736,12894,0,True
p3 FM6 flower 1,1,12736,12913,2,True
p3 FM6 flower 1,1,12736,12939,1,True
p3 FM6 flower 1,1,12865,12725,0,True
p3 FM6 flower 1,1,12962,12939,1,True
p3 FM6 flower 1,1,12962,12971,2,True
