,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
test tissue 0,59.34366450515688,62.49533656664713,70.17958412098301,45.35607282784051,60.58553009772522,60.919359680037665,55.07750117426022,67.42338251986381,60.25719534598897,0.7958264462809918
test tissue 1,34.64127527682286,40.55220017256252,29.705027004570013,33.66659865333606,35.009671179883945,34.76776255885724,36.6043613707165,32.077164647824134,35.62176165803109,0.5615062384577272
test tissue 2,54.746187091008515,60.451115319990286,50.76128512978737,53.02616082324789,54.833281864899334,55.61207884924294,60.43712084337493,58.30867850098619,48.090437203367706,0.7302910263268227
test tissue 3,49.75475663685304,51.70638801667785,46.62348523018268,50.934396663698564,49.90278804303195,50.77640156222691,54.12468344199579,53.250436041337935,44.954085203347,0.666483169653998
test tissue 4,43.574069246308476,30.966728966399078,47.828328341061685,51.92715043146466,45.050537046102455,44.78439782178406,43.7420290667526,44.69917482373966,45.91198957485991,0.6033584921571935
test tissue 5,45.52289743785377,45.31795663120277,40.83542128677911,50.41531439557944,45.70281771441612,45.93815297090913,41.831651116669235,46.24460021191624,49.73820758414191,0.6430714749134947
test tissue 6,47.683179835580454,51.238798102266735,49.6868475991649,42.12389380530973,47.89397240377634,47.76127635554354,49.642492339121546,47.69539078156311,45.945945945945944,0.6598595213319459
test tissue 7,52.12748567166094,59.521776259607186,50.633624331174396,46.22705642420124,52.387729285262495,53.55576534370275,54.114906832298146,62.30076230076237,44.25162689804773,0.7135687934027777
test tissue 8,48.22920311866496,50.25459815180599,46.271788250484185,48.16122295370472,48.32801078702717,48.49834718975729,47.074027930155964,50.45758535726862,47.96342828184728,0.6933608955945126
test mean,48.40252431332332,50.2783220207955,48.05837681046526,46.8708741087092,48.85492649134722,49.179282481340174,49.183197123927215,51.38413057614022,46.97051974395306,0.6741473397910515
test std,6.643126577708563,9.622227514711783,10.00143108417174,5.713430511306477,6.701806055955852,6.999213652180242,7.123294035240012,9.922984192863588,6.044822038169685,0.06566649705773644
