,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
test tissue 0,49.57212287506571,39.70419931331984,34.7480183684811,74.2641509433962,48.30623306233062,51.606894666154965,37.91827812342359,33.08639224642121,83.81601362862008,0.7132644628099173
test tissue 1,48.73419296630368,25.61307901907356,46.380885453267716,74.20861442656978,51.34751773049645,48.40197215891728,35.60606060606062,42.484711940778844,67.11514392991238,0.6993603891716589
test tissue 2,46.73920436377944,23.955123904758597,47.022554422906346,69.23993476367339,49.93210125820527,47.30312086193272,38.23198234846165,42.378967785903406,61.2984124514331,0.7120530873657275
test tissue 3,47.82459338361971,55.209560680020175,14.150076569678394,74.11414290116053,53.754619364375465,51.61716082040633,44.49267498643511,41.32379248658318,69.0350149882007,0.7510312532111978
test tissue 4,51.9124800680068,47.4319482869541,33.235634012762375,75.0698579043039,54.41062509798652,51.944605686028076,46.174024963551005,44.098757750172226,65.561034344361,0.7403124472929667
test tissue 5,47.63666990211533,35.262460503516465,34.545142242735075,73.10240696009443,49.041789161397716,46.985862013022974,35.7042602377807,38.72022723067617,66.53309857061207,0.6995296280276817
test tissue 6,55.78845488289884,33.12883435582823,47.88732394366196,86.34920634920634,56.71750181554103,55.45264896898953,37.92134831460675,44.48598130841121,83.9506172839506,0.7701612903225806
test tissue 7,56.83723225313622,42.13632339923282,53.84281372123322,74.53255963894262,58.317520556609736,57.83700399077355,55.73770491803279,49.63971176941557,68.13359528487231,0.7802870008680556
test tissue 8,51.75125877032593,34.97113968911653,44.981969936388325,75.30066668547295,53.69668582783337,51.80059884477722,45.065314483360766,42.90296402210461,67.43351802886626,0.7419830062552015
test mean,50.75513438502796,37.49029657242448,39.6438242967905,75.1312822858689,52.83606598608625,51.43887422344474,41.87240544241255,42.12461183782961,70.31960539009205,0.7342202850361096
test std,3.408848750119724,9.39205718514855,11.248988041098974,4.316568455956784,3.24448663143488,3.3936153449325683,6.232733385912401,4.225199608250479,7.537668082566144,0.02817222087704827
