,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
test tissue 0,53.80788908009051,60.87543386039338,53.50547965770907,47.04275372216909,54.70148640880347,57.09446663488518,50.00792016473943,68.48578016910068,52.78969957081544,0.7434710743801654
test tissue 1,32.964043256008786,36.85646096147286,19.41502773575392,42.62064107079957,34.50676982591877,33.31540536241879,32.947272173117945,27.87834902244752,39.1205948916909,0.5329264447547408
test tissue 2,55.42543851119126,54.89009570792928,56.52336276779712,54.86285705784737,55.44288587468624,56.598447157159704,64.67955509541433,54.73988760919155,50.37589876687322,0.7369197183709465
test tissue 3,42.96298754011923,42.30137747332609,37.83034032976623,48.757244817265374,43.70041882237004,44.539753993629596,45.67217574790333,46.884178411238395,41.06290782174706,0.635501534035026
test tissue 4,40.8757906820729,29.692068567149548,41.63702934357268,51.29827413549649,42.59154740307734,42.45220621060827,41.41855279027174,43.413769717123564,42.5242961244295,0.5821808062067803
test tissue 5,45.8453604967213,47.13983507436821,41.71736732210582,48.678879093689865,46.10594284026687,47.14538052859257,41.21383501804286,50.607682764324835,49.614623803410005,0.6590816933391004
test tissue 6,48.30560235494298,59.758551307847085,43.31210191082801,41.84615384615384,48.729121278140894,49.06538055877422,55.514018691588774,52.14723926380368,39.534883720930225,0.596774193548387
test tissue 7,53.897722338989134,58.90129929336677,51.926298157454006,50.86556956614663,53.953194180898166,55.356882064991225,56.6915313734094,63.09362279511539,46.28549202644888,0.6893446180555555
test tissue 8,50.43013350094868,50.67829775139653,52.3311956556191,48.28090709583041,50.419416648924845,50.47805752250767,52.079354737244174,51.94102472683046,47.41379310344836,0.6981697495234771
test mean,47.168329751231646,49.010379999694415,44.24424476451178,48.25036448948873,47.79453147589851,48.449553337063016,48.913801754636886,51.02128160879734,45.413576647754844,0.6527077591349087
test std,6.9143492018685935,10.332852345287652,10.711570536635096,3.865252867303665,6.456217511201361,7.267448459970827,9.096636690119988,10.941501639078435,4.747849112754752,0.06792605850560313
