,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
test tissue 0,73.35881594222836,71.05256009778623,76.05005575517285,72.97383197372602,73.26722509649339,75.19110517013819,63.5550804217892,76.49551345962114,85.52272162900422,0.8591322314049588
test tissue 1,42.94818934348938,37.301587301587276,32.31221149811162,59.23076923076924,43.12056737588652,43.04671910298529,34.944237918215606,35.30490600641907,58.89101338432122,0.6518625287149227
test tissue 2,64.4655037783882,63.929664902056,59.98560599095142,69.48124044215714,64.66563333887612,64.61338356498688,63.90585917448753,64.34454941811033,65.58974210236276,0.8113244372479
test tissue 3,62.950380537131785,60.59991125662736,53.08195364377117,75.16927671099683,63.46554980701321,62.906919296749514,59.616639502280876,58.215389591058994,70.88872879690868,0.7978376712027128
test tissue 4,57.885072507658066,48.82500814499108,52.292068780207146,72.53814059777596,57.94937016666507,58.609168544881136,55.149818052613156,47.54297187366954,73.13471570836072,0.7665078428065439
test tissue 5,54.008514495725734,45.52891113054467,44.17248687658174,72.32414548005079,55.27579772596083,53.859025660995776,47.37625831620746,49.64770682775329,64.55311183902658,0.7480063256920416
test tissue 6,64.31406455013497,56.84210526315789,64.35331230283909,71.74677608440797,64.05228758169935,64.94997109037327,54.989816700610994,62.19512195121948,77.66497461928934,0.7704214360041624
test tissue 7,65.84877950767637,66.1590524534687,60.973084886128426,70.41420118343197,65.9392789373814,66.6949645913828,59.69465648854963,67.0842824601367,73.30595482546202,0.8329264322916666
test tissue 8,60.60770904162556,60.457158357067584,51.544581618655705,69.8213871491534,60.726704989000055,60.54180757008398,59.274185299592865,53.18763446948257,69.1636029411765,0.7960649950334237
test mean,60.7096699671176,56.74399543414297,54.97392903915769,70.41108542805215,60.94026833544178,61.15700717695298,55.38961687492748,57.113119561941225,70.96828509399023,0.7815648778220371
test std,8.075301838112876,10.220747787325998,11.766429120734202,4.286777109342175,7.926769521538161,8.466490843307971,8.648294088570296,11.512140132028101,7.34878876082136,0.05609036219861052
