,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
test tissue 0,57.18453921371644,59.59696068714899,70.63382230833105,41.32283464566928,57.92067011579205,57.42246964852086,53.88291517323774,70.5362078496407,47.848285922684155,0.7968181818181818
test tissue 1,42.22367435717671,39.662447257383945,38.78058896723352,48.22798684691267,42.4113475177305,42.27271463884291,39.33054393305439,41.79704962002681,45.69055036344754,0.5887347416783029
test tissue 2,59.53411692046989,62.30128235915665,62.914129578914014,53.386938823339,59.33221686422628,60.00548788345602,62.98953553305656,66.68040935478078,50.346518762530714,0.7685379288409548
test tissue 3,51.02507224920896,51.795471054543185,50.74621605906297,50.533529634020745,51.01184610330951,51.23695514540372,53.15356193686392,52.87702419858265,47.680279300764575,0.6695292200642973
test tissue 4,40.34749638285751,30.3319706037936,44.23230654039714,46.47821200438179,41.076363892328416,40.89940720194851,35.556152058300114,46.83361797444239,40.308451573103035,0.5814692612582224
test tissue 5,47.78463749779033,47.20714772094174,49.820201884990006,46.32656288743923,47.76918636650423,47.84962242470292,48.40470548408934,50.18325345362273,44.9609083363967,0.6767814662629758
test tissue 6,42.70876376769852,45.26946107784432,39.329091960670894,43.527738264580364,42.73783587509079,43.576183813120174,50.26595744680852,41.92355117139333,38.53904282115869,0.5855879292403746
test tissue 7,58.041817830875466,62.356717102246684,59.84868249412999,51.920053896249726,57.922201138519924,58.70876907977124,60.33717834960072,66.49275362318846,49.29637526652453,0.7273763020833334
test tissue 8,50.091059309634886,48.88857459397028,50.20409068725322,51.180512647681155,50.178127883045896,50.945075924464966,54.7576301615799,52.403556708192525,45.67404090362249,0.677998067062203
test mean,49.882353058825416,49.71222582855883,51.834347831220306,48.100485516697105,50.03997730628307,50.324076195581256,50.96424223073235,54.41415821709671,45.59382813891471,0.6747592331454274
test std,6.8299531824836635,10.130809532288396,10.181044445096841,3.809102550582245,6.737657201637206,6.838979512176258,8.432425404685395,10.291587756447862,3.709662455749545,0.0749504077498655
