plant,time point,cell,label,isCellTest
ktnP1,1,3589,0,True
ktnP1,1,3591,1,True
ktnP1,1,3592,0,True
ktnP1,1,3593,0,True
ktnP1,1,3594,0,True
ktnP1,1,3597,0,True
ktnP1,1,3611,1,True
ktnP1,1,3616,1,True
ktnP1,1,3617,0,True
ktnP1,1,3618,0,True
ktnP1,1,3624,0,True
ktnP1,1,3626,0,True
ktnP1,1,3631,0,True
ktnP1,1,3634,0,True
ktnP1,1,3636,0,True
ktnP1,1,3648,0,True
ktnP1,1,3657,1,True
ktnP1,1,3662,0,True
ktnP1,1,3663,0,True
ktnP1,1,3664,0,True
ktnP1,1,3666,0,True
ktnP1,1,3680,0,True
ktnP1,1,3681,0,True
ktnP1,1,3686,0,True
ktnP1,1,3715,1,True
ktnP1,1,3719,0,True
ktnP1,1,3723,0,True
ktnP1,1,3727,0,True
ktnP1,1,3734,0,True
ktnP1,1,3737,0,True
ktnP1,1,3739,1,True
ktnP1,1,3740,0,True
ktnP1,1,3745,0,True
ktnP1,1,3747,0,True
ktnP1,1,3748,0,True
ktnP1,1,3754,0,True
ktnP1,1,3759,1,True
ktnP1,1,3760,0,True
ktnP1,1,3768,0,True
ktnP1,1,3769,0,True
ktnP1,1,3776,1,True
ktnP1,1,3784,0,True
ktnP1,1,3791,1,True
ktnP1,1,3793,0,True
ktnP1,1,3795,0,True
ktnP1,1,3797,1,True
ktnP1,1,3799,0,True
ktnP1,1,3802,0,True
ktnP1,1,3813,0,True
ktnP1,1,3820,0,True
ktnP1,1,3832,0,True
ktnP1,1,3833,0,True
ktnP1,1,3834,0,True
ktnP1,1,3838,1,True
ktnP1,1,3839,0,True
ktnP1,1,3842,1,True
ktnP1,1,3843,0,True
ktnP1,1,3844,0,True
ktnP1,1,3846,1,True
ktnP1,1,3848,0,True
ktnP1,1,3849,0,True
ktnP1,1,3850,0,True
ktnP1,1,3858,0,True
ktnP1,1,3867,1,True
ktnP1,1,3868,0,True
ktnP1,1,3869,1,True
ktnP1,1,3870,0,True
ktnP1,1,3871,0,True
ktnP1,1,3875,0,True
ktnP1,1,3880,0,True
ktnP1,1,3886,0,True
ktnP1,1,3887,0,True
ktnP1,1,3889,0,True
ktnP1,1,3893,0,True
ktnP1,1,3894,0,True
ktnP1,1,3895,0,True
ktnP1,1,3898,0,True
ktnP1,1,3899,0,True
ktnP1,1,3901,0,True
ktnP1,1,3902,0,True
ktnP1,1,3903,1,True
ktnP1,1,3904,0,True
ktnP1,1,3911,0,True
ktnP1,1,3917,0,True
ktnP1,1,3918,0,True
ktnP1,1,3924,0,True
ktnP1,1,3925,0,True
ktnP1,1,3929,0,True
ktnP1,1,3943,0,True
ktnP1,1,3945,0,True
ktnP1,1,3948,0,True
ktnP1,1,3949,0,True
ktnP1,1,3955,0,True
ktnP1,1,3959,0,True
ktnP1,1,3982,0,True
ktnP1,1,3983,0,True
ktnP1,1,4018,0,True
ktnP1,1,4031,1,True
ktnP1,1,4032,0,True
ktnP1,1,4043,0,True
ktnP1,1,4044,0,True
ktnP1,1,4045,1,True
ktnP1,1,4074,0,True
ktnP1,1,4075,0,True
ktnP1,1,4093,0,True
ktnP1,1,4117,0,True
ktnP1,1,4118,0,True
ktnP1,1,4119,0,True
ktnP1,1,4120,0,True
ktnP1,1,4135,1,True
ktnP1,1,4136,0,True
ktnP1,1,4143,1,True
ktnP1,1,4144,0,True
ktnP1,1,4147,0,True
ktnP1,1,4148,0,True
ktnP1,1,4151,1,True
ktnP2,0,2,0,True
ktnP2,0,10,1,True
ktnP2,0,23,0,True
ktnP2,0,80,0,True
ktnP2,0,89,0,True
ktnP2,0,98,0,True
ktnP2,0,101,1,True
ktnP2,0,102,0,True
ktnP2,0,104,0,True
ktnP2,0,105,0,True
ktnP2,0,109,0,True
ktnP2,0,114,0,True
ktnP2,0,117,0,True
ktnP2,0,118,0,True
ktnP2,0,135,0,True
ktnP2,0,140,0,True
ktnP2,0,146,0,True
ktnP2,0,147,0,True
ktnP2,0,149,0,True
ktnP2,0,150,0,True
ktnP2,0,152,0,True
ktnP2,0,153,1,True
ktnP2,0,167,0,True
ktnP2,0,170,0,True
ktnP2,0,171,0,True
ktnP2,0,177,0,True
ktnP2,0,180,0,True
ktnP2,0,192,0,True
ktnP2,0,193,0,True
ktnP2,0,194,0,True
ktnP2,0,197,0,True
ktnP2,0,198,0,True
ktnP2,0,199,0,True
ktnP2,0,200,0,True
ktnP2,0,202,0,True
ktnP2,0,205,0,True
ktnP2,0,206,0,True
ktnP2,0,207,0,True
ktnP2,0,209,1,True
ktnP2,0,233,0,True
ktnP2,0,234,0,True
ktnP2,0,239,0,True
ktnP2,0,241,1,True
ktnP2,0,242,0,True
ktnP2,0,247,0,True
ktnP2,0,252,0,True
ktnP2,0,253,0,True
ktnP2,0,257,0,True
ktnP2,0,261,0,True
ktnP2,0,265,0,True
ktnP2,0,266,0,True
ktnP2,0,269,0,True
ktnP2,0,271,0,True
ktnP2,0,273,0,True
ktnP2,0,275,0,True
ktnP2,0,278,0,True
ktnP2,0,280,0,True
ktnP2,0,285,0,True
ktnP2,0,288,0,True
ktnP2,0,290,0,True
ktnP2,0,291,0,True
ktnP2,0,297,0,True
ktnP2,0,300,0,True
ktnP2,0,301,0,True
ktnP2,0,311,1,True
ktnP2,0,317,0,True
ktnP2,0,319,0,True
ktnP2,0,324,1,True
ktnP2,0,325,0,True
ktnP2,0,326,0,True
ktnP2,0,330,0,True
ktnP2,0,331,1,True
ktnP2,0,336,0,True
ktnP2,0,352,1,True
ktnP2,0,370,0,True
ktnP2,0,371,1,True
ktnP2,0,376,0,True
ktnP2,0,377,0,True
ktnP2,0,379,0,True
ktnP2,0,381,0,True
ktnP2,0,382,0,True
ktnP2,0,383,1,True
ktnP2,0,390,0,True
ktnP2,0,391,0,True
ktnP2,0,396,0,True
ktnP2,0,399,0,True
ktnP2,0,419,0,True
ktnP2,0,420,0,True
ktnP2,0,423,0,True
ktnP2,0,425,0,True
ktnP2,0,426,0,True
ktnP2,0,451,0,True
ktnP2,0,454,0,True
ktnP2,0,455,1,True
ktnP2,0,458,0,True
ktnP2,0,459,0,True
ktnP2,0,462,1,True
ktnP2,0,464,0,True
ktnP2,0,466,0,True
ktnP2,0,470,0,True
ktnP2,0,471,0,True
ktnP2,0,474,1,True
ktnP2,0,487,0,True
ktnP2,0,493,0,True
ktnP2,0,499,1,True
ktnP2,0,503,0,True
ktnP2,0,516,1,True
ktnP2,0,538,0,True
ktnP2,0,539,0,True
ktnP2,0,540,0,True
ktnP2,0,546,0,True
ktnP2,0,547,0,True
ktnP2,0,557,0,True
ktnP2,0,565,0,True
ktnP2,0,566,0,True
ktnP2,0,567,0,True
ktnP2,0,568,0,True
ktnP2,0,569,1,True
ktnP2,0,677,1,True
ktnP2,0,688,0,True
ktnP2,0,689,0,True
ktnP2,0,690,0,True
ktnP2,0,691,0,True
ktnP2,0,692,0,True
ktnP2,0,693,0,True
ktnP2,1,3,0,True
ktnP2,1,10,0,True
ktnP2,1,19,0,True
ktnP2,1,21,0,True
ktnP2,1,42,1,True
ktnP2,1,47,0,True
ktnP2,1,48,1,True
ktnP2,1,49,0,True
ktnP2,1,50,0,True
ktnP2,1,51,0,True
ktnP2,1,52,0,True
ktnP2,1,63,0,True
ktnP2,1,65,0,True
ktnP2,1,66,1,True
ktnP2,1,77,0,True
ktnP2,1,88,0,True
ktnP2,1,99,0,True
ktnP2,1,100,1,True
ktnP2,1,105,0,True
ktnP2,1,110,1,True
ktnP2,1,111,1,True
ktnP2,1,121,1,True
ktnP2,1,125,0,True
ktnP2,1,137,0,True
ktnP2,1,178,0,True
ktnP2,1,179,0,True
ktnP2,1,180,0,True
ktnP2,1,182,0,True
ktnP2,1,183,0,True
ktnP2,1,186,1,True
ktnP2,1,189,1,True
ktnP2,1,194,0,True
ktnP2,1,196,0,True
ktnP2,1,199,0,True
ktnP2,1,200,0,True
ktnP2,1,201,0,True
ktnP2,1,202,0,True
ktnP2,1,203,1,True
ktnP2,1,204,1,True
ktnP2,1,211,0,True
ktnP2,1,212,0,True
ktnP2,1,214,0,True
ktnP2,1,215,0,True
ktnP2,1,216,0,True
ktnP2,1,217,0,True
ktnP2,1,271,0,True
ktnP2,1,276,0,True
ktnP2,1,277,0,True
ktnP2,1,280,0,True
ktnP2,1,286,1,True
ktnP2,1,288,0,True
ktnP2,1,291,0,True
ktnP2,1,292,0,True
ktnP2,1,295,1,True
ktnP2,1,302,1,True
ktnP2,1,306,0,True
ktnP2,1,307,0,True
ktnP2,1,308,1,True
ktnP2,1,309,1,True
ktnP2,1,327,1,True
ktnP2,1,329,0,True
ktnP2,1,332,0,True
ktnP2,1,333,0,True
ktnP2,1,349,0,True
ktnP2,1,350,1,True
ktnP2,1,358,0,True
ktnP2,1,366,0,True
ktnP2,1,367,1,True
ktnP2,1,370,0,True
ktnP2,1,371,0,True
ktnP2,1,373,0,True
ktnP2,1,402,0,True
ktnP2,1,403,1,True
ktnP2,1,405,1,True
ktnP2,1,407,0,True
ktnP2,1,408,1,True
ktnP2,1,409,0,True
ktnP2,1,410,0,True
ktnP2,1,411,0,True
ktnP2,1,414,0,True
ktnP2,1,415,0,True
ktnP2,1,422,0,True
ktnP2,1,424,1,True
ktnP2,1,426,0,True
ktnP2,1,432,1,True
ktnP2,1,435,0,True
ktnP2,1,437,0,True
ktnP2,1,438,0,True
ktnP2,1,440,0,True
ktnP2,1,445,0,True
ktnP2,1,449,0,True
ktnP2,1,450,0,True
ktnP2,1,452,0,True
ktnP2,1,453,0,True
ktnP2,1,458,0,True
ktnP2,1,461,0,True
ktnP2,1,483,0,True
ktnP2,1,484,0,True
ktnP2,1,499,0,True
ktnP2,1,501,0,True
ktnP2,1,510,0,True
ktnP2,1,511,0,True
ktnP2,1,512,0,True
ktnP2,1,525,0,True
ktnP2,1,526,0,True
ktnP2,1,577,0,True
ktnP2,1,578,0,True
ktnP2,1,591,0,True
ktnP2,1,592,0,True
ktnP2,1,595,0,True
ktnP3,0,4,1,True
ktnP3,0,5,1,True
ktnP3,0,7,0,True
ktnP3,0,27,1,True
ktnP3,0,29,0,True
ktnP3,0,39,0,True
ktnP3,0,50,0,True
ktnP3,0,64,1,True
ktnP3,0,68,0,True
ktnP3,0,69,0,True
ktnP3,0,71,0,True
ktnP3,0,83,0,True
ktnP3,0,87,1,True
ktnP3,0,101,1,True
ktnP3,0,116,0,True
ktnP3,0,122,1,True
ktnP3,0,123,0,True
ktnP3,0,124,0,True
ktnP3,0,125,1,True
ktnP3,0,126,1,True
ktnP3,0,128,1,True
ktnP3,0,130,1,True
ktnP3,0,136,1,True
ktnP3,0,141,0,True
ktnP3,0,148,1,True
ktnP3,0,149,1,True
ktnP3,0,150,0,True
ktnP3,0,158,0,True
ktnP3,0,163,1,True
ktnP3,0,164,0,True
ktnP3,0,170,0,True
ktnP3,0,171,0,True
ktnP3,0,172,0,True
ktnP3,0,178,0,True
ktnP3,0,179,0,True
ktnP3,0,187,1,True
ktnP3,0,189,0,True
ktnP3,0,196,0,True
ktnP3,0,199,0,True
ktnP3,0,200,1,True
ktnP3,0,201,0,True
ktnP3,0,207,1,True
ktnP3,0,208,0,True
ktnP3,0,213,0,True
ktnP3,0,216,1,True
ktnP3,0,217,0,True
ktnP3,0,218,1,True
ktnP3,0,219,0,True
ktnP3,0,223,1,True
ktnP3,0,228,0,True
ktnP3,0,235,1,True
ktnP3,0,239,0,True
ktnP3,0,240,0,True
ktnP3,0,243,0,True
ktnP3,0,246,0,True
ktnP3,0,248,1,True
ktnP3,0,249,1,True
ktnP3,0,255,0,True
ktnP3,0,260,1,True
ktnP3,0,261,0,True
ktnP3,0,262,0,True
ktnP3,0,263,1,True
ktnP3,0,268,0,True
ktnP3,0,269,1,True
ktnP3,0,271,1,True
ktnP3,0,283,0,True
ktnP3,0,284,1,True
ktnP3,0,285,1,True
ktnP3,0,298,1,True
ktnP3,0,314,1,True
ktnP3,0,317,0,True
ktnP3,0,319,0,True
ktnP3,0,321,1,True
ktnP3,0,326,0,True
ktnP3,0,328,0,True
ktnP3,0,329,0,True
ktnP3,0,363,1,True
ktnP3,0,365,0,True
ktnP3,0,367,0,True
ktnP3,0,372,1,True
ktnP3,0,390,0,True
ktnP3,0,392,0,True
ktnP3,0,393,0,True
ktnP3,0,396,1,True
ktnP3,0,402,0,True
ktnP3,0,411,1,True
ktnP3,0,414,1,True
ktnP3,0,418,1,True
ktnP3,0,427,0,True
ktnP3,0,428,0,True
ktnP3,0,430,1,True
ktnP3,0,432,0,True
ktnP3,0,435,1,True
ktnP3,0,440,0,True
ktnP3,0,444,1,True
ktnP3,0,446,0,True
ktnP3,0,460,1,True
ktnP3,0,464,1,True
ktnP3,0,476,0,True
ktnP3,0,479,0,True
ktnP3,0,484,1,True
ktnP3,0,485,0,True
ktnP3,0,486,0,True
ktnP3,0,490,0,True
ktnP3,0,491,0,True
ktnP3,0,502,0,True
ktnP3,0,503,1,True
ktnP3,0,504,0,True
ktnP3,0,527,0,True
ktnP3,0,528,0,True
ktnP3,0,612,0,True
ktnP3,0,613,1,True
ktnP3,0,622,0,True
ktnP3,0,623,0,True
ktnP3,0,624,0,True
ktnP3,0,627,0,True
ktnP3,0,635,0,True
ktnP3,0,636,0,True
ktnP3,1,28,1,True
ktnP3,1,32,0,True
ktnP3,1,40,1,True
ktnP3,1,43,1,True
ktnP3,1,46,0,True
ktnP3,1,47,0,True
ktnP3,1,52,1,True
ktnP3,1,55,0,True
ktnP3,1,62,0,True
ktnP3,1,67,1,True
ktnP3,1,76,1,True
ktnP3,1,128,1,True
ktnP3,1,130,1,True
ktnP3,1,132,1,True
ktnP3,1,134,0,True
ktnP3,1,136,0,True
ktnP3,1,137,1,True
ktnP3,1,140,1,True
ktnP3,1,141,1,True
ktnP3,1,144,1,True
ktnP3,1,145,0,True
ktnP3,1,147,0,True
ktnP3,1,148,0,True
ktnP3,1,152,0,True
ktnP3,1,155,0,True
ktnP3,1,160,1,True
ktnP3,1,163,0,True
ktnP3,1,169,1,True
ktnP3,1,176,1,True
ktnP3,1,177,0,True
ktnP3,1,178,0,True
ktnP3,1,181,1,True
ktnP3,1,193,0,True
ktnP3,1,198,0,True
ktnP3,1,199,0,True
ktnP3,1,202,0,True
ktnP3,1,205,0,True
ktnP3,1,206,0,True
ktnP3,1,207,1,True
ktnP3,1,209,0,True
ktnP3,1,222,1,True
ktnP3,1,223,0,True
ktnP3,1,224,1,True
ktnP3,1,225,1,True
ktnP3,1,228,0,True
ktnP3,1,242,1,True
ktnP3,1,246,0,True
ktnP3,1,251,1,True
ktnP3,1,252,0,True
ktnP3,1,259,1,True
ktnP3,1,269,1,True
ktnP3,1,276,1,True
ktnP3,1,278,1,True
ktnP3,1,283,1,True
ktnP3,1,292,0,True
ktnP3,1,293,1,True
ktnP3,1,296,1,True
ktnP3,1,300,1,True
ktnP3,1,301,0,True
ktnP3,1,303,1,True
ktnP3,1,305,0,True
ktnP3,1,323,1,True
ktnP3,1,329,1,True
ktnP3,1,335,1,True
ktnP3,1,346,0,True
ktnP3,1,350,1,True
ktnP3,1,351,0,True
ktnP3,1,352,1,True
ktnP3,1,353,1,True
ktnP3,1,355,1,True
ktnP3,1,356,1,True
ktnP3,1,357,1,True
ktnP3,1,359,1,True
ktnP3,1,365,1,True
ktnP3,1,366,1,True
ktnP3,1,367,0,True
ktnP3,1,372,1,True
ktnP3,1,379,0,True
ktnP3,1,381,0,True
ktnP3,1,382,1,True
ktnP3,1,386,1,True
ktnP3,1,389,0,True
ktnP3,1,394,1,True
ktnP3,1,395,0,True
ktnP3,1,398,1,True
ktnP3,1,401,0,True
ktnP3,1,405,0,True
ktnP3,1,411,0,True
ktnP3,1,414,0,True
ktnP3,1,417,1,True
ktnP3,1,421,0,True
ktnP3,1,424,0,True
ktnP3,1,426,1,True
ktnP3,1,427,1,True
ktnP3,1,430,1,True
ktnP3,1,431,0,True
ktnP3,1,433,0,True
ktnP3,1,440,0,True
ktnP3,1,441,0,True
ktnP3,1,476,1,True
ktnP3,1,499,1,True
ktnP3,1,502,1,True
ktnP3,1,556,0,True
ktnP3,1,571,1,True
ktnP3,1,572,0,True
ktnP3,1,573,0,True
