plant,time point,dividing parent cell,parent neighbor,label,isCellTest
ktnP1,1,3759,3631,2,True
ktnP1,1,3759,3848,1,True
ktnP1,1,3759,3858,1,True
ktnP1,1,4070,3613,1,True
ktnP1,1,4070,3630,2,True
ktnP1,1,4070,3663,0,True
ktnP1,1,4070,3894,0,True
ktnP1,1,4070,3970,1,True
ktnP1,1,4070,4072,1,True
ktnP1,1,4070,4074,2,True
ktnP1,1,3660,3653,1,True
ktnP1,1,3660,3877,1,True
ktnP1,1,3657,3875,1,True
ktnP1,1,3657,3880,1,True
ktnP1,1,3657,3948,1,True
ktnP1,1,3657,4043,2,True
ktnP1,1,4031,3666,0,True
ktnP1,1,4031,3723,2,True
ktnP1,1,4031,3727,1,True
ktnP1,1,4031,3839,1,True
ktnP1,1,4031,3959,2,True
ktnP1,1,4031,4032,0,True
ktnP1,1,4031,4148,0,True
ktnP1,1,3881,3758,1,True
ktnP1,1,3881,3884,1,True
ktnP1,1,3881,4078,1,True
ktnP1,1,3881,4138,0,True
ktnP1,1,3591,3747,2,True
ktnP1,1,3591,3748,0,True
ktnP1,1,3591,4043,1,True
ktnP1,1,3591,4044,2,True
ktnP1,1,3846,3799,0,True
ktnP1,1,3846,3802,0,True
ktnP1,1,3846,3844,0,True
ktnP1,1,3846,3850,2,True
ktnP1,1,3846,3911,1,True
ktnP1,1,4076,3627,0,True
ktnP1,1,4076,3758,0,True
ktnP1,1,4076,3762,2,True
ktnP1,1,4076,3783,0,True
ktnP1,1,4076,3884,0,True
ktnP1,1,4076,4072,1,True
ktnP1,1,4076,4075,1,True
ktnP1,1,4076,4077,2,True
ktnP1,1,3736,3593,0,True
ktnP1,1,3736,3817,2,True
ktnP1,1,3736,3892,0,True
ktnP1,1,3736,4121,1,True
ktnP1,1,3736,4122,1,True
ktnP1,1,3756,3584,2,True
ktnP1,1,3756,3593,2,True
ktnP1,1,3756,3880,0,True
ktnP1,1,3756,3948,0,True
ktnP1,1,3756,4019,0,True
ktnP1,1,3756,4122,1,True
ktnP1,1,3797,3734,0,True
ktnP1,1,3797,3737,2,True
ktnP1,1,3797,3795,0,True
ktnP1,1,3797,3799,1,True
ktnP1,1,3797,3843,0,True
ktnP1,1,3797,3844,2,True
ktnP1,1,3568,3631,1,True
ktnP1,1,3568,3884,0,True
ktnP1,1,3568,4077,2,True
ktnP1,1,3568,4137,2,True
ktnP1,1,3568,4138,0,True
ktnP1,1,3867,3592,2,True
ktnP1,1,3867,3594,0,True
ktnP1,1,3867,3768,1,True
ktnP1,1,3867,3858,2,True
ktnP1,1,3867,3868,0,True
ktnP1,1,3867,4119,1,True
ktnP1,1,3643,3590,0,True
ktnP1,1,3643,3635,2,True
ktnP1,1,3643,3702,1,True
ktnP1,1,3643,3810,0,True
ktnP1,1,3643,4015,0,True
ktnP1,1,3643,4139,2,True
ktnP1,1,3776,3858,0,True
ktnP1,1,3776,4075,1,True
ktnP1,1,3776,4077,1,True
ktnP1,1,3776,4119,2,True
ktnP1,1,3776,4120,1,True
ktnP1,1,3616,3617,2,True
ktnP1,1,3616,3727,0,True
ktnP1,1,3616,3745,1,True
ktnP1,1,3616,3949,1,True
ktnP1,1,3616,4117,1,True
ktnP1,1,3616,4118,2,True
ktnP1,1,3715,3589,0,True
ktnP1,1,3715,3784,2,True
ktnP1,1,3715,3848,2,True
ktnP1,1,3715,3868,1,True
ktnP1,1,3715,4032,1,True
ktnP1,1,3715,4136,0,True
ktnP1,1,4143,3844,0,True
ktnP1,1,4143,3911,1,True
ktnP1,1,4143,3924,2,True
ktnP1,1,4143,3929,1,True
ktnP1,1,4143,4144,1,True
ktnP1,1,3903,3843,0,True
ktnP1,1,3903,3844,0,True
ktnP1,1,3903,3904,2,True
ktnP1,1,3903,3924,1,True
ktnP1,1,3903,3925,1,True
ktnP1,1,3903,3945,1,True
ktnP1,1,3739,3624,0,True
ktnP1,1,3739,3747,1,True
ktnP1,1,3739,3748,2,True
ktnP1,1,3739,3820,0,True
ktnP1,1,3739,4018,0,True
ktnP1,1,3739,4093,2,True
ktnP1,1,3569,3673,1,True
ktnP1,1,3569,3675,1,True
ktnP1,1,3569,3691,2,True
ktnP1,1,3569,3831,0,True
ktnP1,1,3569,3989,1,True
ktnP1,1,3569,3990,2,True
ktnP1,1,4155,3702,0,True
ktnP1,1,4155,3794,1,True
ktnP1,1,4155,3820,0,True
ktnP1,1,4155,4139,0,True
ktnP1,1,4155,4140,0,True
ktnP1,1,4155,4141,2,True
ktnP1,1,4155,4153,1,True
ktnP1,1,4155,4154,1,True
ktnP1,1,3744,3732,1,True
ktnP1,1,3744,3740,0,True
ktnP1,1,3744,3742,2,True
ktnP1,1,3891,3877,1,True
ktnP1,1,3891,4020,0,True
ktnP1,1,3731,3732,2,True
ktnP1,1,3731,4046,0,True
ktnP1,1,3731,4047,2,True
ktnP1,1,3731,4048,1,True
ktnP1,1,3731,4051,1,True
ktnP1,1,3800,3849,2,True
ktnP1,1,3800,3937,1,True
ktnP1,1,3800,4153,0,True
ktnP1,1,3800,4154,0,True
ktnP1,1,3674,3653,1,True
ktnP1,1,3674,3671,1,True
ktnP1,1,3674,3794,2,True
ktnP1,1,3674,4153,0,True
ktnP1,1,4151,3820,0,True
ktnP1,1,4151,4093,2,True
ktnP1,1,4151,4154,1,True
ktnP1,1,3838,3747,2,True
ktnP1,1,3838,3849,1,True
ktnP1,1,3838,4093,0,True
ktnP1,1,3838,4154,1,True
ktnP1,1,4135,3589,1,True
ktnP1,1,4135,3634,2,True
ktnP1,1,4135,3703,0,True
ktnP1,1,4135,3760,0,True
ktnP1,1,4135,4136,2,True
ktnP1,1,3676,3601,1,True
ktnP1,1,3676,3640,1,True
ktnP1,1,3676,3672,1,True
ktnP1,1,3676,3937,2,True
ktnP1,1,3676,4020,2,True
ktnP1,1,3842,3793,1,True
ktnP1,1,3842,3839,0,True
ktnP1,1,3842,3843,1,True
ktnP1,1,3842,3901,0,True
ktnP1,1,3842,3904,2,True
ktnP1,1,3842,3983,2,True
ktnP1,1,3668,3567,0,True
ktnP1,1,3668,3596,0,True
ktnP1,1,3668,3654,0,True
ktnP1,1,3668,3724,0,True
ktnP1,1,3668,3988,0,True
ktnP1,1,3668,3989,1,True
ktnP1,1,3668,3990,1,True
ktnP1,1,3791,3617,1,True
ktnP1,1,3791,3727,0,True
ktnP1,1,3791,3793,1,True
ktnP1,1,3791,3839,2,True
ktnP1,1,3791,3983,1,True
ktnP1,1,3869,3747,0,True
ktnP1,1,3869,3849,0,True
ktnP1,1,3869,4043,1,True
ktnP1,1,3852,3582,2,True
ktnP1,1,3852,3801,0,True
ktnP1,1,3852,3803,0,True
ktnP1,1,3852,3850,2,True
ktnP1,1,3852,3915,1,True
ktnP1,1,3852,4039,1,True
ktnP1,1,3611,3737,2,True
ktnP1,1,3611,3740,1,True
ktnP1,1,3611,4046,0,True
ktnP1,1,4045,3734,0,True
ktnP1,1,4045,3737,0,True
ktnP1,1,4045,3870,2,True
ktnP1,1,4045,3955,0,True
ktnP1,1,4045,4046,1,True
ktnP2,0,292,272,2,True
ktnP2,0,292,291,1,True
ktnP2,0,292,296,0,True
ktnP2,0,292,531,2,True
ktnP2,0,292,657,0,True
ktnP2,0,213,83,0,True
ktnP2,0,213,107,2,True
ktnP2,0,213,110,1,True
ktnP2,0,213,480,1,True
ktnP2,0,548,187,1,True
ktnP2,0,548,476,0,True
ktnP2,0,548,531,1,True
ktnP2,0,548,657,2,True
ktnP2,0,496,41,0,True
ktnP2,0,496,365,1,True
ktnP2,0,496,375,0,True
ktnP2,0,496,384,0,True
ktnP2,0,496,439,1,True
ktnP2,0,496,446,2,True
ktnP2,0,435,14,0,True
ktnP2,0,435,155,1,True
ktnP2,0,435,219,2,True
ktnP2,0,435,530,2,True
ktnP2,0,435,676,0,True
ktnP2,0,222,223,2,True
ktnP2,0,222,226,0,True
ktnP2,0,222,229,0,True
ktnP2,0,101,133,2,True
ktnP2,0,101,192,1,True
ktnP2,0,101,193,1,True
ktnP2,0,101,194,2,True
ktnP2,0,369,354,0,True
ktnP2,0,369,356,0,True
ktnP2,0,474,177,1,True
ktnP2,0,474,180,2,True
ktnP2,0,474,252,0,True
ktnP2,0,474,266,1,True
ktnP2,0,474,399,0,True
ktnP2,0,74,155,0,True
ktnP2,0,353,211,1,True
ktnP2,0,353,217,2,True
ktnP2,0,353,356,1,True
ktnP2,0,245,72,2,True
ktnP2,0,245,78,0,True
ktnP2,0,245,83,0,True
ktnP2,0,245,248,2,True
ktnP2,0,262,35,0,True
ktnP2,0,262,218,0,True
ktnP2,0,262,408,2,True
ktnP2,0,262,659,1,True
ktnP2,0,352,149,1,True
ktnP2,0,352,257,2,True
ktnP2,0,352,290,0,True
ktnP2,0,352,307,1,True
ktnP2,0,352,547,0,True
ktnP2,0,254,29,2,True
ktnP2,0,254,32,1,True
ktnP2,0,254,35,1,True
ktnP2,0,254,659,0,True
ktnP2,0,95,219,1,True
ktnP2,0,95,220,1,True
ktnP2,0,95,676,2,True
ktnP2,0,95,679,0,True
ktnP2,0,569,379,1,True
ktnP2,0,569,538,1,True
ktnP2,0,409,7,0,True
ktnP2,0,409,187,1,True
ktnP2,0,409,196,2,True
ktnP2,0,409,344,1,True
ktnP2,0,409,417,0,True
ktnP2,0,409,476,0,True
ktnP2,0,311,3,0,True
ktnP2,0,311,168,2,True
ktnP2,0,311,257,1,True
ktnP2,0,311,301,0,True
ktnP2,0,311,470,0,True
ktnP2,0,311,471,0,True
ktnP2,0,311,547,2,True
ktnP2,0,46,354,0,True
ktnP2,0,46,632,1,True
ktnP2,0,484,223,0,True
ktnP2,0,484,451,2,True
