,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,30.633999999999997,50.366,15.790000000000001,25.748,38.406,46.178,36.583999999999996,52.49400000000001,49.44799999999999,0.60216,26.959999999999997,47.07,13.09,20.723999999999997,34.81400000000001,33.75599999999999,34.06,25.96,41.245999999999995,0.5246000000000001
split 1,34.052,49.82000000000001,20.535999999999998,31.808,39.258,43.827999999999996,36.742000000000004,48.894,45.852,0.60138,27.198,43.71,12.074000000000002,25.806,32.682,32.562,32.538,30.262,34.896,0.5130199999999999
split 2,33.2,49.82,14.888,34.894,39.598,45.61200000000001,37.522,53.093999999999994,46.217999999999996,0.6057600000000001,26.659999999999997,44.344,9.844,25.792,33.108000000000004,29.571999999999996,33.486000000000004,23.818,31.407999999999998,0.5123599999999999
split 3,35.004,49.903999999999996,20.212,34.894000000000005,39.63000000000001,44.010000000000005,37.144,50.47,44.410000000000004,0.6048,28.379999999999995,44.594,14.328,26.212,33.303999999999995,32.465999999999994,33.75599999999999,29.130000000000003,34.510000000000005,0.52064
split 4,32.638,49.638,15.406,32.874,38.822,44.86,36.408,52.786,45.386,0.6015599999999999,26.524,47.134,10.244,22.196,34.214,28.339999999999996,34.23,18.494,32.302,0.5179600000000001
split 5,31.516000000000002,50.108,14.418000000000001,30.02,38.55,45.012,36.306,50.053999999999995,48.674,0.60152,25.617999999999995,46.188,9.559999999999999,21.106,33.43,31.018,33.712,28.006,31.338,0.5198400000000001
mean,32.84,49.94200000000001,16.874000000000002,31.706000000000007,39.04600000000001,44.918,36.786,51.298,46.666000000000004,0.60286,26.887999999999998,45.507999999999996,11.526,23.636000000000003,33.594,31.286,33.63,25.944,34.284,0.5180799999999999
std,2.882,0.7540000000000001,5.65,5.33,1.14,1.8900000000000001,1.138,3.8880000000000003,2.914,0.004520000000000001,2.0220000000000002,2.978,6.268000000000001,5.644,1.902,3.652,1.452,9.562000000000001,5.346,0.02226
test mean,3.642614400876023,1.1153662892447809,9.95514149183471,9.014381552580865,1.3377834240996997,2.9965349240448385,1.4654796247687116,6.391229768924262,5.411070858594877,0.007917109346735287,2.8275526881177,3.4739625554594995,9.47509128058987,10.27175427260284,1.919763505843193,4.057146981889251,1.427354167110373,12.730037228411184,6.5235038538052725,0.025136445611087972
test std,6.456635866781634,4.95499888616466,10.82010851812033,14.892569512416296,4.043236180228514,13.114590887016897,3.979475431225576,31.91583878353105,21.310264876694248,0.05588318408731643,5.098160486079822,5.378181400506506,8.413812547996507,10.571696032559256,3.5688997198532704,9.818196230808677,3.1416482162503807,19.85730319737059,17.055953499344533,0.05090510667366448
std testing,0.9353341449561688,2.606351134300506,3.3941671307774275,1.5496423285940828,0.6611616214568709,1.6657427334791628,1.9658585592721893,5.705966751167826,5.255261774916879,0.015366623159219751,1.3332496515618215,2.528786771077523,2.20524606621757,3.151098729085058,1.4340822110532838,3.7359225622722967,1.4337209262171107,8.288625122934201,9.831743774790267,0.005330061795699995
