plant,time point,dividing parent cell,parent neighbor,label,isCellTest
P1,0,700,353,2,False
P1,0,700,428,0,False
P1,0,700,538,1,False
P1,0,700,560,1,False
P1,0,700,687,0,False
P1,0,700,709,0,False
P1,0,700,717,0,False
P1,0,580,439,2,False
P1,0,580,442,0,False
P1,0,580,602,2,False
P1,0,580,717,0,False
P1,0,580,740,1,False
P1,0,580,753,0,False
P1,0,390,610,1,False
P1,0,390,653,2,False
P1,0,390,753,1,False
P1,0,390,754,2,False
P1,0,384,484,1,False
P1,0,384,592,0,False
P1,0,384,615,1,False
P1,0,384,630,2,False
P1,0,384,745,1,False
P1,0,384,751,2,False
P1,0,369,436,0,False
P1,0,369,461,1,False
P1,0,369,587,0,False
P1,0,369,600,2,False
P1,0,369,726,0,False
P1,0,369,738,1,False
P1,0,369,746,0,False
P1,0,352,353,1,False
P1,0,352,525,0,False
P1,0,352,551,0,False
P1,0,623,472,1,False
P1,0,623,476,0,False
P1,0,678,410,1,False
P1,0,678,532,1,False
P1,0,678,542,0,False
P1,0,678,671,1,False
P1,0,678,694,0,False
P1,0,678,695,1,False
P1,0,657,456,2,False
P1,0,657,652,2,False
P1,0,622,401,0,False
P1,0,622,472,2,False
P1,0,622,741,1,False
P1,0,622,754,2,False
P1,0,449,439,0,False
P1,0,449,741,1,False
P1,0,449,753,1,False
P1,0,449,754,2,False
P1,0,767,401,1,False
P1,0,767,653,0,False
P1,0,767,754,2,False
P1,0,552,397,2,False
P1,0,552,539,2,False
P1,0,552,568,1,False
P1,0,419,430,0,False
P1,0,419,542,2,False
P1,0,419,553,2,False
P1,0,419,665,0,False
P1,0,419,671,1,False
P1,0,419,697,2,False
P1,0,693,372,2,False
P1,0,693,413,2,False
P1,0,693,653,1,False
P1,0,693,696,0,False
P1,0,626,387,2,False
P1,0,626,456,1,False
P1,0,626,573,2,False
P1,0,626,670,2,False
P1,0,755,472,0,False
P1,0,540,353,2,False
P1,0,540,519,2,False
P1,0,540,525,0,False
P1,0,540,674,1,False
P1,0,540,687,1,False
P1,0,471,340,2,False
P1,0,471,467,0,False
P1,0,471,502,2,False
P1,0,471,602,0,False
P1,0,471,610,0,False
P1,0,471,758,2,False
P1,0,721,445,0,False
P1,0,721,694,1,False
P1,0,721,715,2,False
P1,0,721,725,1,False
P1,0,595,577,1,False
P1,0,595,741,2,False
P1,0,747,340,0,False
P1,0,747,413,0,False
P1,0,747,610,0,False
P1,0,728,372,0,False
P1,0,728,413,1,False
P1,0,728,690,1,False
P1,0,452,440,0,False
P1,0,452,577,1,False
P1,0,620,372,1,False
P1,0,620,518,2,False
P1,0,620,521,1,False
P1,0,620,555,1,False
P1,0,620,606,1,False
P1,0,414,443,0,False
P1,0,414,444,0,False
P1,0,414,536,2,False
P1,0,414,670,2,False
P1,0,414,750,0,False
P1,0,535,512,2,False
P1,0,535,523,0,False
P1,0,535,659,2,False
P1,0,535,665,1,False
P1,0,535,679,2,False
P1,0,535,697,1,False
P1,0,576,439,1,False
P1,0,576,709,0,False
P1,0,576,741,1,False
P1,0,672,407,2,False
P1,0,672,514,0,False
P1,0,672,538,1,False
P1,0,672,680,1,False
P1,0,672,698,2,False
P1,0,366,577,0,False
P1,0,366,720,0,False
P1,0,366,741,1,False
P1,0,421,420,2,False
P1,0,421,456,0,False
P1,0,421,507,2,False
P1,0,421,573,0,False
P1,0,421,632,0,False
P1,0,605,422,1,False
P1,0,605,518,2,False
P1,0,605,559,0,False
P1,0,605,589,1,False
P1,0,605,619,0,False
P1,0,605,690,0,False
P1,0,557,353,2,False
P1,0,557,551,0,False
P1,0,557,709,2,False
P1,0,557,720,2,False
P1,0,566,446,1,False
P1,0,566,567,2,False
P1,0,566,695,2,False
P1,0,566,715,1,False
P1,0,566,725,0,False
P1,0,566,730,2,False
P1,0,448,438,1,False
P1,0,448,441,1,False
P1,0,448,442,1,False
P1,0,448,447,1,False
P1,0,448,462,0,False
P1,0,448,716,2,False
P1,0,448,740,1,False
P1,0,517,407,1,False
P1,0,517,538,0,False
P1,0,517,674,0,False
P1,0,517,687,0,False
P1,1,5099,5003,1,False
P1,1,5099,5045,2,False
P1,1,5099,5101,1,False
P1,1,5099,5129,0,False
P1,1,5099,5182,0,False
P1,1,5099,5244,2,False
P1,1,5099,5287,2,False
P1,1,5198,5019,1,False
P1,1,5198,5053,0,False
P1,1,5198,5119,1,False
P1,1,5198,5153,0,False
P1,1,5198,5232,1,False
P1,1,5031,5009,0,False
P1,1,5031,5023,1,False
P1,1,5031,5176,2,False
P1,1,5306,4953,2,False
P1,1,5306,5025,0,False
P1,1,5306,5092,2,False
P1,1,5306,5151,1,False
P1,1,5306,5171,0,False
P1,1,5306,5181,0,False
P1,1,5306,5200,2,False
P1,1,5241,5016,0,False
P1,1,5241,5087,2,False
P1,1,5241,5115,0,False
P1,1,5241,5174,1,False
P1,1,5241,5233,0,False
P1,1,5241,5244,1,False
P1,1,5241,5292,2,False
P1,1,5204,5061,0,False
P1,1,5204,5090,2,False
P1,1,5204,5129,1,False
P1,1,5204,5156,1,False
P1,1,5204,5172,2,False
P1,1,5204,5287,1,False
P1,1,5229,5230,2,False
P1,1,5229,5235,0,False
P1,1,5114,5005,0,False
P1,1,5114,5107,1,False
P1,1,5114,5235,0,False
P1,1,5114,5270,0,False
P1,1,5083,4939,1,False
P1,1,5083,5235,0,False
P1,1,5275,5053,2,False
P1,1,5275,5085,2,False
P1,1,5275,5100,2,False
P1,1,5275,5126,1,False
P1,1,5275,5152,2,False
P1,1,5275,5153,1,False
P1,1,5226,5116,0,False
P1,1,5226,5188,2,False
P1,1,5226,5190,2,False
P1,1,5226,5192,2,False
P1,1,5226,5210,2,False
P1,1,5226,5259,1,False
P1,1,5226,5272,0,False
P1,1,5226,5286,0,False
P1,1,5257,5011,0,False
