,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,25.56,49.93,2.88,23.86,36.09,56.79,34.45,89.98,45.94,0.5928,22.33,48.52,1.39,17.08,33.79,42.41,33.26,56.31,37.66,0.5454
split 1,27.64,50.58,0.36,32.0,37.48,60.74,35.5,100.0,46.72,0.5988,22.74,42.93,0.0,25.27,31.03,21.25,30.46,0.0,33.28,0.4937
split 2,25.0,50.41,0.0,24.59,36.25,27.78,34.68,0.0,48.66,0.5917,21.28,47.81,0.0,16.02,32.88,22.09,32.81,0.0,33.47,0.5465
split 3,33.07,49.86,14.09,35.26,38.98,44.07,36.17,49.85,46.19,0.6045,22.77,42.9,9.04,16.37,29.06,26.05,31.16,24.24,22.76,0.5148
split 4,24.35,50.06,0.37,22.6,35.82,45.38,34.3,52.33,49.49,0.5906,19.02,48.71,0.0,8.34,31.92,17.31,33.34,0.0,18.59,0.5208
split 5,28.71,49.81,1.12,35.19,37.67,45.23,35.41,54.25,46.04,0.6023,23.25,45.48,2.23,22.06,31.72,38.31,32.46,54.17,28.29,0.5083
mean,27.39,50.11,3.14,28.92,37.05,46.66,35.08,57.74,47.17,0.5968,21.9,46.06,2.11,17.52,31.73,27.9,32.25,22.45,29.01,0.5216
std,2.95,0.29,4.99,5.37,1.11,10.55,0.66,32.31,1.39,0.0054,1.42,2.46,3.21,5.3,1.48,9.24,1.08,24.72,6.6,0.0191
test mean,25.02336375507362,51.77745363287251,1.2617342974485832,22.030903334899783,37.133284427840245,33.161280660965396,36.16553135242053,19.047619047619047,44.270691582856614,0.5864979639213103,23.983395585734456,47.26409211905306,1.2569832402234637,23.429111397926857,33.953896441566116,23.886860459134173,33.277650699844614,4.326923076923077,34.056007600634835,0.5517923081161941
test std,3.912487707212703,4.553064457179477,2.8004110221272303,10.009157585692163,4.79371755917697,14.085032250050373,4.410736936058419,39.26767262493011,18.60425371765356,0.039053170903913116,4.218813411960302,3.2708162335170505,3.3256650558074465,11.980725865485915,2.2221045452505277,7.1506611208900335,1.6557303503957148,11.447962403644864,14.148817674875676,0.03124002054790218
