,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
train tissue 0,30.02832491354331,52.766431489045665,24.649741915095337,12.668801336488928,38.24699110413397,43.62944924171101,37.458811124291536,37.46397694524495,55.96555965559655,0.6203566732412886
train tissue 1,37.05905308397849,47.3980198019802,34.497112232686405,29.282027217268876,38.043614881850175,37.375880931323515,40.86873377953831,38.49727093252815,32.76163808190409,0.5835374149659864
train tissue 2,33.5647182283327,54.07354964534279,22.614736530928973,24.005868508726348,40.44414735591207,47.675708960035074,38.61048053261106,66.20510601471223,38.21154033278194,0.6022222222222222
train tissue 3,28.20715275923041,47.275191172200174,37.34626710549106,0.0,36.281179138322,25.62218855581915,34.40890517119911,42.45766049625835,0.0,0.6902754631898834
train tissue 4,25.334208697825233,49.02300463576793,10.961433063143618,16.018188394564145,34.32597623089984,34.731282081866645,34.28265901430751,36.41939812152579,33.49178910976664,0.6111503424899372
train tissue 5,23.45835817413619,56.502242152466366,0.0,13.872832369942195,29.761904761904766,19.602295691536657,45.32374100719424,0.0,13.48314606741573,0.6479591836734694
train tissue 6,55.36232838463491,53.04247990815154,43.73757455268389,69.3069306930693,55.65656565656567,60.78982588348534,42.69870609981516,63.583815028901725,76.08695652173913,0.696159122085048
train tissue 7,31.40407416410768,41.886926632689374,18.655593669134028,33.669702190499635,34.0633842671194,34.76300864156476,32.174071376547744,32.044655778375024,40.070298769771526,0.5575288275397694
train tissue 8,37.91815574724342,56.44751180530325,26.882772111219772,30.424183325207217,44.17301917301917,53.688715566768614,40.29187347210899,69.45848375451263,51.31578947368421,0.6468469740837511
train tissue 9,41.19890536489342,51.59707780088515,30.0512690447291,41.948369249066005,43.687370490409634,46.74411011804284,39.4520101117181,47.240416927721164,53.539903314689255,0.59006557598702
train tissue 10,32.979242668863264,49.23467767545246,31.018374338212418,18.68467599292492,38.42034805890227,44.37911080708074,35.1915743599055,58.900059136605556,39.04569892473116,0.6473369579221314
train tissue 11,40.65167807103291,53.33333333333334,36.36363636363636,32.25806451612903,41.66666666666667,42.26262626262626,48.00000000000001,33.33333333333333,45.45454545454545,0.6426592797783933
train tissue 12,41.20604030709176,50.49256971113708,21.12274024738344,52.00281096275475,43.126459793126465,51.326853856200536,37.88524179403658,28.83116883116883,87.26415094339622,0.690288518738846
train tissue 13,30.555555555555554,50.0,8.333333333333334,33.33333333333333,36.666666666666664,33.333333333333336,37.5,25.0,37.5,0.5563888888888889
train tissue 14,38.541953407368176,53.514576998747984,34.057192001720054,28.054091221636483,43.53337294513765,53.7662813535826,38.280450358239506,61.63424124513618,61.384152457372124,0.6363421550094518
train tissue 15,33.36006960648117,48.038360941586724,18.79268388413534,33.24916399372144,38.136048934597035,42.876437983520184,34.75087845751867,42.43176178660049,51.44667370644138,0.6211995002082467
train tissue 16,39.807060755336614,44.99999999999999,48.21428571428571,26.20689655172414,40.74074074074074,40.10833074794031,39.301310043668124,49.09090909090909,31.932773109243694,0.6317338162064283
train tissue 17,45.45525567981445,46.830843762616105,43.37274745701453,46.162175819812695,45.66091954022987,47.889354651134816,44.03948367501902,58.438847919855306,41.189732358530094,0.6414657901144387
train tissue 18,36.90656929854162,48.037094281298344,14.572089437162694,48.11052417716382,41.85614185614185,51.70168696369881,37.54530079729407,71.86311787072242,45.696642223079955,0.6749219014641124
train mean,35.94730025621112,50.23652061831603,26.591767526420846,31.01361262389648,40.236395698018214,42.750867454277426,38.84548585131648,45.41548543232165,43.99163107919417,0.6309704530425954
train std,7.279484600764857,3.7476210139037485,12.579675077570359,15.594575301808298,5.3627317013281885,9.926723667292016,3.9483946358917867,17.711121858959142,19.091166999820704,0.04013685608936851
test tissue 0,25.636288408726454,45.90163934426234,5.361930294906173,25.645295587010835,32.121212121212125,28.622653161148833,34.14634146341468,23.25581395348837,28.46580406654344,0.4844201641808301
test tissue 1,38.92035106309317,55.35055350553506,27.096774193548384,34.31372549019607,41.58730158730158,40.844752748367206,45.18072289156627,42.0,35.35353535353535,0.5327995867768595
test tissue 2,42.80645492856409,48.0,46.376811594202906,34.04255319148937,44.44444444444446,52.90404040404041,37.49999999999999,48.48484848484849,72.72727272727273,0.6416666666666666
test tissue 3,13.333333333333336,40.00000000000001,0.0,0.0,22.222222222222225,9.523809523809526,28.571428571428577,0.0,0.0,0.3
test tissue 4,30.917650399587043,41.669417563693294,19.018783308317293,32.06475032675054,33.774444074779794,35.52136675095944,31.971270692031915,38.56770528469058,36.025124276155815,0.4784166666666667
test tissue 5,28.618505083433817,38.31695856471599,17.778922958000518,29.759633727584937,30.602006688963208,30.20913267843868,31.059556786703656,28.99159663865547,30.576244609956916,0.49410979754383766
test tissue 6,39.86421326778734,54.48585650115334,24.978165938864624,40.128617363344055,42.5019425019425,44.14900259551427,46.701352757544235,49.82578397212543,35.91987105687313,0.5530478395061729
test tissue 7,24.07239868996824,46.70798271548781,9.921508095503958,15.587705258912942,29.94486622317612,25.16146748455643,35.002689646724214,21.467400959317814,19.01431184762726,0.5212514461043207
test mean,30.521149396811687,46.30405102435598,18.81661204791798,26.442785118161094,34.649804983005254,33.36702816835435,36.26667035117669,31.574143661640772,32.26027049224558,0.5007140209306693
test std,9.174793629483096,5.884269490479583,13.60801384647486,12.079464971411282,7.122550952344701,12.383532709154485,6.131259142751962,15.619057471886785,19.066094739662923,0.09024282659494594
