,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
train tissue 0,65.33993750499461,73.26144882715963,74.20151247283854,48.55685121498564,66.51953122763626,65.52533906123085,70.75728321047971,67.88218194254443,57.93655203066841,0.845507742969028
train tissue 1,52.402733464648726,60.30927835051546,56.358381502890175,40.54054054054054,53.33333333333334,53.71897111875819,60.62176165803109,48.81101376720901,51.72413793103448,0.7424433627786792
train tissue 2,51.0029153205362,58.74931431705982,59.294396679513795,34.96503496503497,52.82539682539683,52.32701102633462,51.714147754707874,55.617352614015594,49.64953271028038,0.7507239919803965
train tissue 3,51.21596391800292,54.410979097092785,59.82826407623223,39.408648580683746,51.83156500777112,51.12432404495593,52.353177242816294,56.60493499602005,44.41485989603142,0.7196340072803825
train tissue 4,62.64145334067474,70.00199435881365,64.72543471691898,53.19693094629159,62.26028873087699,63.36613625704576,74.2969458723919,66.0406973485061,49.76076555023928,0.8081907492012301
train tissue 5,66.23394015484412,73.22033898305087,81.4814814814815,44.0,68.93939393939394,68.09896146597698,66.25766871165645,73.33333333333334,64.70588235294117,0.888671875
train tissue 6,60.936888270987254,68.84948880548723,65.2049571020019,48.75621890547262,62.36888517590271,64.45343241036487,64.31334622823981,56.98812747344303,72.05882352941177,0.8235687235464468
train tissue 7,55.67812607406415,55.98591549295778,57.24907063197024,53.799392097264445,55.55555555555555,56.5901082683421,58.029197080291986,63.114754098360706,48.62637362637361,0.7328061224489796
train tissue 8,56.54941546539402,56.31041273859558,59.878682115260396,53.45915154232609,56.477598452436425,56.711769360382,56.895011949169906,61.72508510226109,51.51521102971501,0.7376899408284023
train tissue 9,56.732911730042055,61.76994912144489,62.527182189733445,45.901603878947824,57.34777825608648,57.01757195681203,56.50562635897599,61.74129562018269,52.80579389127739,0.767929897173899
train tissue 10,62.23205897474178,65.89406833832629,69.75669317954492,51.04541540635413,63.11069744353438,63.05493980237653,61.47324853493913,64.97795941447875,62.71361145771169,0.7828498048668503
train tissue 11,62.481798758499544,65.69559017551342,70.71045111725309,51.03935498273212,63.043357794824296,62.50303995093026,63.288789767329234,67.13873459700471,57.08159548845681,0.8155056809229531
train tissue 12,60.4499857452432,69.88783433994823,71.33297160426841,40.129151291512954,62.15836526181354,60.51407417444534,63.57927786499214,67.55738266529634,50.40556199304754,0.8188915266617969
train tissue 13,65.24628404428915,72.73526206629867,70.35177889326641,52.65181117330236,65.79790199815875,65.44731683034698,66.34495142206683,72.39463286137635,57.60236620759775,0.8413584183673469
train tissue 14,56.67930234285276,65.15054906128235,70.17904918707553,34.70830878020037,59.06261254308794,57.032194232994236,60.2147721320063,63.163744134354175,47.718066432622216,0.7973572530864197
train tissue 15,65.65440452017388,68.87693833864137,74.96918931339174,53.11708590848855,66.5695502764082,66.25179479849442,64.4833317039788,70.1991159097133,64.07293678179114,0.8267886513157894
train tissue 16,66.08448699162751,67.90739900136178,63.501517667945706,66.84454430557506,65.95365418894832,67.1392753457994,69.19518963922293,57.70792130738004,74.51471509079525,0.7961871896305024
train tissue 17,66.44468881418443,65.31626905184777,71.20808030098604,62.809717089719506,66.42501228425773,66.69573394058494,69.34696121874691,70.55342335671526,60.186817246292655,0.8127224991100035
train tissue 18,60.10661394642373,64.1377171798799,63.87940692668259,52.30271773270868,60.23105078542017,60.041400817952365,63.2409895302511,62.79679684104279,54.08641608256322,0.7798049996584933
train mean,60.21652154643289,65.18267092869881,66.66518427153977,48.801709439060055,61.042712056886465,60.92702078232251,62.78482515159444,63.597288809644084,56.398948385729,0.7941385493067159
train std,5.087955769941991,5.734408824079559,6.578956321345162,8.261499647096619,5.090485257567608,5.173967903859721,5.85981290603791,6.224739155338605,8.04167561803984,0.04318863610108824
test tissue 0,60.02067665024185,63.32453825857532,68.74621023334294,47.99128145880731,60.60351260351261,60.00135762544357,63.58819076457242,63.63697638366268,52.778905728095594,0.7822788761706556
test tissue 1,57.47798009147448,64.87655623549264,58.39272548537723,49.16465855355357,57.81262234750609,57.95524148505166,58.887186362765696,64.2872267839917,50.69131130839758,0.7538353201549218
test tissue 2,69.41254676910181,75.48334651551103,67.58144694137465,65.1728468504197,69.82227784730914,70.30783415766349,67.25852550800676,74.60768602787772,69.057290937106,0.8324689703397238
test tissue 3,41.95460205644009,64.55266138165348,36.62420382165607,24.686940966010727,45.31400966183574,41.95100358406659,52.97397769516732,40.63604240282687,32.2429906542056,0.7550729797080813
test tissue 4,53.877296808121514,51.582957580064324,58.85697057594843,51.19196226835177,53.86696819620488,55.00693217604248,60.133598074925374,58.72175950000441,46.16543895319767,0.7355185625578016
test tissue 5,53.561117236399866,56.852906495396304,60.80559131874188,43.02485389506142,54.00796793625652,53.731512660947004,59.55428241044915,55.3583389149363,46.28191665745556,0.7264593658172886
test tissue 6,52.313321151386795,55.92855746040023,61.54376028471932,39.46764570904086,52.17524077989195,52.96875717049363,52.02522435120059,67.33941880914497,39.54162835113533,0.7545834816660734
test tissue 7,61.26269237923822,63.712398558551676,69.81685722958623,50.258821349576735,61.78536922015183,61.4931706012381,59.17751300672977,68.27627152186825,57.02572727511629,0.7964233819435935
test mean,56.23502914280058,62.03924031070563,60.29597073634334,46.36987638135277,56.9234960740836,56.67697618261831,59.19981227172714,61.6079650430391,49.22315123308871,0.7670801172947674
test std,7.473449007201023,6.8294897320746095,9.893143430005004,10.789737702191905,6.887653981894103,7.613733081832938,4.68417935777952,9.648921559907128,10.423113609543035,0.032576200377922644
