,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,61.68,64.86,67.47,52.7,62.02,61.71,62.29,65.28,57.54,0.7876,51.17,55.35,59.84,38.32,52.3,51.71,51.9,54.79,48.44,0.7261
split 1,60.28,63.41,66.5,50.94,60.67,60.3,61.42,63.57,55.92,0.7812,61.87,68.37,65.97,51.27,61.92,61.89,69.82,63.85,52.01,0.8043
split 2,64.63,68.64,70.61,54.62,64.95,64.58,66.09,68.84,58.82,0.8112,54.35,58.22,56.28,48.57,54.38,54.49,55.75,59.2,48.53,0.7255
split 3,59.59,63.44,65.08,50.24,59.92,59.56,61.06,63.17,54.44,0.7797,59.49,64.72,68.42,45.33,60.37,59.81,58.66,67.28,53.5,0.8023
split 4,59.83,64.03,65.89,49.58,60.27,59.82,61.63,63.22,54.61,0.782,61.56,65.44,69.89,49.34,62.66,62.61,61.89,63.46,62.47,0.7981
split 5,60.1,64.23,65.93,50.12,60.54,60.13,62.47,62.46,55.48,0.7801,61.6,62.66,65.81,56.34,61.55,61.81,65.86,64.97,54.58,0.7784
mean,61.02,64.77,66.91,51.37,61.4,61.02,62.49,64.42,56.13,0.787,58.34,62.46,64.37,48.2,58.86,58.72,60.65,62.26,53.26,0.7725
std,1.75,1.8,1.8,1.76,1.72,1.73,1.68,2.15,1.57,0.0112,4.12,4.43,4.79,5.52,4.01,4.14,6.02,4.12,4.72,0.034
test mean,60.21652154643289,65.18267092869881,66.66518427153977,48.801709439060055,61.042712056886465,60.92702078232251,62.78482515159444,63.597288809644084,56.398948385729,0.7941385493067159,56.23502914280058,62.03924031070563,60.29597073634334,46.36987638135277,56.9234960740836,56.67697618261831,59.19981227172714,61.6079650430391,49.22315123308871,0.7670801172947674
test std,5.087955769941991,5.734408824079559,6.578956321345162,8.261499647096619,5.090485257567608,5.173967903859721,5.85981290603791,6.224739155338605,8.04167561803984,0.04318863610108824,7.473449007201023,6.8294897320746095,9.893143430005004,10.789737702191905,6.887653981894103,7.613733081832938,4.68417935777952,9.648921559907128,10.423113609543035,0.032576200377922644
