,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,17.51910000000002,49.943400000000004,0.6413,1.9640000000000004,33.51669999999996,12.864799999999992,33.448599999999956,1.2604,3.886,0.5545789999999998,17.180200000000017,49.823,0.43689999999999996,1.2726,33.33629999999996,12.349799999999998,33.34049999999995,1.0107,2.6976999999999998,0.5341380000000002
split 1,16.99040000000002,49.9658,0.1961,0.8001999999999999,33.394199999999955,11.773499999999995,33.36329999999996,0.42119999999999996,1.5355,0.5526540000000001,17.04300000000002,49.917300000000004,0.4042,0.7981,33.39429999999996,11.713699999999994,33.39449999999996,0.38020000000000004,1.3663999999999998,0.5317490000000001
split 2,17.461300000000023,49.8423,0.4253,2.1072,33.50309999999996,12.74829999999999,33.442799999999956,0.861,3.9410000000000003,0.554429,17.622200000000017,49.52009999999999,0.7514,2.5863000000000005,33.379099999999966,12.505899999999997,33.374799999999965,0.7119999999999999,3.4306000000000005,0.5339109999999999
split 3,17.408500000000018,49.885200000000005,0.7947,1.5367000000000002,33.48249999999996,12.778799999999991,33.41739999999996,1.1884000000000001,3.7304999999999997,0.5537230000000001,16.894000000000016,49.8518,0.049400000000000006,0.7713,33.33479999999996,11.740799999999997,33.30629999999996,0.3574,1.5589,0.5349910000000001
split 4,17.261100000000017,49.93290000000001,0.6718,1.1692,33.460099999999954,12.189099999999996,33.399299999999954,1.1959,1.9722999999999997,0.553387,16.78780000000002,49.8917,0.0,0.4621,33.308599999999956,11.322000000000001,33.312399999999954,0.0,0.6536,0.5376290000000001
split 5,17.52930000000002,49.904,0.7208,1.9542999999999997,33.50909999999996,12.708199999999994,33.428299999999965,1.1895000000000002,3.5067000000000004,0.5528400000000001,16.909900000000015,49.9394,0.0,0.7811,33.34209999999995,11.673099999999998,33.34609999999995,0.0,1.6729000000000003,0.537544
mean,17.36110000000001,49.9121,0.575,1.5884999999999996,33.477799999999974,12.510899999999994,33.416999999999966,1.0194,3.0953000000000004,0.5535999999999999,17.07230000000002,49.8239,0.2736,1.1118999999999999,33.34969999999996,11.884099999999997,33.346199999999975,0.41009999999999996,1.8967999999999998,0.5349960000000001
std,0.6529,0.1226,0.2699,1.8348000000000002,0.1358,1.2666,0.08710000000000001,0.4596,3.3394,0.004030000000000001,0.5923999999999999,0.30280000000000007,0.4282,1.6438,0.12789999999999999,1.0541999999999998,0.11179999999999998,0.5151,2.742200000000001,0.020894999999999997
test mean,2.3079106610941063,0.4631312352027319,3.599055610255875,5.940695882741726,0.5214123823318545,4.52614658162629,0.3176937978363345,6.298763410157812,10.687755478946695,0.00851063686914013,1.7645123257589053,0.9208964815851555,2.7744270478564674,5.1178697346869315,0.4129747976201307,2.928344986506884,0.35258599645754407,3.625942517414174,7.518195554500712,0.023511200820034692
test std,0.3075921596874792,0.5545807946521893,0.5381492112820314,0.48597760033464554,0.2504296157249886,0.4405239123808192,0.4497027320654798,0.6081804877211633,0.5491013648207302,0.05580039535902743,0.20798195790604784,0.11518430065462228,0.37533477803184956,0.33781906425981995,0.05959532884977804,0.36177502225719066,0.04738991044978631,0.5273831159943232,0.5526968981793725,0.04004530433509221
std testing,1.2048918555105106,2.199395613093763,3.0639498968629475,2.854509822475764,0.8415770663088824,1.8412130943557123,1.7270476856360633,3.49822456556682,3.285074396452717,0.012034978067724791,0.9878094942061688,0.5841305531861034,2.1587822888874433,2.232675295763427,0.3248252518306099,1.6564902653317755,0.22002268720244175,3.0450386697898195,3.1735755661380938,0.011406422536311646
