,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5416,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5572
split 1,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5566,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.4415
split 2,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.552,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5292
split 3,17.05,50.14,0.0,1.02,33.51,26.68,33.46,0.0,46.59,0.5475,18.7,50.13,0.0,5.98,33.96,28.21,33.6,0.0,51.04,0.5482
split 4,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5507,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5135
split 5,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5464,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.548
mean,16.73,50.02,0.0,0.17,33.36,13.71,33.35,0.0,7.77,0.5492,17.01,50.02,0.0,1.0,33.44,13.96,33.38,0.0,8.51,0.5229
std,0.14,0.05,0.0,0.38,0.06,5.8,0.05,0.0,17.36,0.0047,0.76,0.05,0.0,2.23,0.23,6.37,0.1,0.0,19.02,0.0392
test mean,16.666666666666664,50.0,0.0,0.0,33.333333333333336,11.11111111111111,33.333333333333336,0.0,0.0,0.5434326313976795,16.666666666666675,50.000000000000014,0.0,0.0,33.33333333333333,11.111111111111118,33.33333333333335,0.0,0.0,0.5350130668037327
test std,1.5888218580782548e-14,4.758893741695115e-14,0.0,0.0,7.436087208706732e-15,1.3960165056137425e-14,4.260435867500575e-14,0.0,0.0,0.05496198636745881,1.3702149300113497e-14,3.8836864584857706e-14,0.0,0.0,5.0242958677880805e-15,1.2113138667212069e-14,3.588064934363216e-14,0.0,0.0,0.03277129424875731
