,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
train tissue 0,39.16883805545191,0.0,54.52260530083743,62.9839088655183,48.17578772802653,35.13231642432543,0.0,40.51530135790936,64.88164791506694,0.6716580633677465
train tissue 1,43.93259169314238,0.0,57.84543325526936,73.95234182415777,53.789173789173795,38.39728199405602,0.0,43.989314336598454,71.20253164556962,0.7648879274082087
train tissue 2,37.02809642003976,0.0,49.97827031725339,61.10601894286588,45.502645502645514,32.29474190471856,0.0,37.991410637595,58.89281507656068,0.6630528947303285
train tissue 3,43.67013356694474,3.4782608695652235,57.60810323576029,69.92403659550872,52.83011387065055,69.99153381937104,100.0,44.48300420848181,65.4915972496313,0.7051061356958028
train tissue 4,41.25807515553158,2.898550724637679,56.184308312984456,64.6913664289726,50.164595752831055,68.18521373473581,100.0,43.073416897281525,61.4822243069259,0.6823882468870375
train tissue 5,43.487185560193815,0.0,58.033573141486826,72.42798353909464,52.77777777777777,40.57847321005216,0.0,42.456140350877206,79.27927927927928,0.74560546875
train tissue 6,44.16159672108294,0.0,55.599710982658976,76.88507918058984,53.13283208020049,40.506967590475874,0.0,41.14423205453818,80.37667071688944,0.7244375139229228
train tissue 7,45.04703154394715,0.0,59.35162094763092,75.78947368421052,55.55555555555555,38.25830733422473,0.0,46.85039370078741,67.92452830188678,0.7446301020408163
train tissue 8,45.11643049851521,15.032514627507837,51.71258346229774,68.60419340574006,51.18342777511668,49.410650933654104,45.175588969976005,44.54563012127364,58.51073370971267,0.7157680473372781
train tissue 9,44.85973139515446,2.6625425084138055,57.50088955584087,74.4157621212087,53.55239871813268,43.79987106894628,16.35009712928988,44.87913255572457,70.17038352182439,0.7151264308348961
train tissue 10,40.3811405334273,0.0,54.599302542337945,66.54411905794394,49.362124596674114,36.40372608271456,0.0,40.55368175228936,68.65749649585433,0.6953268480257117
train tissue 11,37.58930027023932,0.0,51.76162690215389,61.00627390856407,46.26203613545387,32.600369932318706,0.0,39.60579345088171,58.19531634607442,0.6770977398855063
train tissue 12,42.52921549269388,0.0,55.40209113205109,72.18555534603055,51.85185185185186,37.61616929453918,0.0,41.77535526571926,71.07315261789827,0.6944165449233017
train tissue 13,44.579396335582366,0.0,61.9347497694858,71.8034392372613,54.94417862838916,39.185218656948855,0.0,46.65287424264813,70.90278172819843,0.6917251275510204
train tissue 14,38.44768342661807,0.0,53.93862701676686,61.40442326308735,47.52791068580543,33.42878070411454,0.0,40.96260110514937,59.32374100719425,0.6537422839506173
train tissue 15,43.4755526159573,0.0,56.743980141978476,73.68267770589341,53.27207530255491,37.52694654255788,0.0,43.83350839053218,68.74733123714147,0.717262162396122
train tissue 16,41.34443907615857,0.0,54.76336816226181,69.2699490662139,50.713012477718365,35.97272099762512,0.0,41.79174484052531,66.12641815235004,0.7081474623348202
train tissue 17,42.95169818646688,4.81927710843373,56.02304566184689,68.01277178912002,51.31278407345987,69.90346957324645,100.0,42.329614438788255,67.38079428095108,0.6908931114275543
train tissue 18,39.92775846641556,0.0,52.71823300035494,67.06504239889173,49.05590717299578,34.24813613113631,0.0,41.0202279072381,61.72418048617083,0.7024878765111673
train mean,42.050310263871744,1.5205866230820144,55.59063804427674,69.0397061242565,51.10348365657969,42.81267873314535,19.027667689435045,42.55017776920205,66.86019074079894,0.7033557888410977
train std,2.5469792424834092,3.500822952690769,2.810284015940122,4.943265928506194,2.785505863309025,12.145383391957058,36.58383947119533,2.272337667587846,6.222739235052448,0.027991239782345155
test tissue 0,42.49541362419843,0.0,57.91138886715036,69.57485200544494,52.282828282828284,37.08805605334859,0.0,43.956416958012255,67.3077512020335,0.7117950052029136
test tissue 1,41.076790658712426,0.0,53.41801677743899,69.81235519869828,50.56377730796336,35.10901935553999,0.0,41.66136986301371,63.66568820360627,0.6666163673859464
test tissue 2,41.6643549013123,0.0,55.738568981420485,69.25449572251642,51.29328327075511,35.88716968799944,0.0,42.938350138729106,64.7231589252692,0.6739991841967252
test tissue 3,35.82093519239001,0.0,51.059535822401635,56.403269754768395,44.44444444444445,30.79248476552034,0.0,39.164086687306515,53.213367609254504,0.5719117123531505
test tissue 4,43.61557120915878,2.5300556253364404,56.76017864513523,71.55647935700468,52.820535609947186,58.4937879735545,64.53089244851257,43.81111762415929,67.13935384799163,0.7139780684370458
test tissue 5,45.407278460579356,1.7029504606818833,58.03075080392137,76.48813411713479,55.141158870729036,48.16246822646631,29.0425109257052,45.45306222340065,69.99183153029307,0.7556905398886014
test tissue 6,40.971001880830066,0.0,56.16562120860118,66.74738443388901,50.808080808080824,34.656026073780346,0.0,44.315450731190694,59.652627490150344,0.6712798148807405
test tissue 7,39.465393398905015,0.0,55.9240695318333,62.47211066488176,48.881987577639755,34.17809677136531,0.0,42.58567484164373,59.948615472452204,0.639992297053623
test mean,41.3145924157608,0.5291257607522905,55.626016329737816,67.78863515679228,50.7795120215485,39.29588861344685,11.696675421777222,42.98569113343199,63.205299285131346,0.6756578736748433
test std,2.6771175220491066,0.9395097906155424,2.191252015588358,5.682086696290324,2.9473441236819813,8.669107019400707,22.116752117150767,1.8027950443321932,5.04908330474578,0.051621851106442115
