,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,42.32,2.27,55.01,69.67,51.18,49.84,41.4,42.43,65.68,0.6724,38.31,2.0,51.64,61.28,46.37,44.54,34.01,39.11,60.49,0.6359
split 1,48.35,23.41,53.67,67.97,52.3,55.77,58.68,42.77,65.85,0.7069,48.62,29.03,47.49,69.34,50.45,50.77,44.98,39.97,67.38,0.7179
split 2,54.37,51.31,44.21,67.59,55.02,54.21,52.16,47.95,62.51,0.7393,52.91,53.99,36.11,68.62,54.53,53.42,49.51,47.63,63.13,0.7568
split 3,52.09,38.1,50.53,67.65,53.27,54.52,54.84,43.37,65.36,0.721,44.78,15.45,51.66,67.22,49.79,50.69,46.33,40.78,64.95,0.696
split 4,41.6,3.86,53.97,66.97,49.79,51.33,48.24,41.39,64.37,0.6664,43.83,2.0,56.18,73.3,53.46,70.11,100.0,44.16,66.18,0.6808
split 5,42.08,3.28,54.68,68.29,50.47,48.76,38.8,41.98,65.5,0.6875,40.46,4.07,51.51,65.8,48.19,49.73,46.29,39.48,63.43,0.6791
mean,46.8,20.37,52.01,68.02,52.0,52.4,49.02,43.32,64.88,0.6989,44.82,17.76,49.1,67.59,50.46,53.21,53.52,41.85,64.26,0.6944
std,5.12,19.03,3.78,0.84,1.77,2.58,7.07,2.16,1.16,0.0261,4.87,18.84,6.33,3.65,2.83,8.01,21.35,3.07,2.24,0.0372
test mean,52.919076956311656,46.79920729922808,43.05603757322527,68.9019859964816,53.93200148509256,53.460799188330846,50.30306609484802,45.16801508485897,64.91131638528555,0.7444001260022057,48.234757616511956,38.72076146324755,40.22840601217273,65.75510537411559,50.159615802032086,49.6032213593739,45.54203198744916,42.65021832003854,60.617413770634016,0.7124129273710124
test std,4.882049701386616,7.814972608752628,8.370463050045647,7.57936076137797,4.891439305306869,5.1869195827377395,7.9285322953601325,6.235943476184048,7.034376412344572,0.051971380155481486,4.053638035222793,10.839722781074743,9.504513075513625,6.539333752027633,4.880283247101238,5.434885263811277,10.80063267906588,7.2384181716028095,3.5805990081454064,0.04691707210039387
