,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
train tissue 0,59.17573731007533,65.63724098779454,69.68525019337183,42.204720749059604,59.71229120644887,58.8498623413621,64.1335700022188,67.21808471131577,45.19793231055171,0.8136916502301118
train tissue 1,58.32424068782057,64.30882393606726,57.129140662505996,53.53475746488845,57.96451914098974,60.997376379480535,78.87132876619413,49.97900041999158,54.141799952255894,0.7614512471655329
train tissue 2,53.915684236728545,56.824726435016316,60.56434962147282,44.357976653696504,54.269005847953224,54.60097124360976,50.5291908501195,63.49206349206349,49.78165938864629,0.7455418381344306
train tissue 3,47.4106969288253,37.62899045349906,50.81628573332447,53.7868145996524,48.24059252828346,48.04346636666963,46.2704885580806,49.93975272422467,47.9201578177036,0.6467503185962161
train tissue 4,65.43063017155025,68.14086814086815,67.49783419337827,60.653188180404335,65.24496336996339,66.27750511175383,67.71568095496472,74.73517390941696,56.38166047087978,0.8110186148687709
train tissue 5,81.32931882931884,88.11188811188812,87.50000000000001,68.37606837606839,82.38095238095237,83.06184353983829,86.30136986301369,77.77777777777779,85.10638297872342,0.9204389574759945
train tissue 6,64.51164415071555,69.46651532349607,70.80610021786492,53.262316910785636,65.17647058823529,64.79262576730783,67.10526315789478,65.92292089249493,61.349693251533765,0.8338121229531743
train tissue 7,43.199379540382004,33.42833618341883,46.98223806297682,49.187564374750366,44.125552608311224,45.00653482271827,41.467630421118784,52.818067421683544,40.733906625352496,0.6519531249999999
train tissue 8,43.12037238488913,36.87943262411348,35.04043126684636,57.44125326370756,46.53846153846153,49.963193388106696,47.85276073619632,58.55855855855856,43.478260869565204,0.668054110301769
train tissue 9,60.87427485711046,66.80445926002689,60.222326655920725,55.596038655383765,61.0055135797427,61.135955184906486,63.010683397110334,65.13329153128502,55.263890626324105,0.7846544053819443
train tissue 10,62.77520703420481,64.90214862460655,70.28588219274295,53.13759028526495,63.190655009876984,62.97644837893691,60.82495382721115,68.71540477291519,59.38898653668437,0.7999779068299457
train tissue 11,65.61433402912256,66.30630630630631,68.23206001947196,62.30463576158938,65.53164744158535,65.83910682861598,67.33760292772186,70.53878034339846,59.64093721472764,0.8312354721284154
train tissue 12,63.968702479238004,68.43657817109144,76.83414422660051,46.63538504002208,64.83477011494253,63.978582506780036,62.92947558770343,75.58525258269358,53.42101934994309,0.816689342403628
train tissue 13,66.24742248336128,72.57164123557871,74.41860465116281,51.75202156334232,67.30555555555556,66.89554438040155,65.56825823806321,72.29862475442044,62.819750148721,0.8458845289998679
train tissue 14,55.864392505876914,68.82276843467011,61.28328240942821,37.487126673532444,56.898656898656895,55.46966496242434,65.03667481662589,58.54879065888241,42.82352941176471,0.7947485207100592
train tissue 15,64.51434589919097,64.5778195167762,73.00524915714752,55.9599690236492,64.39239413856019,64.72801024041541,63.00265556967353,75.70456037350364,55.476814778069084,0.8053249999999998
train tissue 16,53.70311167945439,69.56521739130434,56.249999999999986,35.294117647058826,55.55555555555556,59.24242424242424,72.72727272727273,44.99999999999999,60.0,0.8086734693877551
train tissue 17,60.47405006719782,53.51351351351352,61.24197002141328,66.66666666666667,60.43771043771044,62.39619302376437,57.55813953488372,53.15985130111526,76.47058823529412,0.7702913631633715
train tissue 18,68.52374653298698,64.92568412279483,79.55284024437799,61.092715231788084,68.75338753387533,68.42293621125165,66.60017098888572,76.44266799900075,62.225969645868496,0.8259054231563145
train tissue 19,63.39765559961688,63.67583212735164,66.29526462395545,60.22187004754357,63.52941176470588,63.64437395365229,62.67806267806266,62.962962962962955,65.29209621993128,0.7967678326474623
train tissue 20,41.92772313805509,52.719665271966534,23.236514522821576,49.82698961937716,44.841269841269835,46.16848596842973,40.645161290322584,38.35616438356164,59.50413223140496,0.63718820861678
train mean,59.25250812122484,61.77373600819756,62.708560413180216,53.275227942296745,59.99663509912555,60.59481451632618,61.81744737587325,62.99465483672699,56.972341336378335,0.7795263551500736
train std,9.36600734435161,12.619084169819045,14.440535716217328,8.543062885368002,8.86414842145571,8.505226885808021,11.139105711082419,11.07370301719774,10.453514269230133,0.07111958668769143
test tissue 0,61.021048423534324,61.50183942869513,62.97795771479979,58.583348127108046,60.82993197278911,62.4772924379887,65.45370796867805,70.14028056112222,51.837888784165834,0.7996328152507419
test tissue 1,56.014709029260835,65.34438801116178,61.153608489058406,41.54613058756231,57.32419167509647,56.62077318032974,59.030485482671736,58.12422787937705,52.707606178940445,0.7652633417765744
test tissue 2,62.1115330117878,72.68959123012732,74.71610660486674,38.92890120036934,65.12153248396136,64.97438901788043,60.81679215149437,73.04032623470775,61.06604866743916,0.8036703601108033
test tissue 3,55.49230444866118,64.51612903225806,66.66666666666666,35.29411764705882,59.52380952380951,71.1229946524064,58.82352941176471,54.54545454545452,100.0,0.7867555185339442
test tissue 4,34.49938419449187,3.62633031139141,46.46837538245472,53.40344688962948,42.519890099873685,44.734258954815544,46.464646464646464,47.76744281972488,39.970687580075285,0.6081937528293346
test tissue 5,50.62129454400636,52.4817771607081,47.682119205298,51.69998726601298,50.81481481481481,53.355669410183715,57.886676875957136,59.01639344262296,43.16393791197106,0.7170710059171598
test tissue 6,52.98628695171641,63.04347826086959,71.34071340713407,24.574669187145563,57.02917771883288,54.22797250700206,53.40699815837942,66.51376146788992,42.76315789473684,0.775520597555455
test tissue 7,54.757981606071944,60.101824621319935,65.00981439289126,39.16230580400463,56.08964923801545,55.06394054120434,56.22189792537667,59.84250094032845,49.12742275790787,0.7608666930902365
test mean,53.438067776191346,55.41316975706641,62.00192023289621,42.8991133386114,56.156624690899164,57.822161337726364,57.26309180487107,61.12379848640347,55.07959372190456,0.7521217606330313
test std,8.001123271341173,20.272254732412996,9.537366504262282,10.362008229371177,6.424288059843581,7.607141553794231,5.222815910091679,7.819042720088311,18.12181126317194,0.060056809574138455
