,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,60.6,63.93,66.12,51.73,60.91,60.6,61.52,64.15,56.12,0.7808,50.69,54.82,59.02,38.21,51.84,51.38,51.46,53.68,48.99,0.7190000000000001
split 1,60.26,63.73,66.23,50.82,60.65,60.28,61.74,63.31,55.78,0.7811,61.11,67.99,65.2,50.14,61.16,61.1,69.02,63.44,50.84,0.8021
split 2,63.15,67.21,69.7,52.53,63.55,63.14,64.09,67.89,57.43,0.8064,54.33,57.78,56.85,48.36,54.35,54.48,55.32,59.77,48.36,0.7255
split 3,59.89,64.04,66.0,49.65,60.3,59.87,61.25,63.97,54.4,0.7839,59.89,63.69,67.31,48.68,60.43,60.0,59.6,65.65,54.74,0.7943
split 4,60.19,64.36,66.04,50.18,60.6,60.18,62.12,63.41,55.01,0.7833,60.02,63.99,69.46,46.61,61.25,60.9,60.82,62.74,59.15,0.7984
split 5,59.3,63.35,65.41,49.14,59.77,59.33,61.23,62.16,54.61,0.7774,60.71,61.55,65.35,55.22,60.66,60.86,64.16,64.73,53.68,0.7767
mean,60.57,64.44,66.58,50.68,60.96,60.57,61.99,64.15,55.56,0.7855,57.79,61.64,63.87,47.87,58.28,58.12,60.06,61.67,52.63,0.7693
std,1.22,1.28,1.42,1.17,1.21,1.21,0.98,1.79,1.03,0.0096,3.9,4.31,4.47,5.08,3.75,3.79,5.69,4.02,3.71,0.0343
test mean,59.91183014906019,64.76362083485279,66.66400428443252,48.30786532789524,60.76673896159278,60.65303245024352,62.3521923571411,63.62752159047453,55.97938340311496,0.7924461312768022,56.70369903157176,62.634147162984966,60.34652530915234,47.13042462257799,57.35978622216271,57.18942168627374,59.40400089581843,61.71475269028437,50.44951147271842,0.7677296858256359
test std,5.10016880436411,5.594944233769017,6.197649106098014,8.560615675746735,5.02674818230605,5.216066441735274,5.483363248852423,6.230219554214867,8.209972408783509,0.04197659969379264,6.506204167568923,6.862693198509585,9.921450444101682,8.667824611183867,6.095308101010215,6.606647538695982,3.969038072982414,9.712465565370476,8.895841319575595,0.032464777265220776
