,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,42.16870000000001,50.624500000000005,35.69750000000001,40.18380000000001,43.946400000000004,46.203499999999984,40.5676,50.179100000000005,47.865099999999984,0.6395099999999998,29.929299999999994,41.50419999999999,23.154300000000003,25.1297,33.57789999999999,33.32240000000001,33.95129999999998,32.98129999999999,33.0365,0.516071
split 1,40.29090000000001,50.1554,32.885999999999996,37.832000000000015,42.57680000000001,45.2158,39.441600000000015,49.522800000000004,46.68070000000001,0.6286339999999998,30.18980000000001,41.686600000000006,21.466599999999993,27.416700000000002,33.31540000000001,33.45839999999999,33.4965,33.727800000000016,33.151499999999984,0.5134900000000002
split 2,42.0813,50.489300000000014,35.744,40.01209999999998,43.8797,46.22360000000003,40.6198,50.61190000000001,47.44200000000001,0.6384960000000003,30.529199999999996,40.040800000000004,23.1255,28.420899999999996,33.32349999999999,33.45639999999999,33.24260000000001,33.60829999999999,33.51779999999999,0.513858
split 3,41.21909999999999,50.59620000000001,34.1189,38.942400000000006,43.35189999999999,45.8447,40.079800000000006,50.16909999999998,47.28630000000002,0.63501,29.814200000000007,39.820899999999995,22.811900000000005,26.810299999999994,33.19679999999998,33.455400000000004,33.1362,33.6733,33.557300000000026,0.5131809999999999
split 4,40.663599999999995,50.47000000000003,33.3155,38.20570000000001,42.91369999999999,45.57600000000002,39.761099999999985,49.92649999999999,47.0397,0.6309330000000002,29.675900000000002,42.15599999999999,20.012399999999992,26.858400000000003,33.44040000000001,33.26510000000002,33.41849999999999,33.5411,32.8354,0.5190130000000002
split 5,40.6383,50.32009999999997,33.43579999999999,38.1588,42.86199999999999,45.453199999999995,39.71960000000001,49.69790000000002,46.943400000000004,0.6302659999999995,29.991600000000002,40.4813,23.261900000000004,26.2308,33.31689999999999,33.39970000000001,33.1348,34.37039999999999,32.696099999999994,0.5118469999999996
mean,41.17709999999999,50.44279999999998,34.2004,38.889300000000006,43.25460000000001,45.7528,40.03149999999999,50.01710000000002,47.209999999999994,0.6338119999999999,30.021699999999992,40.94910000000001,22.305300000000003,26.810699999999994,33.3613,33.3934,33.39680000000001,33.649999999999984,33.132700000000014,0.5145740000000001
std,1.4600999999999993,0.8308,3.2383000000000015,2.5357,0.9645999999999998,0.9826999999999998,0.9732999999999998,2.0234999999999994,1.579499999999999,0.005755999999999998,2.8696,4.891800000000001,8.3298,8.150999999999998,2.0243000000000007,3.241399999999999,2.1828000000000003,6.624399999999998,4.949500000000001,0.022497000000000007
test mean,36.895209465689234,48.757928311534535,28.32780154797511,33.59989853755804,41.00345665685907,43.62825593094168,38.83006957921837,46.90976086349439,45.14493735011226,0.6232029078121482,29.045799094472013,42.07683829641705,19.793732365477755,25.266826621521254,33.30956917867734,32.83635379898443,33.42465520092823,31.984803887097677,33.099602308927395,0.5153900040728706
test std,6.333889593274439,5.883103107987569,12.93795394217136,12.10332229127608,4.800868588006851,8.588940915819249,5.027971459824006,18.08007648855595,14.47534784904906,0.04379554620077764,4.509987782713753,5.807450870090941,9.750877086488138,9.70479507582803,3.754113664419886,6.898543581279564,3.8595943481470596,13.881433381667678,11.404132182911804,0.04046666755835832
