,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,17.26,50.12,1.65,0.0,33.56,28.69,33.46,52.61,0.0,0.5915,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5312
split 1,17.02,50.06,0.35,0.64,33.46,57.8,33.4,100.0,40.01,0.5818,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.52
split 2,20.11,50.07,9.14,1.13,34.31,42.89,33.7,51.04,43.92,0.5787,18.41,49.81,5.43,0.0,33.5,23.05,33.44,35.71,0.0,0.5689
split 3,17.46,50.13,1.5,0.77,33.62,45.88,33.48,51.03,53.12,0.5885,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5259
split 4,17.9,50.22,1.43,2.03,33.82,51.1,33.56,58.31,61.42,0.5773,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5716
split 5,17.29,50.1,1.08,0.69,33.54,42.34,33.45,52.72,40.85,0.5874,17.39,49.9,2.25,0.0,33.38,22.92,33.36,35.41,0.0,0.5087
mean,17.84,50.11,2.53,0.88,33.72,44.78,33.51,60.95,39.89,0.5842,17.08,49.95,1.28,0.0,33.37,15.07,33.36,11.85,0.0,0.5377
std,1.05,0.05,2.99,0.62,0.29,8.94,0.1,17.63,19.35,0.0053,0.65,0.07,2.03,0.0,0.06,5.6,0.04,16.76,0.0,0.024
test mean,17.244167096126503,50.178052167195716,1.3944023521038684,0.16004676907991397,33.58182446544516,13.216769714018012,33.51912098836432,5.07449356554216,1.0566945881475642,0.5804260969867149,17.459553158705702,50.10593220338983,2.2727272727272725,0.0,33.417508417508415,13.276143790849673,33.578431372549026,6.25,0.0,0.5175553488014902
test std,1.9527886888000172,0.8149514033962156,5.073337330882987,0.7157509104837979,1.0632213901088985,5.50941932415231,0.739580329715588,15.640993630920294,4.725681861108192,0.04944065058557071,2.0977804758376806,0.28027026600260646,6.013071161510431,0.0,0.22270633931520417,5.728138050915985,0.6484684585942638,16.535945694153693,0.0,0.05898590053987474
