,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
train tissue 0,38.88692655858577,52.222468338254316,23.446680199022026,40.99163113848096,42.61248558498319,45.16914308041936,39.259402940283074,44.557760814249356,51.69026548672565,0.6105769230769231
train tissue 1,47.73434769671312,50.2013422818792,47.34177215189874,45.65992865636145,47.64309764309765,48.06321941361932,53.581661891117484,47.46192893401014,43.146067415730336,0.6457142857142857
train tissue 2,26.681088794728662,43.07240370870654,16.427011112166397,20.543851563313055,32.360542120024085,40.65721981834524,30.665521362414104,59.69901974320033,31.60711834942128,0.5397805212620027
train tissue 3,23.778024910760916,51.86170212765957,7.407407407407404,12.064965197215773,36.83760683760683,66.14120360234122,35.00897666068222,100.0,63.414634146341456,0.6080286246446426
train tissue 4,25.334935280671047,50.158394931362146,12.835820895522396,13.010590015128598,34.7906976744186,34.0957435860457,35.01658680427567,32.45283018867924,34.81781376518219,0.5977569661232511
train tissue 5,33.29659371227628,49.31506849315069,50.57471264367814,0.0,40.60606060606061,34.681372549019606,35.294117647058826,68.75,0.0,0.6563786008230453
train tissue 6,40.37781817080225,54.464366979157184,17.024759566196032,49.64432796705355,44.626696832579185,48.12320554422357,40.1556838008321,30.792005921539594,73.42192691029902,0.676960643493249
train tissue 7,29.16648640763998,45.616321620131345,28.78888153540701,13.094256067381583,34.49690539345712,35.868125227379636,33.295119155060135,38.258575197889186,36.05068132918958,0.5404687499999999
train tissue 8,46.07521118259913,56.230031948881795,55.83756345177665,26.158038147138964,49.116161616161605,48.559813958096605,48.61878453038673,50.458715596330286,46.60194174757281,0.7070759625390219
train tissue 9,41.85065863179129,50.24121878967417,26.96629213483143,48.34446497086827,44.55191798941798,49.92864142496406,38.134395477322386,55.04587155963302,56.60565723793678,0.6600477430555555
train tissue 10,40.41329729510025,50.57040694704581,35.432045158488954,35.23743977976599,42.23765432098766,43.57835062573307,39.99461352006466,47.27694090382387,43.463497453310694,0.6098346168413078
train tissue 11,37.064232266751326,54.99584894652995,21.876324874326205,34.320522979397815,43.13030638612034,50.841030123491485,39.50422280961898,60.89008766014835,52.1287799007071,0.6365948861892023
train tissue 12,32.18112384751566,51.72903837044059,18.469656992084442,26.344676180021953,38.941798941798936,44.75303603453151,36.86698176907499,54.6875,42.70462633451956,0.6443990929705216
train tissue 13,28.178478441636344,48.88663967611337,22.222222222222232,13.42657342657343,36.23188405797103,54.45546402885964,33.91853932584271,100.0,29.447852760736204,0.7014136609855992
train tissue 14,44.50406938461103,52.662149080348485,36.35067712045616,44.49938195302843,46.76470588235292,55.34331420357076,39.24963924963924,66.57963446475196,60.200668896321076,0.6078032544378699
train tissue 15,38.912148541979015,53.20028590248494,33.393203534736735,30.14295618871537,43.548038307074464,54.94103162577199,38.133124384706676,74.27293064876957,52.41703984383973,0.6603
train tissue 16,33.941400780030044,54.36893203883496,14.260249554367203,33.19502074688796,39.365079365079374,36.38307510350534,41.17647058823531,28.36879432624113,39.6039603960396,0.5548907388137357
train tissue 17,40.363212704461915,53.03427902841974,38.267767177618204,29.787591907347803,43.22917572826232,45.09990614960744,40.869348224248924,46.30350194552529,48.1268682790481,0.5968755864139613
train tissue 18,37.48758694894612,45.32628962088255,33.77619836045713,33.36027286549867,39.05264988478761,41.572556415981175,35.266810125970174,44.35252943048043,45.098329691492914,0.5863768861454046
train mean,36.117244292505276,50.95564151736617,28.457855057508603,28.938236302641037,41.06018237748639,46.22397118502668,38.632105277201816,55.274138280803776,44.765669997074426,0.6232251443962937
train std,6.910324599640277,3.360595558584681,13.036037250604217,13.636778308465901,4.562257018389815,8.012053009403315,5.1649709116707285,19.626874483540558,15.121868957440457,0.04756399934301473
test tissue 0,21.184638003796383,46.51473430083921,9.489389602289995,7.54979010825995,31.009696404034116,26.37517781876997,32.370981629216466,26.717694732102654,20.036857094990786,0.48196770786177756
test tissue 1,31.494273415357057,51.65968562806826,32.42843742005172,10.394697197951185,37.85102072619604,35.382765389823895,38.04816559410866,41.36630647617665,26.73382409918636,0.5802253471918946
test tissue 2,37.64587671272674,47.35036218070911,48.019700389903534,17.56756756756756,41.27338040381519,43.845052673134795,35.97914252607185,53.62053162236477,41.935483870967744,0.5856128808864266
test tissue 3,26.983473256243723,53.83177570093457,27.1186440677966,0.0,38.88888888888889,36.51863907618383,36.82864450127876,72.72727272727273,0.0,0.5401915868388172
test tissue 4,31.790878386951277,46.828971625140156,24.061990212071766,24.48167332364191,36.24764595103578,39.37236265324012,34.130260132420965,43.25513196480937,40.73169586249001,0.519541270559831
test tissue 5,34.07626189526645,44.07235546314267,25.898144492696407,32.258285729960285,35.72548531607765,35.695440775196026,35.72881146241696,35.4288183192914,35.928692543879734,0.5347633136094675
test tissue 6,31.88436071783897,32.98051151592241,35.20247759373095,27.470093043863546,32.1309872922776,32.11569048402631,30.80709496732582,33.85073549318654,31.68924099156658,0.4829674060660932
test tissue 7,25.3943608235971,44.89332213148574,17.486478804450105,13.803281534855461,30.934757066832532,30.22328141709055,32.87351949011943,38.40135037715612,19.394974383996097,0.5187111903818206
test mean,30.056765401472212,46.01646481828026,27.46315782287389,16.690673563262486,35.50773275614472,34.941051285933185,34.595827537869866,43.17098021404503,27.056346105884664,0.5304975879245161
test std,4.899775887136772,5.8158171872423186,10.861910974568426,10.18654589841481,3.5935296614661456,5.0717965711879165,2.3072942596584576,13.352431824261489,12.984153349451725,0.036221442361931824
