plant,time point,dividing parent cell,parent neighbor,label,isCellTest
P1,0,700,353,1,False
P1,0,700,428,0,False
P1,0,700,538,0,False
P1,0,700,560,0,False
P1,0,700,687,2,False
P1,0,700,709,1,False
P1,0,700,717,2,False
P1,0,580,439,1,False
P1,0,580,442,2,False
P1,0,580,449,2,False
P1,0,580,602,0,False
P1,0,580,717,1,False
P1,0,580,740,0,False
P1,0,580,753,0,False
P1,0,390,610,0,False
P1,0,390,653,2,False
P1,0,390,693,0,False
P1,0,390,747,0,False
P1,0,390,753,2,False
P1,0,390,754,1,False
P1,0,390,767,1,False
P1,0,384,484,2,False
P1,0,384,592,2,False
P1,0,384,615,1,False
P1,0,384,630,0,False
P1,0,384,745,0,False
P1,0,384,751,1,False
P1,0,369,436,1,False
P1,0,369,461,0,False
P1,0,369,587,0,False
P1,0,369,600,2,False
P1,0,369,726,2,False
P1,0,369,738,1,False
P1,0,369,746,0,False
P1,0,352,353,0,False
P1,0,352,525,2,False
P1,0,352,540,0,False
P1,0,352,551,2,False
P1,0,352,557,0,False
P1,0,623,472,0,False
P1,0,623,476,2,False
P1,0,623,755,0,False
P1,0,678,410,1,False
P1,0,678,532,2,False
P1,0,678,542,0,False
P1,0,678,671,2,False
P1,0,678,694,0,False
P1,0,678,695,0,False
P1,0,657,456,0,False
P1,0,657,626,2,False
P1,0,657,652,2,False
P1,0,622,401,1,False
P1,0,622,472,1,False
P1,0,622,595,2,False
P1,0,622,741,0,False
P1,0,622,754,0,False
P1,0,622,755,1,False
P1,0,622,767,2,False
P1,0,449,439,1,False
P1,0,449,576,1,False
P1,0,449,580,2,False
P1,0,449,741,1,False
P1,0,449,753,0,False
P1,0,449,754,2,False
P1,0,767,390,2,False
P1,0,767,401,1,False
P1,0,767,622,2,False
P1,0,767,653,1,False
P1,0,767,754,0,False
P1,0,552,397,2,False
P1,0,552,539,0,False
P1,0,552,568,0,False
P1,0,419,430,0,False
P1,0,419,535,2,False
P1,0,419,542,1,False
P1,0,419,553,2,False
P1,0,419,665,1,False
P1,0,419,671,1,False
P1,0,419,697,0,False
P1,0,693,372,1,False
P1,0,693,390,0,False
P1,0,693,413,2,False
P1,0,693,653,0,False
P1,0,693,696,2,False
P1,0,693,728,1,False
P1,0,693,747,0,False
P1,0,626,387,2,False
P1,0,626,421,0,False
P1,0,626,456,0,False
P1,0,626,573,0,False
P1,0,626,657,2,False
P1,0,626,670,1,False
P1,0,755,452,1,False
P1,0,755,472,2,False
P1,0,755,595,2,False
P1,0,755,622,0,False
P1,0,755,623,1,False
P1,0,540,352,1,False
P1,0,540,353,2,False
P1,0,540,519,2,False
P1,0,540,525,1,False
P1,0,540,674,0,False
P1,0,540,687,0,False
P1,0,471,340,0,False
P1,0,471,467,0,False
P1,0,471,502,0,False
P1,0,471,602,1,False
P1,0,471,610,1,False
P1,0,471,747,2,False
P1,0,471,758,2,False
P1,0,721,445,2,False
P1,0,721,694,1,False
P1,0,721,715,2,False
P1,0,721,725,0,False
P1,0,595,366,2,False
P1,0,595,452,1,False
P1,0,595,577,1,False
P1,0,595,622,0,False
P1,0,595,741,0,False
P1,0,595,755,2,False
P1,0,747,340,0,False
P1,0,747,390,1,False
P1,0,747,413,2,False
P1,0,747,471,0,False
P1,0,747,610,2,False
P1,0,747,693,1,False
P1,0,728,372,1,False
P1,0,728,413,0,False
P1,0,728,605,2,False
P1,0,728,620,1,False
P1,0,728,690,0,False
P1,0,728,693,2,False
P1,0,452,440,1,False
P1,0,452,577,2,False
P1,0,452,595,0,False
P1,0,452,755,0,False
P1,0,620,372,1,False
P1,0,620,518,2,False
P1,0,620,521,1,False
P1,0,620,555,1,False
P1,0,620,605,0,False
P1,0,620,606,1,False
P1,0,620,728,2,False
P1,0,414,443,0,False
P1,0,414,444,0,False
P1,0,414,536,2,False
P1,0,414,670,0,False
P1,0,414,750,0,False
P1,0,535,419,2,False
P1,0,535,512,1,False
P1,0,535,523,2,False
P1,0,535,659,1,False
P1,0,535,665,1,False
P1,0,535,679,0,False
P1,0,535,697,0,False
P1,0,576,366,1,False
P1,0,576,439,0,False
P1,0,576,449,0,False
P1,0,576,557,1,False
P1,0,576,709,2,False
P1,0,576,741,2,False
P1,0,672,407,1,False
P1,0,672,514,2,False
P1,0,672,517,1,False
P1,0,672,538,2,False
P1,0,672,680,0,False
P1,0,672,698,0,False
P1,0,366,557,1,False
P1,0,366,576,2,False
P1,0,366,577,2,False
P1,0,366,595,0,False
P1,0,366,720,1,False
P1,0,366,741,0,False
P1,0,421,420,2,False
P1,0,421,456,1,False
P1,0,421,507,0,False
P1,0,421,573,2,False
P1,0,421,626,1,False
P1,0,421,632,0,False
P1,0,605,422,1,False
P1,0,605,518,1,False
P1,0,605,559,0,False
P1,0,605,589,0,False
P1,0,605,619,2,False
P1,0,605,620,1,False
P1,0,605,690,0,False
P1,0,605,728,2,False
P1,0,557,352,1,False
P1,0,557,353,2,False
P1,0,557,366,0,False
P1,0,557,551,1,False
P1,0,557,576,0,False
P1,0,557,709,0,False
P1,0,557,720,2,False
P1,0,566,446,0,False
P1,0,566,567,2,False
P1,0,566,695,1,False
P1,0,566,715,1,False
P1,0,566,725,2,False
P1,0,566,730,0,False
P1,0,448,438,1,False
P1,0,448,441,2,False
P1,0,448,442,1,False
P1,0,448,447,0,False
P1,0,448,462,0,False
P1,0,448,716,1,False
P1,0,448,740,2,False
P1,0,517,407,1,False
P1,0,517,538,2,False
P1,0,517,672,1,False
P1,0,517,674,0,False
P1,0,517,687,0,False
P1,1,5099,5003,2,False
P1,1,5099,5045,0,False
P1,1,5099,5101,1,False
P1,1,5099,5129,0,False
P1,1,5099,5182,1,False
P1,1,5099,5244,1,False
P1,1,5099,5287,2,False
P1,1,5198,5019,2,False
P1,1,5198,5053,2,False
P1,1,5198,5119,1,False
P1,1,5198,5153,0,False
P1,1,5198,5232,1,False
P1,1,5198,5275,0,False
P1,1,5031,5009,2,False
P1,1,5031,5023,0,False
P1,1,5031,5176,1,False
P1,1,5306,4953,2,False
P1,1,5306,5025,0,False
P1,1,5306,5092,1,False
P1,1,5306,5151,0,False
P1,1,5306,5171,1,False
P1,1,5306,5181,2,False
P1,1,5306,5200,1,False
P1,1,5241,5016,0,False
P1,1,5241,5087,1,False
P1,1,5241,5115,2,False
P1,1,5241,5174,1,False
P1,1,5241,5233,1,False
P1,1,5241,5244,0,False
P1,1,5241,5292,2,False
P1,1,5204,5061,1,False
P1,1,5204,5090,0,False
P1,1,5204,5129,2,False
P1,1,5204,5156,1,False
P1,1,5204,5172,2,False
P1,1,5204,5287,0,False
P1,1,5229,5083,1,False
P1,1,5229,5108,2,False
P1,1,5229,5230,2,False
P1,1,5229,5235,1,False
P1,1,5229,5246,0,False
P1,1,5114,5005,2,False
P1,1,5114,5107,2,False
P1,1,5114,5108,1,False
P1,1,5114,5235,1,False
P1,1,5114,5262,0,False
P1,1,5114,5270,0,False
P1,1,5083,4939,1,False
P1,1,5083,5229,0,False
P1,1,5083,5235,2,False
P1,1,5275,5053,1,False
P1,1,5275,5085,0,False
P1,1,5275,5100,0,False
P1,1,5275,5126,2,False
P1,1,5275,5152,2,False
P1,1,5275,5153,1,False
P1,1,5275,5198,1,False
P1,1,5226,5116,1,False
P1,1,5226,5188,1,False
P1,1,5226,5190,2,False
P1,1,5226,5192,0,False
P1,1,5226,5210,0,False
P1,1,5226,5259,0,False
P1,1,5226,5272,2,False
P1,1,5226,5286,0,False
P1,1,5257,4999,2,False
P1,1,5257,5011,1,False
P1,1,5257,5117,1,False
P1,1,5257,5128,0,False
P1,1,5257,5133,2,False
P1,1,5257,5134,1,False
P1,1,5257,5248,0,False
P1,1,5021,4979,0,False
P1,1,5021,5008,2,False
P1,1,5021,5020,0,False
P1,1,5021,5112,1,False
P1,1,5021,5177,2,False
P1,1,5021,5265,0,False
P1,1,5276,4946,1,False
P1,1,5276,4952,0,False
P1,1,5276,5128,1,False
P1,1,5276,5132,2,False
P1,1,5276,5135,0,False
P1,1,5276,5136,1,False
P1,1,5276,5151,2,False
P1,1,5127,5005,2,False
P1,1,5127,5108,1,False
P1,1,5127,5132,2,False
P1,1,5127,5135,0,False
P1,1,5127,5246,1,False
P1,1,5127,5274,0,False
P1,1,4999,4994,1,False
P1,1,4999,5117,1,False
P1,1,4999,5231,0,False
P1,1,4999,5237,2,False
P1,1,4999,5248,0,False
P1,1,4999,5257,2,False
P1,1,5213,5048,0,False
P1,1,5213,5072,2,False
P1,1,5213,5126,1,False
P1,1,5213,5196,0,False
P1,1,5213,5215,0,False
P1,1,5213,5263,2,False
P1,1,5117,4999,0,False
P1,1,5117,5134,2,False
P1,1,5117,5137,1,False
P1,1,5117,5257,0,False
P1,1,5117,5264,1,False
P1,1,5262,4997,1,False
P1,1,5262,5107,2,False
P1,1,5262,5114,0,False
P1,1,5262,5245,1,False
P1,1,5262,5261,1,False
P1,1,5262,5269,2,False
P1,1,5262,5270,0,False
P1,1,5262,5283,0,False
P1,1,5108,5005,0,False
P1,1,5108,5114,0,False
P1,1,5108,5127,0,False
P1,1,5108,5229,1,False
P1,1,5108,5235,2,False
P1,1,5108,5246,2,False
P1,1,5246,5093,1,False
P1,1,5246,5108,2,False
P1,1,5246,5127,0,False
P1,1,5246,5132,0,False
P1,1,5246,5229,1,False
P1,1,5246,5230,1,False
P1,1,5246,5256,2,False
P1,2,5724,5572,1,False
P1,2,5724,5581,2,False
P1,2,5724,5650,2,False
P1,2,5724,5710,1,False
P1,2,5724,5836,1,False
P1,2,5724,5842,0,False
P1,2,5791,5568,0,False
P1,2,5791,5721,2,False
P1,2,5791,5768,0,False
P1,2,5721,5576,0,False
P1,2,5721,5729,0,False
P1,2,5721,5768,0,False
P1,2,5721,5791,2,False
P1,2,5721,5840,2,False
P1,2,5721,5841,1,False
P1,2,5842,5495,1,False
P1,2,5842,5581,0,False
P1,2,5842,5650,1,False
P1,2,5842,5677,2,False
P1,2,5842,5706,0,False
P1,2,5842,5724,2,False
P1,2,5842,5726,0,False
P1,2,5529,5549,0,False
P1,2,5529,5650,2,False
P1,2,5529,5710,1,False
P1,2,5529,5785,2,False
P1,2,5645,5564,0,False
P1,2,5645,5644,1,False
P1,2,5645,5646,0,False
P1,2,5645,5655,2,False
P1,2,5645,5762,1,False
P1,2,5645,5771,2,False
P1,2,5690,5545,1,False
P1,2,5690,5779,1,False
P1,2,5690,5816,2,False
P1,2,5690,5841,0,False
P1,2,5545,5543,0,False
P1,2,5545,5690,1,False
P1,2,5545,5779,2,False
P1,2,5665,5568,1,False
P1,2,5665,5603,1,False
P1,2,5665,5648,0,False
P1,2,5665,5713,0,False
P1,2,5665,5729,0,False
P1,2,5665,5768,2,False
P1,2,5665,5784,2,False
P1,2,5499,5537,1,False
P1,2,5499,5647,1,False
P1,2,5499,5693,0,False
P1,2,5499,5719,0,False
P1,2,5499,5756,2,False
P1,2,5499,5757,2,False
P1,2,5709,5576,1,False
P1,2,5709,5685,0,False
P1,2,5709,5713,0,False
P1,2,5709,5725,0,False
P1,2,5709,5729,2,False
P1,2,5709,5812,2,False
P1,2,5709,5814,1,False
P1,2,5655,5564,0,False
P1,2,5655,5644,1,False
P1,2,5655,5645,2,False
P1,2,5655,5668,2,False
P1,2,5655,5808,0,False
P1,2,5599,5524,1,False
P1,2,5599,5603,0,False
P1,2,5599,5782,0,False
P1,2,5599,5834,2,False
P1,2,5668,5563,2,False
P1,2,5668,5655,2,False
P1,2,5668,5691,0,False
P1,2,5668,5781,1,False
P1,2,5668,5788,1,False
P1,2,5668,5808,0,False
P1,2,5822,5563,1,False
P1,2,5822,5572,1,False
P1,2,5822,5581,2,False
P1,2,5822,5691,2,False
P1,2,5822,5706,0,False
P1,2,5822,5807,1,False
P1,2,5822,5837,0,False
P1,2,5822,5848,0,False
P1,2,5614,5543,0,False
P1,2,5614,5663,2,False
P1,2,5614,5754,0,False
P1,2,5614,5794,2,False
P1,2,5614,5839,1,False
P1,2,5794,5543,1,False
P1,2,5794,5614,2,False
P1,2,5794,5704,0,False
P1,2,5794,5839,0,False
P1,2,5839,5614,1,False
P1,2,5839,5663,1,False
P1,2,5839,5704,2,False
P1,2,5839,5794,1,False
P1,2,5839,5824,0,False
P1,2,5839,5825,0,False
P1,2,5839,5844,2,False
P1,2,5804,5523,2,False
P1,2,5804,5537,2,False
P1,2,5804,5556,0,False
P1,2,5804,5647,1,False
P1,2,5804,5703,0,False
P1,2,5784,5603,1,False
P1,2,5784,5648,0,False
P1,2,5784,5665,2,False
P1,2,5784,5760,0,False
P1,2,5784,5782,2,False
P1,2,5848,5706,1,False
P1,2,5848,5726,2,False
P1,2,5848,5822,1,False
P1,2,5848,5837,2,False
P1,2,5848,5849,0,False
P1,2,5647,5499,2,False
P1,2,5647,5537,0,False
P1,2,5647,5757,1,False
P1,2,5647,5804,0,False
P1,2,5850,5519,1,False
P1,2,5850,5727,2,False
P1,2,5850,5737,2,False
P1,2,5850,5751,0,False
P1,2,5850,5843,1,False
P1,2,5850,5845,0,False
P1,2,5576,5673,1,False
P1,2,5576,5709,0,False
P1,2,5576,5721,2,False
P1,2,5576,5729,0,False
P1,2,5576,5814,2,False
P1,2,5576,5816,1,False
P1,2,5576,5840,1,False
P1,2,5779,5543,2,False
P1,2,5779,5545,1,False
P1,2,5779,5673,0,False
P1,2,5779,5690,1,False
P1,2,5779,5754,0,False
P1,2,5779,5816,2,False
P1,2,5572,5581,0,False
P1,2,5572,5675,1,False
P1,2,5572,5724,0,False
P1,2,5572,5807,2,False
P1,2,5572,5822,0,False
P1,2,5572,5836,2,False
P1,2,5659,5646,2,False
P1,2,5659,5670,0,False
P1,2,5659,5771,1,False
P1,2,5659,5797,0,False
P1,2,5659,5799,0,False
P1,2,5778,5498,1,False
P1,2,5778,5683,0,False
P1,2,5778,5685,2,False
P1,2,5778,5751,2,False
P1,2,5778,5764,0,False
P1,2,5778,5812,1,False
P1,2,5543,5545,1,False
P1,2,5543,5614,0,False
P1,2,5543,5754,0,False
P1,2,5543,5779,2,False
P1,2,5543,5794,2,False
P1,2,5575,5511,1,False
P1,2,5575,5519,0,False
P1,2,5575,5579,2,False
P1,2,5575,5682,1,False
P1,2,5575,5810,1,False
P1,2,5575,5833,2,False
P1,2,5575,5843,0,False
P1,2,5564,5645,1,False
P1,2,5564,5646,1,False
P1,2,5564,5655,2,False
P1,2,5564,5682,0,False
P1,2,5564,5797,2,False
P1,2,5564,5808,0,False
P1,2,5564,5810,0,False
P1,2,5501,5560,1,False
P1,2,5501,5789,0,False
P1,2,5764,5541,0,False
P1,2,5764,5683,1,False
P1,2,5764,5751,2,False
P1,2,5764,5776,2,False
P1,2,5764,5778,1,False
P1,2,5764,5790,1,False
P1,2,5764,5823,1,False
P1,2,5764,5845,0,False
P1,2,5641,5781,2,False
P1,2,5641,5788,0,False
P1,2,5808,5564,1,False
P1,2,5808,5579,0,False
P1,2,5808,5655,1,False
P1,2,5808,5668,1,False
P1,2,5808,5691,1,False
P1,2,5808,5701,2,False
P1,2,5808,5810,2,False
P1,2,5816,5576,0,False
P1,2,5816,5673,2,False
P1,2,5816,5690,2,False
P1,2,5816,5779,1,False
P1,2,5816,5840,0,False
P1,2,5816,5841,0,False
P1,2,5757,5499,2,False
P1,2,5757,5647,1,False
P1,2,5757,5693,0,False
P1,2,5757,5832,0,False
P1,3,6153,5947,1,False
P1,3,6153,6128,1,False
P1,3,6153,6130,2,False
P1,3,6153,6155,0,False
P1,3,6153,6177,2,False
P1,3,6153,6178,0,False
P1,3,6006,5903,2,False
P1,3,6006,5973,2,False
P1,3,6006,5975,0,False
P1,3,6006,6206,0,False
P1,3,6084,5907,1,False
P1,3,6084,5915,1,False
P1,3,6084,6057,1,False
P1,3,6084,6077,2,False
P1,3,6084,6090,2,False
P1,3,6084,6097,0,False
P1,3,6172,5936,2,False
P1,3,6172,5938,0,False
P1,3,6172,5959,1,False
P1,3,6172,6180,0,False
P1,3,6172,6201,0,False
P1,3,6172,6202,2,False
P1,3,6121,5915,1,False
P1,3,6121,5923,1,False
P1,3,6121,5936,2,False
P1,3,6121,5938,0,False
P1,3,6121,6090,2,False
P1,3,6121,6109,0,False
P1,3,6121,6115,1,False
P1,3,6121,6138,0,False
P1,3,6162,6125,1,False
P1,3,6162,6136,2,False
P1,3,6162,6145,1,False
P1,3,6162,6147,0,False
P1,3,6162,6174,2,False
P1,3,6162,6175,0,False
P1,3,6162,6190,0,False
P1,3,6059,5884,0,False
P1,3,6059,5898,2,False
P1,3,6059,5929,1,False
P1,3,6059,6024,0,False
P1,3,6059,6070,2,False
P1,3,6059,6102,1,False
P1,3,5936,5938,2,False
P1,3,5936,6115,2,False
P1,3,5936,6121,0,False
P1,3,5936,6139,1,False
P1,3,5936,6172,1,False
P1,3,6195,5884,0,False
P1,3,6195,5947,1,False
P1,3,6195,5975,2,False
P1,3,6195,5993,0,False
P1,3,6195,6175,1,False
P1,3,6195,6177,1,False
P1,3,6195,6198,2,False
P1,3,6195,6206,1,False
P1,3,5968,5954,1,False
P1,3,5968,5978,0,False
P1,3,5968,5981,1,False
P1,3,5968,6009,2,False
P1,3,5968,6192,0,False
P1,3,5968,6193,2,False
P1,3,5968,6200,1,False
P1,3,6206,5973,1,False
P1,3,6206,5975,2,False
P1,3,6206,6006,1,False
P1,3,6206,6175,0,False
P1,3,6206,6190,2,False
P1,3,6206,6195,0,False
P1,3,6136,6112,1,False
P1,3,6136,6114,2,False
P1,3,6136,6125,1,False
P1,3,6136,6147,0,False
P1,3,6136,6162,2,False
P1,3,6089,5909,1,False
P1,3,6089,6082,1,False
P1,3,6089,6112,0,False
P1,3,6089,6114,2,False
P1,3,6115,5923,2,False
P1,3,6115,5924,1,False
P1,3,6115,5936,0,False
P1,3,6115,6121,0,False
P1,3,6115,6139,2,False
P1,3,6070,5903,0,False
P1,3,6070,5916,2,False
P1,3,6070,5929,1,False
P1,3,6070,6024,0,False
P1,3,6070,6059,2,False
P1,3,5910,5907,1,False
P1,3,5910,5915,2,False
P1,3,5910,5923,0,False
P1,3,5910,6085,0,False
P1,3,6138,5938,1,False
P1,3,6138,6109,2,False
P1,3,6138,6121,1,False
P1,3,6138,6132,0,False
P1,3,6138,6137,0,False
P1,3,6138,6165,0,False
P1,3,6138,6166,2,False
P1,3,6138,6171,0,False
P1,3,6128,5921,1,False
P1,3,6128,6107,2,False
P1,3,6128,6114,1,False
P1,3,6128,6130,0,False
P1,3,6128,6147,2,False
P1,3,6128,6153,0,False
P1,3,6190,5973,1,False
P1,3,6190,6162,2,False
P1,3,6190,6174,1,False
P1,3,6190,6175,0,False
P1,3,6190,6206,2,False
P1,3,6055,6057,0,False
P1,3,6055,6076,2,False
P1,3,6055,6077,0,False
P1,3,5938,5936,2,False
P1,3,5938,6121,0,False
P1,3,5938,6138,0,False
P1,3,5938,6166,0,False
P1,3,5938,6172,1,False
P1,3,5938,6180,2,False
P1,3,5932,5937,0,False
P1,3,5932,6095,1,False
P1,3,5932,6107,1,False
P1,3,5932,6108,2,False
P1,3,5932,6130,2,False
P1,3,5932,6132,0,False
P1,3,5932,6155,0,False
P1,3,6082,5909,1,False
P1,3,6082,5921,0,False
P1,3,6082,6076,2,False
P1,3,6082,6089,1,False
P1,3,6082,6114,2,False
P1,3,5982,5900,0,False
P1,3,5982,5981,0,False
P1,3,5982,6029,2,False
P1,3,5982,6200,0,False
P1,3,5982,6201,2,False
P1,3,5982,6202,1,False
P1,3,6077,6055,1,False
P1,3,6077,6057,2,False
P1,3,6077,6076,1,False
P1,3,6077,6084,0,False
P1,3,6077,6095,0,False
P1,3,6077,6097,0,False
P1,3,6077,6107,2,False
P1,3,5924,5923,0,False
P1,3,5924,6085,2,False
P1,3,5924,6115,2,False
P1,3,5924,6116,1,False
P1,3,5924,6139,1,False
P1,3,6114,5921,1,False
P1,3,6114,6082,1,False
P1,3,6114,6089,2,False
P1,3,6114,6112,0,False
P1,3,6114,6128,2,False
P1,3,6114,6136,0,False
P1,3,6114,6147,0,False
P1,3,6118,5912,1,False
P1,3,6118,6073,0,False
P1,3,6118,6075,2,False
P1,3,6118,6119,1,False
P1,3,6118,6135,0,False
P1,3,6097,6077,1,False
P1,3,6097,6084,2,False
P1,3,6097,6090,0,False
P1,3,6097,6095,1,False
P1,3,6097,6108,2,False
P1,3,6097,6109,0,False
P1,3,6097,6132,0,False
P1,3,6178,5953,0,False
P1,3,6178,5962,0,False
P1,3,6178,6153,1,False
P1,3,6178,6155,1,False
P1,3,6178,6164,2,False
P1,3,6178,6177,1,False
P1,3,6178,6198,2,False
P1,3,6116,5924,0,False
P1,3,6116,6139,0,False
P1,3,6024,5884,2,False
P1,3,6024,5903,1,False
P1,3,6024,5975,2,False
P1,3,6024,6059,1,False
P1,3,6024,6070,1,False
P1,3,5915,5907,1,False
P1,3,5915,5910,2,False
P1,3,5915,5923,0,False
P1,3,5915,6084,1,False
P1,3,5915,6090,2,False
P1,3,5915,6121,0,False
P1,3,6085,5910,1,False
P1,3,6085,5923,2,False
P1,3,6085,5924,0,False
P1,3,5898,5884,0,False
P1,3,5898,5891,2,False
P1,3,5898,5993,0,False
P1,3,5898,6059,2,False
P1,3,5898,6073,1,False
P1,3,5898,6102,1,False
P1,3,6145,6125,2,False
P1,3,6145,6162,0,False
P1,3,6145,6174,0,False
P1,3,5929,5916,1,False
P1,3,5929,6059,0,False
P1,3,5929,6070,2,False
P1,3,5929,6102,0,False
P1,3,5929,6146,2,False
P1,3,6174,6145,1,False
P1,3,6174,6162,2,False
P1,3,6174,6190,0,False
P1,3,6132,5932,0,False
P1,3,6132,5937,0,False
P1,3,6132,6097,1,False
P1,3,6132,6108,2,False
P1,3,6132,6109,1,False
P1,3,6132,6137,2,False
P1,3,6132,6138,1,False
P1,3,5903,5916,2,False
P1,3,5903,5975,0,False
P1,3,5903,6006,2,False
P1,3,5903,6024,0,False
P1,3,5903,6070,0,False
P1,3,6139,5924,1,False
P1,3,6139,5936,0,False
P1,3,6139,6115,2,False
P1,3,6139,6116,1,False
P1,3,5973,6006,2,False
P1,3,5973,6190,0,False
P1,3,5973,6206,0,False
P1,3,6057,5907,2,False
P1,3,6057,6055,0,False
P1,3,6057,6077,0,False
P1,3,6057,6084,0,False
P1,3,6102,5898,0,False
P1,3,6102,5929,2,False
P1,3,6102,6059,0,False
P1,3,6102,6073,2,False
P1,3,6102,6135,1,False
P1,3,6102,6146,1,False
P1,3,6102,6148,1,False
P1,3,5923,5910,1,False
P1,3,5923,5915,1,False
P1,3,5923,5924,0,False
P1,3,5923,6085,2,False
P1,3,5923,6115,0,False
P1,3,5923,6121,2,False
P1,3,6125,6112,2,False
P1,3,6125,6136,0,False
P1,3,6125,6145,2,False
P1,3,6125,6162,0,False
P1,3,6107,5921,2,False
P1,3,6107,5932,0,False
P1,3,6107,6076,1,False
P1,3,6107,6077,1,False
P1,3,6107,6095,2,False
P1,3,6107,6128,0,False
P1,3,6107,6130,0,False
P1,3,6198,5962,0,False
P1,3,6198,5966,2,False
P1,3,6198,5993,1,False
P1,3,6198,6177,2,False
P1,3,6198,6178,0,False
P1,3,6198,6195,1,False
P1,3,6175,5947,2,False
P1,3,6175,6147,1,False
P1,3,6175,6162,1,False
P1,3,6175,6190,2,False
P1,3,6175,6195,0,False
P1,3,6175,6206,0,False
P1,3,6073,5891,0,False
P1,3,6073,5898,0,False
P1,3,6073,6044,0,False
P1,3,6073,6075,2,False
P1,3,6073,6102,2,False
P1,3,6073,6118,1,False
P1,3,6073,6135,1,False
P1,3,5975,5884,0,False
P1,3,5975,5903,1,False
P1,3,5975,6006,1,False
P1,3,5975,6024,2,False
P1,3,5975,6195,0,False
P1,3,5975,6206,2,False
P1,3,6029,5900,0,False
P1,3,6029,5912,0,False
P1,3,6029,5982,2,False
P1,3,5912,5900,2,False
P1,3,5912,6029,1,False
P1,3,5912,6075,0,False
P1,3,5912,6118,0,False
P1,3,5912,6119,0,False
P1,3,5891,5898,2,False
P1,3,5891,5966,0,False
P1,3,5891,5978,2,False
P1,3,5891,5993,0,False
P1,3,5891,6009,1,False
P1,3,5891,6044,1,False
P1,3,5891,6073,1,False
P1,3,6147,5947,0,False
P1,3,6147,6114,1,False
P1,3,6147,6128,2,False
P1,3,6147,6136,1,False
P1,3,6147,6162,1,False
P1,3,6147,6175,2,False
P2,0,182,34,0,True
P2,0,182,111,2,True
P2,0,182,249,1,True
P2,0,73,82,2,True
P2,0,73,325,1,True
P2,0,73,364,0,True
P2,0,73,383,0,True
P2,0,73,384,0,True
P2,0,3,7,1,True
P2,0,3,9,0,True
P2,0,3,78,0,True
P2,0,3,130,1,True
P2,0,3,143,2,True
P2,0,3,221,2,True
P2,0,240,45,0,True
P2,0,240,128,0,True
P2,0,240,215,2,True
P2,0,240,233,1,True
P2,0,240,408,2,True
P2,0,240,409,1,True
P2,0,236,33,2,True
P2,0,236,78,2,True
P2,0,236,103,1,True
P2,0,236,112,1,True
P2,0,236,135,0,True
P2,0,339,82,2,True
P2,0,339,106,0,True
P2,0,339,307,1,True
P2,0,339,325,1,True
P2,0,339,348,1,True
P2,0,339,350,2,True
P2,0,415,86,0,True
P2,0,415,105,2,True
P2,0,415,242,0,True
P2,0,415,361,1,True
P2,0,415,377,1,True
P2,0,415,396,1,True
P2,0,415,416,0,True
P2,0,415,430,2,True
P2,0,334,39,2,True
P2,0,334,60,1,True
P2,0,334,107,2,True
P2,0,334,196,1,True
P2,0,334,296,0,True
P2,0,334,363,0,True
P2,0,334,407,0,True
P2,0,337,91,2,True
P2,0,337,302,1,True
P2,0,337,323,2,True
P2,0,337,336,1,True
P2,0,337,361,0,True
P2,0,337,377,0,True
P2,0,348,80,0,True
P2,0,348,306,1,True
P2,0,348,307,1,True
P2,0,348,324,2,True
P2,0,348,339,1,True
P2,0,348,350,2,True
P2,0,348,379,0,True
P2,0,348,381,0,True
P2,0,135,4,0,True
P2,0,135,9,2,True
P2,0,135,33,2,True
P2,0,135,78,1,True
P2,0,135,147,0,True
P2,0,135,236,1,True
P2,0,359,99,1,True
P2,0,359,103,2,True
P2,0,359,335,0,True
P2,0,359,346,2,True
P2,0,359,413,1,True
P2,0,78,3,0,True
P2,0,78,9,0,True
P2,0,78,103,1,True
P2,0,78,135,0,True
P2,0,78,221,2,True
P2,0,78,236,2,True
P2,0,78,413,1,True
P2,0,335,62,1,True
P2,0,335,103,0,True
P2,0,335,319,1,True
P2,0,335,336,2,True
P2,0,335,346,1,True
