,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
train tissue 0,72.34040946703135,73.91213700670146,78.27857333817755,64.83051805621504,72.53662364841298,72.40240380347736,75.78330177731632,74.08233966083222,67.34156997228354,0.8569608809993425
train tissue 1,73.79992052468369,65.69166778478466,72.60524710189138,83.102846687375,74.43977591036415,74.64992522782866,77.24834332597035,70.35869136775717,76.34274098975843,0.8850340136054422
train tissue 2,61.21897086378387,64.63642013673089,62.45756958587917,56.56292286874155,61.31578947368421,61.327308968955755,61.2485276796231,64.51612903225806,58.217270194986085,0.7871330589849109
train tissue 3,53.46732463138202,44.63015058745656,46.88422191619125,68.88760139049826,54.167684057263266,54.79086877130666,57.210131093292595,42.872562908992805,64.2899123116346,0.7249779433388884
train tissue 4,71.16179978630701,69.80841840302057,72.00135340889865,71.67562754700182,71.17445054945057,71.17506702381762,71.09085730561094,70.95698566188729,71.47735810395463,0.8699271592091571
train tissue 5,81.82195055260071,94.73684210526316,82.35294117647058,68.37606837606839,82.38095238095237,85.0354609929078,100.0,70.0,85.10638297872342,0.9705075445816187
train tissue 6,76.5049146011928,73.99770904925548,73.4463276836158,82.07070707070709,76.31372549019608,77.10208216979483,72.09821428571432,70.65217391304348,88.5558583106267,0.9073542085607584
train tissue 7,64.13654729490189,57.27641920121541,61.92378224935313,73.20944043413711,64.41556145004421,64.43050090447433,63.74455355400923,58.81089850646561,70.73605065294817,0.8073437499999999
train tissue 8,56.20000451315497,55.12367491166078,32.25806451612903,81.21827411167511,59.1025641025641,56.31416349383294,50.980392156862756,45.454545454545446,72.50755287009062,0.8537981269510926
train tissue 9,71.57282419697412,71.68562468901514,68.71506598263849,74.31778191926873,71.59499013001157,71.79560341855678,67.9117457904584,71.66309683770804,75.81196762750389,0.8703477647569444
train tissue 10,70.16466019765534,69.52381665331666,74.91014170919365,66.06002223045571,70.23117995658042,70.1663634258079,70.99111770191556,72.7584442877487,66.74952828775945,0.8408502714303749
train tissue 11,67.6157753046826,69.28785026027245,66.09708737864077,67.46238827513461,67.61682934043185,67.61487371106635,69.18823269188232,66.12276612276612,67.53362231855061,0.8699399149160123
train tissue 12,74.531237106532,74.89738504819442,73.2771822358346,75.41914403556699,74.50365726227795,75.19985288082107,70.76252723311546,71.6317365269461,83.20529488240162,0.8993650793650794
train tissue 13,72.93355541626308,70.42253521126761,78.57581338244323,69.8023176550784,73.00000000000001,73.44491604449172,66.3716814159292,77.20144752714113,76.7616191904048,0.8601532567049809
train tissue 14,57.11535199957791,70.69625095638865,65.85056986070073,34.799235181644356,60.34798534798536,59.67431827849216,60.70959264126146,61.08065779169931,57.23270440251571,0.8518860946745562
train tissue 15,73.3563402495149,73.04768866251624,73.77973916253832,73.24159292349017,73.35430302114597,73.45309726812353,70.90432460912368,73.78898884045876,75.66597835478815,0.8804000000000001
train tissue 16,69.57854406130268,80.0,62.06896551724137,66.66666666666666,69.44444444444446,76.62141779788838,76.92307692307693,52.941176470588225,100.0,0.8520408163265306
train tissue 17,65.77222027759366,63.15789473684211,54.05405405405405,80.10471204188482,65.48821548821549,66.15677334153034,62.68656716417911,52.63157894736842,83.1521739130435,0.813735691987513
train tissue 18,76.12151166722735,72.66844844563232,80.21787571180985,75.4782108442399,76.30532971996385,76.60097987221478,75.54840596665692,73.83773928896991,80.41679436101748,0.8924282229311316
train tissue 19,61.40873957957865,62.87425149700597,55.912294440094,65.43967280163598,61.61764705882352,61.60483022752112,64.02439024390245,59.7989949748744,60.99110546378651,0.8184156378600822
train tissue 20,60.31506814024783,55.50660792951542,42.105263157894726,83.33333333333333,59.92063492063492,67.06626706626706,44.05594405594406,57.14285714285714,100.0,0.7426303854875282
train mean,68.14941287772326,68.2657996798122,65.60819683665193,70.57424211670566,68.53677827397367,69.36319403281796,68.0705679817069,64.68113386975755,75.33788024698944,0.8502490391748545
train std,7.382126205911478,10.015494360764114,12.863016172338865,10.515268685588344,6.989737424704117,7.461902843917784,10.91596805311414,9.681319736574672,11.609112790312262,0.053855290468671844
test tissue 0,68.66441831624732,67.90818536162847,67.69825918762086,70.38681039949265,68.72562358276643,69.00049717892846,72.32472324723253,68.76227897838899,65.91448931116383,0.8637392485287461
test tissue 1,60.29406899583503,63.18888721123359,58.65255795999001,59.040761816281496,60.35367726949158,60.351030046792914,60.73138876795821,59.25263230335146,61.06906906906906,0.8221678749235741
test tissue 2,74.77978991527267,75.23861632926014,76.30511225317824,72.79564116337963,74.87575675431466,76.08669990256949,68.2173960974534,76.140350877193,83.90235273306209,0.8856475069252078
test tissue 3,58.29725829725829,66.66666666666666,60.606060606060595,47.61904761904762,59.523809523809526,62.18671679197994,62.5,52.63157894736841,71.42857142857143,0.8154935443565181
test tissue 4,53.13672173775359,32.50783938814534,59.511313984426494,67.39101184068892,56.814719324973616,61.70894645497017,74.95238767017001,51.002050123425825,59.17240157131465,0.7661083446506715
test tissue 5,64.87024783207933,65.28497409326425,55.931273990129746,73.39449541284402,65.5238095238095,65.49830045724714,62.77842907385699,65.91986212839292,67.79661016949152,0.8431656804733727
test tissue 6,65.04496240306041,69.19376563401966,69.1696113074205,56.7715102677411,65.66460359563806,66.42170258488459,61.260647359454914,69.10856134157105,68.89589905362776,0.8401991851516524
test tissue 7,59.75654094858171,50.88269815795148,69.6627600561896,58.72416463160404,60.27943207807793,59.871619491089895,54.00554241985104,63.654761458606636,61.954554594811995,0.8018067115867354
test mean,63.10550105576104,61.358954105271195,64.692118668127,63.26543039388494,63.97017895661016,65.14068911355783,64.59631432949715,63.30900951978728,67.51674349138904,0.8297910120745597
test std,6.281738080831306,12.678695639928835,6.570949490461103,8.563064308291542,5.528361241567838,5.095204739448555,6.38373721411974,8.037998314517882,7.335501812826885,0.03475049568732136
