,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,71.37,70.82,70.52,72.76,71.36,71.41,69.5,70.68,74.05,0.8694,63.06,60.0,62.69,66.49,63.16,63.23,64.38,60.83,64.48,0.8018
split 1,69.19,68.07,68.54,70.95,69.18,69.22,68.35,67.47,71.83,0.8478,73.76,73.59,73.85,73.85,73.76,74.05,72.91,70.65,78.59,0.8879
split 2,70.68,69.58,70.8,71.68,70.68,70.69,69.71,70.12,72.26,0.8625,68.98,69.35,65.26,72.32,69.07,69.1,67.18,69.26,70.85,0.838
split 3,69.56,68.64,68.64,71.4,69.56,69.58,69.36,67.66,71.71,0.848,68.02,71.48,67.94,64.62,68.14,68.19,67.34,69.27,67.95,0.8605
split 4,70.73,69.46,70.57,72.15,70.73,70.74,70.48,69.42,72.33,0.8586,70.41,68.82,68.81,73.61,70.39,70.45,69.07,67.77,74.51,0.8567
split 5,70.93,69.99,70.17,72.62,70.92,70.97,70.69,68.66,73.56,0.8584,67.32,67.0,65.38,69.57,67.32,67.32,67.33,65.24,69.38,0.8336
mean,70.41,69.43,69.87,71.93,70.4,70.44,69.68,69.0,72.62,0.8575,68.59,68.37,67.32,70.08,68.64,68.72,68.04,67.17,70.96,0.8464
std,0.77,0.89,0.92,0.65,0.77,0.78,0.77,1.19,0.87,0.0077,3.23,4.28,3.53,3.53,3.2,3.26,2.58,3.29,4.55,0.0266
test mean,68.14941287772326,68.2657996798122,65.60819683665193,70.57424211670566,68.53677827397367,69.36319403281796,68.0705679817069,64.68113386975755,75.33788024698944,0.8502490391748545,63.10550105576104,61.358954105271195,64.692118668127,63.26543039388494,63.97017895661016,65.14068911355783,64.59631432949715,63.30900951978728,67.51674349138904,0.8297910120745597
test std,7.382126205911478,10.015494360764114,12.863016172338865,10.515268685588344,6.989737424704117,7.461902843917784,10.91596805311414,9.681319736574672,11.609112790312262,0.053855290468671844,6.281738080831306,12.678695639928835,6.570949490461103,8.563064308291542,5.528361241567838,5.095204739448555,6.38373721411974,8.037998314517882,7.335501812826885,0.03475049568732136
