,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
train tissue 0,60.14133668119606,66.77667525136317,73.94877036372526,39.69856442849972,62.442391036760945,60.97946038761449,64.15626895987758,64.65460156224884,54.12751064071703,0.8051352794588822
train tissue 1,45.07618703504567,43.9893143365984,47.07520891364902,44.164037854889585,45.2991452991453,47.668602899295486,45.91078066914498,39.71797884841363,57.377049180327866,0.5891773330929633
train tissue 2,52.174992712961235,59.60144927536236,60.70476754515843,36.218761318362915,53.16402116402118,51.953955388224536,56.82210708117446,56.881243063263064,42.15851602023609,0.7213311551694266
train tissue 3,45.87269549916818,50.57539295932922,49.2564061451316,37.78628739304373,46.11900117359723,45.81549991343601,49.845071602043426,47.105695249209475,40.49573288905512,0.6789724134906364
train tissue 4,62.039977700626075,71.35478250046674,66.25702247191015,48.50812812950134,62.552371375900805,62.01495665373355,70.66436583261434,61.99080157687257,53.389702551713725,0.8010242169070442
train tissue 5,63.22303614505186,78.17589576547232,77.64705882352942,33.84615384615384,68.26599326599326,68.96203642747422,68.57142857142857,67.34693877551021,70.96774193548387,0.8603515625
train tissue 6,60.03208432147266,69.86452861487416,67.98360044726054,42.24812390228325,61.134317274668135,60.08406439793637,69.3659072193247,61.3728129205922,49.51347305389222,0.7982846959233683
train tissue 7,55.101242894798965,55.882352941176514,58.75912408759123,50.66225165562916,54.98866213151927,55.50475012899714,53.773584905660385,63.3858267716536,49.35483870967743,0.7419770408163266
train tissue 8,52.436181275409844,50.75273300760297,53.91023516444555,52.64557565418101,52.47970777898342,52.55651486467129,52.429005644811134,51.15694959684497,54.08358935235778,0.6929940828402367
train tissue 9,53.83889826185699,60.164101381602954,61.22609385258727,40.12649955138073,54.75566397219431,54.08360104456159,54.33688521745166,60.26135737215863,47.65256054407447,0.7351650483642982
train tissue 10,59.468813215715926,64.88367146065967,67.08573134526404,46.43703684122405,60.51154132539093,60.08469366151411,62.89694605797534,60.49113151676494,56.866003409802055,0.7756470959595959
train tissue 11,52.80648965958986,60.27740607783245,62.98851464115076,35.15354825978637,54.57511683198625,53.26327250243705,56.47091778685377,56.67431446700114,46.64458525345622,0.7758180003851473
train tissue 12,55.984777129567284,66.78445229681978,68.0821681339548,33.087710957927285,58.21200510855683,55.83435338479168,61.9672131147541,61.954131322651605,43.58171571696934,0.7763422205989773
train tissue 13,61.143450833919246,70.34323177786344,68.16856803541224,44.91855268848206,62.698875792585675,62.060223908247146,64.02246402246398,63.42116717447349,58.73704052780396,0.8088727678571429
train tissue 14,51.35440070896528,63.664921465968604,69.18706884891115,21.211211812016096,56.667695632042005,54.45103481697415,54.06046235921755,61.57457565908272,47.718066432622194,0.7752700617283951
train tissue 15,58.745830366037715,63.44720594555486,69.86143807711748,42.92884707544079,59.59883460331691,58.6046440280795,59.59944071368075,67.12872105274037,49.08577031781739,0.7859786184210527
train tissue 16,55.21235626472383,58.16150213109087,59.55610357583229,47.91946308724832,56.0988031576267,58.84583537244212,53.10265039966341,53.19383259911893,70.24102311854404,0.7620991499032067
train tissue 17,60.578798705885326,65.5648378532408,69.21590292391718,46.95565534049799,61.58741401019595,60.92904950299752,63.383877747378236,63.15575726917123,56.24751349244309,0.8009522961908153
train tissue 18,53.394434270979595,62.20676531382263,58.02418259883547,39.95235490028067,54.32915205124296,53.63709752846696,59.59307401638602,53.24214639054773,48.07607217846712,0.7293388429752066
train mean,55.71715703594587,62.23532738719485,63.62831399975704,41.287829720885725,57.13056384135411,56.701770884836584,58.998550101152865,58.668946483595754,52.437816069761105,0.7586700990833011
train std,5.033707277863034,7.936849685976823,7.758581865780229,7.267927154827467,5.580452810945548,5.378724709430818,6.682851388670133,6.909123728625557,8.009016646388224,0.05829849720674687
test tissue 0,55.19606847450181,59.878346334925716,62.09103261720341,43.6188264713763,55.71207571207572,55.2059329558422,60.30317713020016,57.35704121886609,47.957580518460354,0.7577835587929239
test tissue 1,54.56188934227327,64.2209979372829,61.69770773638966,37.766962353147235,56.4031790775977,55.666388244761016,57.8158055568614,56.8552379695029,52.32812120791874,0.7598209345606357
test tissue 2,67.28391432316549,73.52568202987354,67.83411911863759,60.49194182098533,67.8840216937839,68.70520758111708,66.63886572143454,65.2868453951938,74.18991162672287,0.8194161179418449
test tissue 3,55.14695966726918,71.71314741035857,71.87500000000001,21.852731591448936,61.64251207729469,61.713995943204885,66.17647058823532,58.439201451905646,60.52631578947369,0.8248487006051975
test tissue 4,54.808142717376406,57.177767386653564,64.76526268949057,42.48139807598509,55.15692867805962,54.61086547424387,56.93820433776094,62.136819143646285,44.75757294132439,0.7428695996829171
test tissue 5,50.606538565228014,55.991829737566825,52.52875025583435,43.29903570228285,50.81199350405197,50.79535315379682,56.73997412677878,48.724947920407985,46.9211374142037,0.7036588307530371
test tissue 6,55.36830337931257,59.782608695652186,69.33305413045755,36.989247311827974,56.1498708010336,55.16037978175871,55.25654825977756,68.67869736569178,41.54589371980677,0.7599234603061588
test tissue 7,50.567252087827136,60.07462686567165,61.98848271958754,29.63864667822221,52.87232574189097,50.805174377730914,56.602944407822456,54.752344828680776,41.06023389668951,0.7548187181596961
test mean,55.44238356961923,62.795625799748116,64.01417615845008,39.51734875065949,57.07911341072352,56.582912189056934,59.5589987661089,59.028891911736906,51.16084588932501,0.7653924901003014
test std,4.856762299673509,6.118951961507007,5.593769510005659,10.600265456613627,5.017824106087003,5.5767913547115295,4.176912354022441,5.85520758115616,10.506664766602135,0.03708532666135422
