,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,58.73,62.5,63.73,49.95,58.82,58.66,61.76,63.15,51.07,0.7686,52.06,55.12,57.05,44.0,52.18,52.26,58.56,53.33,44.89,0.7035
split 1,57.36,60.81,63.0,48.26,57.57,57.27,60.45,60.74,50.61,0.7551,59.13,63.79,69.02,44.58,60.0,59.09,60.76,64.99,51.51,0.8047
split 2,60.77,64.67,67.76,49.89,61.24,60.75,62.18,65.07,55.0,0.7875,53.97,57.66,57.29,46.97,54.07,54.0,55.14,58.61,48.25,0.7202
split 3,56.96,58.74,62.8,49.33,57.05,56.9,58.66,61.65,50.38,0.7506,57.7,66.26,67.34,39.48,58.98,57.54,63.29,62.15,47.2,0.7908
split 4,57.6,61.62,64.63,46.53,58.02,57.49,59.99,61.85,50.64,0.7612,60.08,62.78,68.4,49.04,60.52,59.98,61.79,64.92,53.24,0.7718
split 5,57.8,60.74,64.0,48.67,58.03,57.71,60.37,61.65,51.12,0.7603,57.22,61.01,61.46,49.19,57.44,57.19,58.52,60.86,52.2,0.7501
mean,58.2,61.51,64.32,48.77,58.45,58.13,60.57,62.35,51.47,0.7639,56.69,61.11,63.43,45.54,57.2,56.68,59.68,60.81,49.55,0.7568
std,1.27,1.81,1.66,1.17,1.35,1.29,1.16,1.4,1.6,0.0119,2.82,3.75,5.06,3.36,3.09,2.72,2.64,4.02,2.98,0.0363
test mean,54.63409473340802,58.469448343192916,59.87949800761275,45.553337849418405,55.97168483815558,55.850887054961156,57.597795981394896,58.14365379076673,51.81121139272184,0.7500762965727772,55.25109396808506,59.13124573502087,63.370291959253905,43.25174420998043,56.60670825956227,57.54737082395705,59.2633811109466,60.468503239601134,52.910228121323414,0.7546554822915582
test std,8.634556335540614,11.45677889258734,16.23087430167627,8.844939041590823,8.532049846866215,8.431390422199858,9.702744065629796,11.52922571550853,9.221698781519388,0.08091600679296915,7.507046406479717,13.59786561455111,7.910988515239992,7.60654457183586,7.92379189995137,8.568884331493654,9.152572952392788,5.124308117254223,15.61606225877952,0.05096925222210607
